scientific_name,count,height_M
Platanus acerifolia,37096,121.26
Lagerstroemia indica,32971,48.6
Pistacia chinensis,25133,77.06
Fraxinus pennsylvanica,22950,139.65
Pyrus calleryana,19424,81.55
Acer rubrum,19002,85.73
Liquidambar styraciflua,18712,120.45
Acer platanoides,15994,98.24
Zelkova serrata,15082,103.08
Gleditsia triacanthos,12064,89.98
Tilia cordata,11818,105.47
Washingtonia robusta,10790,145.3
Syagrus romanzoffianum,9364,56.4
Acer freemanii,9275,83.6
Quercus virginiana,8895,92.69
Magnolia grandiflora,8820,79.13
Acer saccharinum,8401,153.6
Ginkgo biloba,8246,86.88
Prunus cerasifera,7637,57.31
Prunus,7548,46.73
Cupressus sempervirens,7349,87.51
Quercus agrifolia,5784,75.42
Ulmus parvifolia,5633,100.72
Fraxinus angustifolia,5626,111.65
Cercis canadensis,5449,30.24
Cinnamomum camphora,5403,98.27
Quercus ilex,5383,97.83
Quercus rubra,5028,99.08
Acer saccharum,4922,90.81
Ulmus,4635,61.25
Fraxinus americana,4478,106.68
Quercus palustris,4342,104.89
Pinus canariensis,3981,142.93
Malus,3875,42.76
Morus alba,3864,77.78
Quercus geminata,3665,122.68
Celtis occidentalis,3573,93.91
Ulmus americana,3522,104.33
Quercus phellos,3430,76.56
Lophostemon confertus,3378,66.0
Ligustrum lucidum,3361,65.73
Cupaniopsis anacardioides,3061,67.81
Pyrus kawakamii,2958,70.94
Sequoia sempervirens,2828,165.74
Eucalyptus camaldulensis,2741,19.06
Robinia pseudoacacia,2715,109.91
Tristaniopsis laurina,2591,35.79
Fraxinus velutina,2512,124.32
Betula pendula,2500,85.24
Fraxinus uhdei,2461,132.34
Celtis sinensis,2380,85.33
Tilia americana,2338,94.31
Quercus bicolor,2305,48.38
Ulmus pumila,2295,124.75
Archontophoenix cunninghamiana,2269,21.03
Triadica sebifera,2238,89.44
Liriodendron tulipifera,2153,137.05
Acer palmatum,2096,37.51
Picea pungens,2061,89.09
Geijera parviflora,1969,56.83
Washingtonia filifera,1938,133.46
Cocos nucifera,1801,115.81
Schinus terebinthifolius,1788,55.18
Nyssa sylvatica,1763,48.53
Ceratonia siliqua,1742,90.55
Eucalyptus polyanthemos,1699,153.96
Pinus nigra,1676,71.9
Juniperus virginiana,1663,75.64
Quercus alba,1630,138.6
Styphnolobium japonicum,1579,89.61
Jacaranda mimosifolia,1575,65.79
Prunus persica,1541,35.89
Quercus lobata,1537,90.34
Adonidia merrillii,1525,33.62
Taxodium distichum,1521,76.78
Schinus molle,1508,70.39
Quercus shumardii,1480,85.02
Olea europaea,1463,63.52
Fraxinus,1455,105.99
Prunus serrulata,1451,42.79
Pinus strobus,1425,103.26
Sabal palmetto,1376,77.85
Carya illinoinensis,1344,105.62
Ailanthus altissima,1343,93.12
Quercus macrocarpa,1326,74.74
Cornus florida,1284,35.63
Nerium oleander,1271,38.99
Prunus caroliniana,1265,56.46
Koelreuteria paniculata,1264,75.18
Phoenix canariensis,1260,108.94
Juglans nigra,1259,127.85
Quercus coccinea,1256,92.75
Platanus occidentalis,1255,120.89
Quercus suber,1250,83.41
Eriobotrya japonica,1248,43.99
Pinus elliottii,1218,130.64
Platanus racemosa,1211,99.05
Quercus laurifolia,1182,121.46
Melaleuca citrina,1161,16.11
Syringa reticulata,1155,37.17
Prunus serotina,1116,95.02
Acer buergerianum,1104,48.81
Quercus acutissima,1053,106.33
Eucalyptus sideroxylon,1047,136.96
Pinus halepensis,1018,96.91
Tabebuia heterophylla,1014,84.29
Metrosideros excelsa,992,14.71
Acer campestre,980,54.07
Juniperus chinensis,978,49.05
Thuja occidentalis,974,41.38
Tilia tomentosa,966,68.1
Crataegus,954,36.82
Amelanchier,948,29.64
Cassia nealiae,935,87.22
Picea glauca,932,69.59
Albizia saman,921,113.37
Populus deltoides,919,188.7
Albizia julibrissin,916,70.1
Ulmus crassifolia,911,80.87
Citrus,886,38.56
Koelreuteria bipinnata,873,89.44
Chitalpa tashkentensis,822,45.04
Trachycarpus fortunei,809,51.13
Quercus,807,87.38
Cedrus deodara,800,118.56
Acer negundo,793,96.11
Betula nigra,775,70.27
Chionanthus retusus,770,15.61
Picea abies,770,116.94
Podocarpus gracilior,748,83.51
Rhus lancea,748,42.2
Ilex opaca,747,49.73
Quercus stellata,729,115.92
Maytenus boaria,706,55.89
Yucca gloriosa,694,45.7
Pinus eldarica,689,10.89
Pyrus,688,60.86
Pinus pinea,680,100.75
Carpinus betulus,680,54.14
Laurus nobilis,674,42.95
Jacaranda acutifolia,668,132.41
Gymnocladus dioicus,668,66.51
Pinus sylvestris,666,65.3
Lagerstroemia,665,9.37
Myoporum laetum,662,44.93
Juglans regia,655,77.54
Acer,641,73.48
Juglans hindsii,640,100.63
Aesculus hippocastanum,635,73.09
Photinia fraseri,630,33.07
Solanum rantonnetii,612,28.39
Prunus blireiana,603,46.4
Quercus fusiformis,590,108.61
Robinia ambigua,588,92.93
Eucalyptus globulus,573,133.42
Melaleuca quinquenervia,533,86.87
Carpinus caroliniana,532,41.29
Prunus amygdalus,526,52.65
Cupressocyparis leylandii,526,73.94
Morus,517,54.68
Phoenix roebelenii,514,9.67
Eriobotrya deflexa,512,64.97
Alnus rhombifolia,511,35.97
Magnolia soulangiana,508,50.58
Cladrastis kentukea,493,46.16
Ulmus rubra,491,119.45
Malus floribunda,491,40.38
Catalpa speciosa,485,93.21
Cercis occidentalis,481,27.46
Ficus microcarpa,471,92.18
Pinus ponderosa,460,81.24
Eucalyptus,451,150.6
Persea americana,430,60.34
Thuja,429,50.03
Acer ginnala,429,51.12
Conocarpus erectus,405,48.08
Arbutus,404,39.49
Arbutus unedo,403,42.96
Callistemon viminalis,397,44.62
Sophora japonica,397,70.4
Casuarina equisetifolia,393,190.44
Pinus,388,89.32
Cornus kousa,356,30.73
Corymbia citriodora,349,90.04
Quercus marilandica,334,108.69
Fagus grandifolia,334,129.16
Phellodendron amurense,332,62.93
Pinus radiata,332,142.92
Platanus orientalis,330,140.32
Celtis australis,329,101.89
Quercus robur,323,73.98
Aesculus glabra,310,39.47
Ligustrum japonicum,300,37.7
Acer tataricum,299,47.9
Prunus armenica,294,43.66
Tabebuia berteroi,293,63.38
Ficus carica,292,40.37
Acer miyabei,290,49.0
Ficus benjamina,278,63.4
Filicium decipiens,278,87.19
Araucaria heterophylla,276,98.19
Diospyros virginiana,272,53.46
Corymbia ficifolia,269,45.57
Quercus prinus,267,48.58
Acacia confusa,265,88.74
Pritchardia pacifica,265,54.83
Quercus lyrata,264,59.27
Stenocarpus sinuatus,263,6.0
Cordia sebestena,263,51.99
Cordyline australis,262,46.77
Laurus L.,252,45.87
Tsuga canadensis,249,75.22
Plumeria,246,51.23
Callistemon citrinus,244,52.55
Prunus domestica,242,47.5
Quercus falcata,241,70.01
Syagrus romanzoffiana,241,73.8
Celtis laevigata,241,69.7
Rhaphiolepis,240,7.29
Cassia fistula,240,88.53
Pinus thunbergii,239,64.09
Abies concolor,237,49.97
Delonix regia,235,65.06
Salix,234,87.4
Pinus taeda,231,85.17
Prunus yedoensis,227,32.11
Amelanchier arborea,227,44.93
Tristania conferta,226,48.89
Cassine orientalis,225,66.75
Cornus mas,225,25.01
Calocedrus decurrens,223,91.55
Ulmus alata,219,67.65
Pittosporum undulatum,217,45.15
Magnolia virginiana,215,31.09
Salix nigra,214,13.31
Tipuana tipu,211,32.16
Chamaerops humilis,210,29.74
Chrysophyllum oliviforme,208,101.82
Grevillea robusta,208,136.02
Salix babylonica,202,87.71
Xylosma congestum,200,43.59
Populus nigra,200,147.1
Acacia melanoxylon,195,109.9
Ostrya virginiana,195,41.57
Thespesia populnea,194,67.36
Ilex vomitoria,194,44.76
Thuja orientalis,194,35.07
Diospyros kaki,193,48.43
Gingko biloba,192,39.25
Cordia subcordata,191,58.97
Quercus imbricaria,190,74.91
Crataegus phaenopyrum,190,51.82
Melia azedarach,189,71.1
Phoenix dactylifera,188,74.01
Fraxinus nigra,187,86.78
Livistona chinensis,187,70.88
Chilopsis linearis,186,48.52
Platycladus orientalis,181,72.68
Quercus douglasii,179,45.77
Carya glabra,178,101.78
Pterocarpus dalbergioides,177,108.55
Quercus velutina,176,89.31
Podocarpus macrophyllus,174,70.61
Magnolia,174,28.55
Callistemon pallidus,170,96.69
Calophyllum inophyllum,170,91.36
Spathodea campanulata,169,101.66
Taxus,164,46.29
Cotinus coggygria,163,40.05
Aleurites moluccanus,158,66.2
Cupressus arizonica,156,75.61
Syzygium paniculatum,156,30.68
Abies,155,144.97
Ilex,154,34.44
Ilex paraguariensis,153,57.06
Malus pumila,152,44.05
Alnus cordata,150,93.29
Prunus lyonii,149,45.8
Quercus muehlenbergii,148,72.05
Malus Mill.,147,61.47
Pinus brutia,147,4.46
Melaleuca linariifolia,147,78.14
Populus tremuloides,146,86.38
Swietenia mahagoni,146,119.68
Metasequoia glyptostroboides,143,58.83
Salix lasiolepis,143,1.38
Corymbia maculata,142,67.93
Eucalyptus nicholii,141,104.38
Afrocarpus,136,4.56
Clusia rosea,135,63.99
Pinus torreyana,134,3.43
Cecropia palmata,134,29.33
Ceiba speciosa,134,57.95
Aesculus carnea,132,51.75
Brachychiton populneus,126,41.35
Afrocarpus gracilior,126,5.39
Sassafras albidum,124,61.45
Ficus macrophylla,124,56.25
Populus,124,133.54
Bauhinia blakeana,121,73.78
Tilia,120,82.6
Betula jacquemontii,120,66.55
Agonis flexuosa,120,21.84
Cedrus atlantica,117,98.31
Pseudotsuga menziesii,116,82.16
Dodonaea viscosa,115,28.56
Rhaphiolepis indica,115,45.1
Populus alba,115,132.55
Pinus virginiana,114,68.58
Roystonea,112,95.76
Fraxinus texensis,112,55.22
Lagerstroemia speciosa,111,74.01
Quercus michauxii,109,44.68
Pyrus communis,108,52.95
Quercus texana,106,45.0
Prunus avium,106,52.86
Sophora secundiflora,106,32.53
Eucalyptus leucoxylon,105,52.65
Bauhinia purpurea,105,90.16
Araucaria columnaris,105,151.28
Amelanchier canadensis,104,32.49
Morus rubra,104,83.19
Acer truncatum,103,40.33
Populus fremontii,103,75.59
Caryota urens,103,0.86
Amelanchier laevis,101,35.93
Maclura pomifera,101,80.39
Crataegus laevigata,99,59.98
Cascabela thevetia,98,50.22
Punica granatum,98,37.46
Eucalyptus cladocalyx,96,7.01
Chionanthus virginicus,96,24.23
Aesculus californica,96,43.92
Ulmus procera,96,174.67
Arecaceae,96,61.07
Ravenea rivularis,95,46.62
Quercus laevis,95,112.64
Hymenosporum flavum,94,91.97
Handroanthus chrysotrichus,92,26.89
Quercus incana,92,104.33
Corylus colurna,91,37.78
Acacia pendula,89,7.48
Viburnum odoratissimum,89,62.0
Yucca,89,49.65
Wodyetia bifurcata,88,43.96
Parkinsonia aculeata,88,18.83
Parrotia persica,88,31.95
Prunus virginiana,87,45.06
Quercus warei,87,34.39
Dypsis lutescens,86,35.15
Cupressus leylandii,86,27.28
Tournefortia argentea,85,60.33
Picea omorika,85,21.34
Magnolia stellata,85,39.91
Acer grandidentatum,85,38.68
Xylosma,85,93.02
Catalpa bignonioides,84,64.34
Acer nigrum,84,95.18
Acer pseudoplatanus,84,88.39
Tabebuia aurea,83,58.01
Schefflera actinophylla,82,69.78
Eucalyptus rudis,82,12.4
Heritiera littoralis,82,68.74
Cryptomeria japonica,82,59.18
Cycas revoluta,81,14.66
Acer griseum,80,33.92
Picea,79,67.36
Fagus sylvatica,79,38.0
Harpullia pendula,78,49.72
Hibiscus syriacus,78,32.72
Quercus buckleyi,78,75.08
Heteromeles arbutifolia,77,30.72
Ilex attenuata,77,52.28
Aesculus arnoldiana,76,24.3
Umbellularia californica,76,56.16
Aesculus flava,75,96.33
Paulownia tomentosa,74,110.0
Carya tomentosa,74,105.08
Bauhinia variegata,74,47.02
Salix matsudana,74,77.9
Catalpa longissima,74,119.4
Fraxinus berlandieriana,74,95.72
Citharexylum spinosum,72,72.36
Prosopis pallida,72,136.61
Quercus nigra,71,122.12
Cercidiphyllum japonicum,71,42.0
Betula papyrifera,70,69.55
Roseodendron donnell-smithii,70,97.82
Pinus palustris,70,123.56
Crataegus lavallei,69,62.29
Fraxinus oxycarpa,68,64.27
Malus sylvestris,67,39.71
Eucalyptus lehmannii,67,0.98
Eucalyptus viminalis,66,101.16
Sapindus drummondii,66,88.53
Eucommia ulmoides,65,37.6
Ficus rubiginosa,65,97.67
Thuja plicata,62,59.0
Crataegus viridis,62,30.22
Eucalyptus citriodora,61,164.96
Castanea mollissima,60,87.68
Eucalyptus melliodora,60,179.63
Maackia amurensis,59,61.67
Pinus thunbergiana,59,15.35
Pritchardia,58,57.58
Quercus ellipsoidea,58,35.41
Prunus subhirtella,57,38.99
Ulmus propinqua,57,40.29
Ficus benghalensis,56,119.99
Hamamelis virginiana,56,19.74
Guaiacum officinale,56,37.26
Prunus dulcis,55,55.83
Ficus,55,82.8
Asimina triloba,54,17.07
Crataegus crus-galli,54,26.31
Juniperus chinensis 'Torulosa',52,94.64
Castanea dentata,51,74.56
Quercus kelloggii,51,62.91
Carya cordiformis,51,120.23
Erythrina caffra,50,30.51
Juniperus,49,65.28
Pittosporum tobira,49,36.83
Tabebuia impetiginosa,48,41.82
Cinnamomum burmannii,47,53.19
Cinnamomum glanduliferum,47,114.83
Populus canadensis,46,4.28
Viburnum,46,26.18
Styrax americanus,46,40.87
Acer macrophyllum,46,77.03
Sambucus mexicana,46,65.62
Noronhia emarginata,45,74.95
Acacia baileyana,45,69.41
Aesculus pavia,45,29.82
Murraya paniculata,45,39.73
Lagerstroemia fauriei,44,42.43
Coccoloba uvifera,44,70.58
Prunus ilicifolia,44,20.36
Phoenix reclinata,43,66.38
Terminalia catappa,43,96.29
Carya ovata,42,61.24
Eucalyptus cinerea,42,142.33
Ilex L.,42,44.37
Populus trichocarpa,42,133.34
Casuarina cunninghamiana,42,45.54
Handroanthus impetiginosus,42,17.11
Styrax japonicus,42,38.51
Schinus terebinthifolia,42,53.66
Podocarpus,42,62.41
Chamaecyparis lawsoniana,41,96.94
Platanus wrightii,41,154.44
Eucalyptus ficifolia,41,76.42
Larix decidua,40,70.95
Pittosporum eugenioides,40,40.68
Prunus maackii,40,48.06
Cupressus,39,74.2
Handroanthus ochraceus,39,80.09
