scientific_name,count,height_M
Ulmus pumila,216,200.76
Platanus acerifolia,186,128.67
Gleditsia triacanthos,159,79.36
Pinus nigra,149,81.44
Fraxinus,148,114.76
Malus,127,42.57
Ulmus,107,86.88
Ulmus parvifolia,82,76.74
Quercus buckleyi,73,74.96
Chilopsis linearis,63,69.8
Pyrus,62,69.92
Fraxinus oxycarpa,60,61.99
Pistacia chinensis,54,70.88
Populus deltoides,52,165.39
Pinus ponderosa,47,158.11
Koelreuteria paniculata,47,63.07
Platanus wrightii,45,154.44
Quercus macrocarpa,41,83.66
Cedrus deodara,37,91.19
Ulmus americana,37,100.11
Cercis canadensis,36,45.06
Styphnolobium japonicum,35,92.89
Fraxinus americana,32,79.87
Celtis occidentalis,32,82.57
Acer negundo,29,84.57
Tilia cordata,28,73.36
Pinus eldarica,26,84.54
Prunus virginiana,25,49.93
Fraxinus pennsylvanica,20,74.77
Prunus,20,56.1
Picea pungens,20,70.54
Juniperus,18,115.22
Cupressus arizonica,18,123.58
Fraxinus velutina,16,136.05
Pinus edulis,15,86.94
Quercus shumardii,15,67.38
Acer grandidentatum,14,43.91
Robinia pseudoacacia,13,91.86
Pyrus calleryana,13,57.96
Ailanthus altissima,12,102.6
Catalpa,12,51.0
Cupressus leylandii,12,91.59
Quercus muehlenbergii,12,65.62
Pinus sylvestris,11,111.55
Vitex agnus-castus,11,35.27
Juniperus virginiana,10,125.0
Robinia neomexicana,10,59.06
Gymnocladus dioicus,9,51.56
Salix matsudana,9,125.4
Pinus,8,132.33
Chitalpa tashkentensis,8,91.32
Ulmus davidiana,8,74.91
Albizia julibrissin,8,58.65
Prunus cerasifera,7,41.34
Pinus flexilis,7,71.24
Metasequoia glyptostroboides,6,26.25
Quercus,6,53.15
Populus fremontii,5,131.23
Quercus robur,5,62.99
Populus sargentii,5,93.18
Acer,5,82.68
Maclura pomifera,5,91.86
Eucommia ulmoides,4,35.27
Ulmus crassifolia,4,44.29
Celtis reticulata,4,106.63
Juniperus scopulorum,4,85.3
Morus,4,222.28
Cedrus atlantica,3,65.62
Pinus pinea,3,109.36
Pinus aristata,3,16.4
Forestiera neomexicana,3,49.21
Malus domestica,3,82.02
Sorbus,2,68.9
Populus acuminata,2,196.85
Tilia,2,60.7
Ginkgo biloba,2,49.21
Elaeagnus angustifolia,2,147.64
Sambucus,2,198.49
Zelkova serrata,2,32.81
Acer ginnala,2,44.29
Pinus thunbergii,2,88.58
Ilex opaca,1,39.37
Populus tremuloides,1,59.06
Quercus rubra,1,
Lagerstroemia,1,39.37
Morus rubra,1,131.23
Tilia americana,1,59.06
Picea,1,118.11
Pseudotsuga menziesii,1,147.64
Prunus armeniaca,1,68.9
Catalpa speciosa,1,114.83
Acer saccharinum,1,131.23
Acer platanoides,1,114.83
Juniperus monosperma,1,108.27
