scientific_name,count,height_M
Gleditsia triacanthos,10428,
Tilia,6107,
Fraxinus pennsylvanica,5465,
Acer platanoides,4745,
Acer saccharinum,3433,
Celtis occidentalis,2493,
Tilia americana,1668,
Malus,1536,
Pinus nigra,1517,
Pyrus calleryana,1490,
Ulmus pumila,1325,
Picea pungens,1234,
Populus,1109,
Populus sargentii,1068,
Quercus robur,832,
Pinus ponderosa,805,
Fraxinus americana,763,
Crataegus crus-galli,650,
Ulmus americana,634,
Quercus rubra,536,
Pinus edulis,440,
Pinus sylvestris,357,
Populus acuminata,317,
Quercus bicolor,317,
Acer truncatum,316,
Elaeagnus angustifolia,300,
Quercus macrocarpa,296,
Tilia cordata,280,
Catalpa speciosa,272,
Acer ginnala,264,
Juniperus scopulorum,248,
Gymnocladus dioicus,248,
Acer freemanii,243,
Koelreuteria paniculata,241,
Salix amygdaloides,241,
Quercus muehlenbergii,224,
Ulmus japonica,218,
Quercus shumardii,179,
Acer tataricum,177,
Salix fragilis,155,
Prunus cerasifera,146,
Acer rubrum,133,
Fraxinus pennsylvanica 'Patmore',125,
Salix,114,
Picea,97,
Ulmus propinqua,97,
Prunus virginiana,90,
Acer miyabei,84,
Ulmus,81,
Pinus strobiformis,78,
Syringa reticulata,77,
Thuja,70,
Sophora japonica,68,
Pinus flexilis,64,
Populus angustifolia,62,
Acer negundo,55,
Ailanthus altissima,53,
Ulmus davidiana,50,
Pyrus ussuriensis,47,
Pseudotsuga menziesii,45,
Prunus,44,
Acer saccharum,42,
Abies concolor,39,
Crataegus,38,
Frangula alnus,36,
Prunus cerasus,28,
Quercus warei,27,
Abies,26,
Aesculus glabra,26,
Tilia flavescens,24,
Crataegus phaenopyrum,23,
Quercus palustris,22,
Juglans nigra,21,
Cercis,21,
Tilia tomentosa,19,
Robinia pseudoacacia,19,
Pinus aristata,19,
Quercus gambellii,18,
Liriodendron tulipifera,17,
Crataegus viridis,16,
Catalpa ovata,14,
Populus tremula,14,
Quercus texana,13,
Juniperus virginiana,13,
Sorbus,12,
Populus deltoides,12,
Morus,11,
Acer grandidentatum,11,
Cladrastis lutea,10,
Eucommia ulmoides,10,
Ginkgo biloba,9,
Rhus typhina,9,
Platanus acerifolia,9,
Crataegus ambigua,8,
Betula,7,
Rhamnus,7,
Acer campestre,7,
Fraxinus nigra,7,
Populus alba,7,
Populus nigra,7,
Maackia amurensis,7,
Phellodendron amurense,6,
Acer buergerianum,6,
Euonymus europaeus,6,
Magnolia kobus,6,
Amelanchier canadensis,5,
Maclura pomifera,4,
Salix matsudana,4,
Prunus serrulata,4,
Rhus,4,
Aesculus,4,
Prunus nigra,3,
Fraxinus mandshurica,3,
Zelkova serrata,3,
Pinus strobus,2,
Amelanchier grandiflora,2,
Carpinus betulus,2,
Quercus montana,2,
Prunus serotina,2,
Quercus imbricaria,2,
Taxodium distichum,1,
Cladrastis kentukea,1,
Heptacodium miconioides,1,
Picea abies,1,
Crataegus mollis,1,
Elaeagnus umbellata,1,
Alnus hirsuta,1,
Ptelea trifoliata,1,
Acer platanoides 'Fairview',1,
Fagus sylvatica,1,
Juglans,1,
Xanthoceras sorbifolium,1,
Prunus padus,1,
