scientific_name,count,height_M
Carya illinoinensis,916,138.6
Ulmus crassifolia,831,82.08
Quercus virginiana,790,84.06
Lagerstroemia indica,609,46.15
Quercus fusiformis,590,108.61
Quercus shumardii,485,80.97
Ulmus americana,232,116.1
Taxodium distichum,164,108.33
Celtis laevigata,163,79.55
Fraxinus texensis,112,55.22
Ulmus parvifolia,107,56.45
Sophora secundiflora,106,32.53
Ilex vomitoria,66,32.86
Pyrus calleryana,62,63.98
Cercis canadensis,56,33.69
Melia azedarach,53,73.97
Ligustrum lucidum,36,66.35
Acer grandidentatum,35,30.84
Platanus occidentalis,31,126.15
Quercus polymorpha,27,67.2
Triadica sebifera,25,95.54
Pistacia chinensis,23,80.59
Quercus muehlenbergii,22,48.91
Quercus macrocarpa,20,77.59
Prunus caroliniana,20,68.24
Morus alba,20,62.99
Fraxinus berlandieriana,17,82.79
Washingtonia robusta,16,65.21
Platanus mexicana,15,126.86
Quercus stellata,14,101.0
Trachycarpus fortunei,13,51.99
Punica granatum,13,35.58
Juniperus ashei,13,101.2
Ligustrum japonicum,13,30.54
Vitex agnus-castus,13,50.47
Ailanthus altissima,13,90.85
Quercus buckleyi,12,75.73
Sideroxylon lanuginosum,11,73.97
Condalia hookeri,10,55.77
Prosopis glandulosa,9,68.17
Sabal mexicana,9,106.81
Quercus durandii,9,128.68
Eriobotrya japonica,9,59.42
Cupressus sempervirens,9,49.94
Diospyros texana,7,44.53
Liquidambar styraciflua,7,95.61
Callistemon viminalis,7,26.25
Ilex decidua,6,42.65
Magnolia grandiflora,6,100.07
Rhus lanceolata,6,29.53
Butia capitata,6,32.26
Bauhinia lunarioides,5,23.62
Sabal palmetto,5,109.58
Ilex cornuta,5,35.43
Chilopsis linearis,5,31.5
Parkinsonia aculeata,5,58.4
Pinus pinea,5,120.73
Rhaphiolepis,4,45.11
Hibiscus syriacus,4,26.25
Photinia serrulata,4,54.95
Washingtonia filifera,4,60.7
Morus rubra,3,75.46
Catalpa speciosa,3,136.7
Prunus mexicana,3,59.06
Acacia stenophylla,2,45.93
Koelreuteria elegans,2,82.02
Brahea edulis,2,26.25
Pinus eldarica,2,75.46
Fraxinus velutina,2,95.14
Ficus carica,2,32.81
Diospyros kaki,2,62.34
Citrus sinensis,2,26.25
Quercus rubra,2,106.63
Juniperus virginiana,2,65.62
Carpinus caroliniana,2,75.46
Prunus persica,2,42.65
Prunus domestica,2,26.25
Prunus cerasifera,2,26.25
Phoenix canariensis,2,13.12
Albizia julibrissin,2,65.62
Salix nigra,1,75.46
Sapindus drummondii,1,75.46
Robinia pseudoacacia,1,75.46
Acacia smallii,1,26.25
Quercus suber,1,75.46
Quercus glaucoides,1,42.65
Chamaerops humilis,1,39.37
Citrus paradisi,1,49.21
Cordia boissieri,1,26.25
Diospyros virginiana,1,75.46
Firmiana simplex,1,75.46
Ginkgo biloba,1,124.67
Koelreuteria paniculata,1,75.46
Leucaena leucocephala,1,49.21
Maclura pomifera,1,124.67
Myrica cerifera,1,26.25
Pittosporum tobira,1,75.46
Platycladus orientalis,1,75.46
Podocarpus macrophyllus,1,29.53
Prosopis alba,1,52.49
Pyracantha coccinea,1,26.25
Pyrus communis,1,75.46
Quercus canbyi,1,75.46
Yucca rostrata,1,26.25
