scientific_name,count,height_M
Pinus ponderosa,1924,
Fraxinus pennsylvanica,1844,
Acer saccharinum,952,
Picea pungens,888,
Ulmus pumila,841,
Ulmus americana,686,
Gleditsia triacanthos,559,
Populus,526,
Acer platanoides,495,
Pinus edulis,397,
Fraxinus,375,
Quercus rubra,355,
Ulmus,341,
Pinus nigra,333,
Celtis occidentalis,319,
Malus,299,
Fraxinus americana,219,
Abies concolor,208,
Quercus macrocarpa,202,
Tilia cordata,199,
Juniperus chinensis,193,
Crataegus,189,
Quercus bicolor,174,
Syringa reticulata,171,
Tilia americana,157,
Elaeagnus angustifolia,152,
Thuja,127,
Tilia,118,
Acer ginnala,99,
Juniperus scopulorum,81,
Pinus sylvestris,80,
Juniperus sabina,79,
Gymnocladus dioicus,71,
Salix,70,
Pseudotsuga menziesii,63,
Prunus virginiana,59,
Koelreuteria paniculata,58,
Populus sargentii,56,
Quercus robur,51,
Prunus cerasifera,50,
Pinus aristata,46,
Pinus,44,
Catalpa,42,
Populus tremuloides,41,
Acer rubrum,39,
Picea,34,
Acer freemanii,31,
Acer negundo,28,
Acer tataricum,28,
Syringa,23,
Pyrus calleryana,23,
Aesculus glabra,21,
Quercus palustris,21,
Populus deltoides,21,
Robinia pseudoacacia,19,
Catalpa speciosa,18,
Picea glauca,17,
Picea abies,15,
Quercus,15,
Pinus strobiformis,14,
Cercis canadensis,13,
Prunus maackii,12,
Pinus contorta,12,
Juniperus virginiana,12,
Populus alba,11,
Prunus,11,
Juniperus,11,
Pyrus,10,
Pinus mugo,10,
Malus domestica,10,
Crataegus mordenensis,10,
Styphnolobium japonicum,9,
Prunus padus,9,
Platanus occidentalis,8,
Sorbus aucuparia,8,
Ulmus hollandica,7,
Crataegus crus-galli,6,
Pinus flexilis,6,
Rhus,6,
Phellodendron amurense,6,
Acer saccharum,5,
Ailanthus altissima,4,
Rhamnus cathartica,4,
Ginkgo biloba,4,
Picea rubens,4,
Acer,4,
Quercus alba,4,
Taxodium distichum,4,
Salix alba,4,
Ptelea,3,
Sorbus,3,
Prunus nigra,3,
Amelanchier,3,
Picea engelmannii,3,
Betula nigra,3,
Cornus racemosa,3,
Aesculus,3,
Juglans nigra,3,
Carpinus,3,
Malus ioensis,3,
Platanus acerifolia,2,
Acer campestre,2,
Betula papyrifera,2,
Morus rubra,2,
Fraxinus mandshurica,2,
Fraxinus nigra,2,
Larix occidentalis,2,
Ulmus parvifolia,2,
Parthenocissus quinquefolia,2,
Ulmus procera,2,
Acer platanoides 'Fairview',2,
Corylus colurna,2,
Ulmus glabra,1,
Cotinus,1,
Alnus,1,
Cladastris kentukea,1,
Cercis,1,
Crataegus mollis,1,
Betula pendula,1,
Tilia tomentosa,1,
Crataegus laevigata,1,
Potentilla fruticosa,1,
Salix matsudana,1,
Pyrus ussuriensis,1,
Prunus persica,1,
Prunus subhirtella,1,
Betula,1,
Picea mariana,1,
Ptelea trifoliata,1,
PInus bungeana,1,
Malus pumila,1,
Fagus sylvatica,1,
Larix,1,
Quercus montana,1,
Fraxinus quadrangulata,1,
Fraxinus pennsylvanica 'Patmore',1,
Aesculus flava,1,
Acer grandidentatum,1,
Rhus typhina,1,
