scientific_name,count,height_M
Fraxinus pennsylvanica,9402,
Pyrus calleryana,9245,
Acer rubrum,8657,
Acer saccharum,7512,
Gleditsia triacanthos,7090,
Malus,6924,
Fraxinus americana,6742,
Acer freemanii,5664,
Acer platanoides,4549,
Tilia cordata,4102,
Platanus acerifolia,3916,
Acer saccharinum,3156,
Prunus,2962,
Quercus rubra,2770,
Celtis occidentalis,2041,
Quercus bicolor,2025,
Ulmus,1990,
Quercus acutissima,1918,
Liquidambar styraciflua,1679,
Acer truncatum,1678,
Cercis canadensis,1256,
Quercus palustris,1236,
Ulmus parvifolia,1187,
Carpinus betulus,1129,
Amelanchier laevis,1049,
Fraxinus,1038,
Picea abies,998,
Zelkova serrata,962,
Pinus strobus,932,
Juglans nigra,867,
Ginkgo biloba,856,
Amelanchier,855,
Picea pungens,838,
Eucommia ulmoides,819,
Ulmus pumila,789,
Acer ginnala,742,
Morus alba,697,
Betula nigra,685,
Quercus macrocarpa,650,
Cladrastis lutea,622,
Acer campestre,611,
Tilia tomentosa,589,
Prunus serotina,586,
Syringa reticulata,583,
Quercus imbricaria,553,
Quercus alba,534,
Catalpa speciosa,528,
Tilia americana,521,
Taxodium distichum,519,
Prunus serrulata,518,
Acer negundo,505,
Acer buergerianum,504,
Pinus nigra,491,
Populus deltoides,490,
Platanus occidentalis,472,
Cornus mas,469,
Crataegus,422,
Koelreuteria paniculata,418,
Quercus shumardii,407,
Liriodendron tulipifera,394,
Pinus sylvestris,361,
Quercus lyrata,353,
Phellodendron amurense,353,
Magnolia virginiana,347,
Cercidiphyllum japonicum,345,
Quercus robur,344,
Ulmus americana,331,
Cornus florida,327,
Robinia pseudoacacia,321,
Gymnocladus dioicus,299,
Ostrya virginiana,290,
Thuja occidentalis,264,
Ailanthus altissima,258,
Acer grandidentatum,252,
Pinus,247,
Metasequoia glyptostroboides,239,
Nyssa sylvatica,229,
Carpinus caroliniana,229,
Acer,228,
Cornus kousa,217,
Corylus colurna,217,
Magnolia soulangeana,205,
Quercus,197,
Morus,196,
Picea glauca,190,
Acer nigrum,189,
Crataegus viridis,184,
Hibiscus syriacus,168,
Quercus phellos,166,
Prunus cerasifera,166,
Carya ovata,165,
Quercus muehlenbergii,163,
Tilia,149,
Prunus padus,145,
Aesculus glabra,144,
Prunus subhirtella,128,
Ulmus procera,126,
Pinus strobiformis,122,
Fraxinus nigra,120,
Pyrus communis,120,
Prunus incam,119,
Fagus sylvatica,118,
Maackia amurensis,116,
Quercus coccinea,109,
Tsuga canadensis,101,
Fraxinus excelsior,96,
Acer palmatum,96,
Amelanchier canadensis,96,
Maclura pomifera,94,
Acer tataricum,89,
Alnus japonica,88,
Magnolia acuminata,85,
Aesculus,85,
Ulmus rubra,84,
Picea,82,
Aesculus hippocastanum,80,
Crataegus phaenopyrum,80,
Alnus cordata,71,
Fagus grandifolia,65,
Juniperus virginiana,63,
Aesculus carnea,62,
Magnolia,62,
Taxus,61,
Prunus yedoensis,60,
Magnolia liliiflora,58,
Fraxinus ornus,58,
Carya,54,
Malus transitoria,52,
Fagus,51,
Carya cordiformis,50,
Betula papyrifera,49,
Cornus alternifolia,49,
Malus sylvestris,48,
Prunus sargentii,47,
Salix nigra,46,
Juniperus communis,45,
Halesia,42,
Pseudotsuga menziesii,42,
Tetradium daniellii,41,
Tilia platyphyllos,40,
Magnolia stellata,39,
Hamamelis virginiana,38,
Populus alba,37,
Pyrus pyrifolia,36,
Viburnum prunifolium,36,
Crataegus crus-galli,35,
Aesculus flava,35,
Pinus resinosa,34,
Picea omorika,33,
Carya glabra,31,
Ulmus davidiana,31,
Aesculus pavia,29,
Magnolia loebneri,29,
Sassafras albidum,26,
Sophora japonica,26,
Salix babylonica,23,
Betula pendula,23,
Betula populifolia,22,
Cotinus obovatus,22,
Diospyros,21,
Asimina triloba,21,
Fraxinus quadrangulata,20,
Chionanthus retusus,19,
Albizia julibrissin,18,
Rhus glabra,18,
Cornus racemosa,17,
Elaeagnus angustifolia,16,
Thuja plicata,16,
Styphnolobium japonicum,16,
Juglans regia,16,
Larix laricina,16,
Prunus pendula,15,
Prunnus yedoensis,15,
Sorbus,14,
Cupressus nootkatensis,14,
Parrotia persica,12,
Abies concolor,11,
Ulmus hollandica,11,
Ptelea,11,
Tilia euchlora,10,
Chionanthus,9,
Aesculus parviflora,9,
Salix matsudana,9,
Quercus velutina,9,
Quercus montana,9,
Ligustrum,8,
Viburnum rufidulum,8,
Hamamelis vernalis,8,
Abies balsamea,7,
Magnolia grandiflora,7,
Pinus flexilis,7,
Pinus mugo,7,
Ilex cornuta,7,
Chamaecyparis obtusa,6,
Prunus nigra,6,
Celtis laevigata,6,
Juniperus chinensis,6,
Prunus persica,5,
Stewartia pseudocamellia,5,
Magnolia tripetala,5,
Quercus stellata,4,
Laburnum anagyroides,4,
Quercus frainetto,4,
Betula lenta,4,
Catalpa bungei,3,
Chamaecyparis lawsoniana,3,
Populus tremuloides,3,
Laburnum watereri,3,
Larix kaempferi,3,
Quercus laurifolia,3,
Populus nigra,3,
Caragana arborescens,2,
Amelanchier grandiflora,2,
Ulmus wilsoniana,2,
Styrax japonicus,2,
Betula alleghaniensis,2,
Magnolia salicifolia,2,
Populus tremula,2,
Corylus avellana,2,
Malus floribunda,2,
Malus sargentii,2,
Magnolia brooklynensis,2,
Juniperus scopulorum,2,
Sequoiadendron giganteum,2,
Quercus bebbiana,2,
Catalpa ovata,2,
Quercus glandulifera,1,
Cornus rutgersensis,1,
Xanthoceras sorbifolium,1,
Carya illinoinensis,1,
Celtis reticulata,1,
Acer triflorum,1,
Larix sibirica,1,
Phellodendron sachalinense,1,
Larix decidua,1,
Ulmus minor,1,
