scientific_name,count,height_M
Quercus virginiana,1238,
Ulmus crassifolia,844,
Quercus shumardii,761,
Taxodium distichum,691,
Lagerstroemia indica,497,
Pistacia chinensis,427,
Ulmus parvifolia,290,
Liquidambar styraciflua,287,
Magnolia grandiflora,159,
Pyrus calleryana,152,
Cercis canadensis,82,
Acer rubrum,76,
Ginkgo biloba,63,
Ilex,57,
Pinus taeda,56,
Acer buergerianum,55,
Ulmus pumila,45,
Betula nigra,43,
Quercus macrocarpa,42,
Quercus stellata,40,
Quercus muehlenbergii,29,
Acer saccharinum,27,
Acer palmatum,24,
Pyrus communis,22,
Fraxinus americana,22,
Prosopis glandulosa,21,
Gleditsia triacanthos,19,
Celtis occidentalis,17,
Fraxinus pennsylvanica,17,
Prunus mexicana,12,
Carya illinoinensis,11,
Vitex agnus-castus,10,
Taxodium ascendens,9,
Ulmus americana,8,
Chilopsis linearis,7,
Morus rubra,6,
Koelreuteria paniculata,6,
Populus deltoides,5,
Styphnolobium affine,5,
Sophora secundiflora,4,
Washingtonia robusta,4,
Quercus falcata,4,
Ostrya virginiana,4,
Sapindus,3,
Acer saccharum,3,
Acer negundo,1,
Pinus,1,
Juniperus virginiana,1,
Ailanthus altissima,1,
Pinus eldarica,1,
