scientific_name,count,height_M
Fraxinus pennsylvanica,1558,
Malus,1263,
Acer saccharinum,1202,
Acer saccharum,1088,
Acer platanoides,712,
Celtis occidentalis,703,
Quercus macrocarpa,657,
Pinus strobus,553,
Quercus rubra,539,
Picea,496,
Juglans nigra,495,
Gleditsia triacanthos,405,
Acer rubrum,395,
Acer,379,
Tilia cordata,327,
Fraxinus,290,
Juniperus virginiana,270,
Quercus palustris,252,
Pyrus,242,
Platanus occidentalis,224,
Carya,209,
Picea pungens,193,
Quercus bicolor,186,
Ulmus pumila,184,
Acer nigrum,182,
Fraxinus americana,176,
Tilia americana,172,
Morus,154,
Thuja occidentalis,144,
Ulmus parvifolia,123,
Catalpa,122,
Acer ginnala,118,
Cercis canadensis,115,
Betula nigra,112,
Picea abies,106,
Ulmus,98,
Populus,96,
Quercus,86,
Gymnocladus dioicus,82,
Quercus alba,77,
Ulmus americana,72,
Prunus serotina,69,
Pinus sylvestris,68,
Acer negundo,56,
Ginkgo biloba,56,
Quercus ellipsoidalis,52,
Syringa,47,
Populus deltoides,46,
Salix,45,
Syringa reticulata,44,
Catalpa speciosa,35,
Prunus,31,
Pinus nigra,31,
Populus tremuloides,28,
Prunus virginiana,28,
Pyrus calleryana,28,
Liriodendron tulipifera,28,
Tilia,26,
Aesculus glabra,23,
Pinus resinosa,20,
Betula,18,
Prunus cerasifera,17,
Betula papyrifera,15,
Magnolia grandiflora,15,
Picea mariana,13,
Ostrya virginiana,11,
Sorbus,11,
Quercus coccinea,10,
Robinia pseudoacacia,9,
Populus nigra,9,
Cornus,8,
Juniperus,8,
Rhus,8,
Alnus,7,
Tsuga canadensis,5,
Liquidambar styraciflua,5,
Castanea dentata,4,
Cladrastis kentukea,3,
Acer palmatum,3,
Phellodendron amurense,2,
Salix discolor,2,
Morus alba,1,
Pinus ponderosa,1,
Prunus serrulata,1,
Fraxinus nigra,1,
