scientific_name,count,height_M
Salix,1735,
Populus,1276,
Acer rubrum,1183,
Ulmus,981,
Platanus acerifolia,980,
Celtis occidentalis,852,
Malus,706,
Quercus bicolor,702,
Liriodendron tulipifera,622,
Zelkova serrata,580,
Tilia cordata,571,
Ginkgo biloba,571,
Amelanchier,546,
Gymnocladus dioicus,540,
Quercus rubra,535,
Syringa reticulata,489,
Acer freemanii,471,
Acer saccharum,470,
Quercus macrocarpa,427,
Carpinus betulus,407,
Quercus imbricaria,380,
Tilia americana,354,
Crataegus crus-galli,340,
Carpinus caroliniana,330,
Betula nigra,323,
Ulmus americana,320,
Aesculus hippocastanum,285,
Cladrastis kentukea,242,
Tilia tomentosa,237,
Cercis canadensis,213,
Pyrus calleryana,190,
Liquidambar styraciflua,180,
Quercus,178,
Ostrya virginiana,174,
Amelanchier laevis,167,
Crataegus,145,
Metasequoia,130,
Acer,122,
Acer campestre,121,
Prunus subhirtella,105,
Platanus occidentalis,92,
Amelanchier canadensis,84,
Quercus acutissima,78,
Quercus robur,71,
Metasequoia glyptostroboides,71,
Nyssa sylvatica,69,
Cercidiphyllum japonicum,69,
Crataegus viridis,60,
Prunus virginiana,55,
Magnolia,43,
Koelreuteria paniculata,43,
Acer buergerianum,38,
Quercus alba,37,
Gingko biloba,31,
Gleditsia tricanthos,29,
Quercus lyrata,29,
Zelkova,24,
Quercus coccinea,22,
Cornus florida,21,
Casuarina equisetifolia,21,
Cornus mas,21,
Acer griseum,19,
Gleditsia triacanthos,18,
Quercus shumardii,15,
Maackia amurensis,15,
Acer miyabei,12,
Taxodium distichum,11,
Prunus,11,
Ulmus parvifolia,9,
Prunus serrulata,7,
Aesculus carnea,7,
Acer platanoides,7,
Cornus kousa,6,
Robinia pseudoacacia,6,
Acer saccharinum,5,
Cornus,4,
Acer nigrum,4,
Picea glauca,4,
Aesculus Octandra,3,
Betula papyrifera,3,
Fagus,2,
Fagus sylvatica,2,
Tilia,2,
Quercus ellipsoidalis,2,
Morus alba,1,
Taxus,1,
Thuja occidentalis,1,
Salix nigra,1,
Crataegus mollis,1,
Betula pendula,1,
Pinus nigra,1,
Koelreuteria elegans,1,
Quercus phellos,1,
Pinus strobus,1,
Ulmus rubra,1,
Fraxinus americana,1,
Fraxinus pennsylvanica,1,
