scientific_name,count,height_M
Lagerstroemia,3103,21.72
Quercus phellos,2777,47.57
Acer buergerianum,1027,17.83
Acer rubrum,718,34.71
Ulmus parvifolia,573,37.28
Cercis canadensis,537,15.77
Ulmus americana,375,29.43
Pistacia chinensis,363,18.75
Quercus lyrata,326,22.79
Ginkgo biloba,261,16.9
Chionanthus retusus,244,17.56
Pinus taeda,239,
Pyrus calleryana,237,
Quercus bicolor,236,19.44
Magnolia grandiflora,225,
Nyssa sylvatica,221,16.4
Zelkova serrata,211,31.44
Prunus,208,16.4
Quercus nigra,189,
Carpinus caroliniana,179,16.4
Taxodium distichum,165,16.4
Liquidambar styraciflua,163,
Juniperus virginiana,160,26.25
Acer truncatum,152,20.46
Acer saccharum,145,
Magnolia,127,14.42
Quercus coccinea,109,26.25
Prunus yedoensis,101,15.37
Quercus virginiana,92,16.4
Ulmus alata,90,17.3
Betula nigra,88,16.81
Cladrastis kentukea,86,16.87
Juniperus,85,
Cercis chinensis,84,16.4
Parrotia persica,80,17.16
Cornus florida,74,
Quercus macrocarpa,72,16.4
Quercus alba,72,
Taxodium ascendens,70,26.25
Fraxinus pennsylvanica,66,174.98
Quercus rubra,64,
Quercus acutissima,60,29.53
Acer palmatum,59,16.4
Platanus acerifolia,54,19.69
Amelanchier arborea,53,
Tilia cordata,52,
Liriodendron tulipifera,50,
Tilia americana,50,
Cedrus deodara,47,
Carya illinoinensis,46,
Platanus occidentalis,46,19.69
Ulmus,45,24.61
Quercus shumardii,42,16.4
Prunus serotina,41,16.4
Ilex opaca,41,
Quercus michauxii,39,16.4
Albizia julibrissin,39,
Crataegus,39,16.4
Quercus falcata,38,
Ilex,35,
Quercus texana,30,
Quercus georgiana,30,
Celtis,29,16.4
Cornus,27,19.69
Acer saccharinum,26,
Cupressocyparis leylandii,25,
Metasequoia glyptostroboides,24,
Maclura pomifera,24,26.25
Gymnocladus dioicus,24,26.25
Amelanchier,23,
Ligustrum,23,
Quercus palustris,22,26.25
Ostrya virginiana,20,17.34
Catalpa speciosa,20,
Acer ginnala,20,
Quercus stellata,19,16.4
Pinus echinata,17,
Magnolia virginiana,17,
Ficus carica,17,
Diospyros virginiana,17,
Koelreuteria paniculata,17,
Prunus persica,16,
Cornus kousa,16,
Robinia pseudoacacia,16,
Morus,16,
Morus rubra,15,
Quercus hemisphaerica,10,
Ulmus rubra,10,
Fraxinus americana,10,
Carpinus betulus,10,
Malus,9,
Quercus polymorpha,9,
Ilex cornuta,8,
Melia azedarach,8,
Styrax japonicus,8,
Celtis laevigata,7,
Acer campestre,6,
Pyrus,6,16.4
Carya,6,
Prunus cerasifera,6,
Quercus montana,5,
Juglans nigra,5,
Malus tschonoskii,4,
Magnolia soulangiana,4,
Quercus pagoda,4,
Populus deltoides,3,
Pyrus communis,3,
Magnolia acuminata,3,
Pinus palustris,3,
Fagus grandifolia,3,
Halesia carolina,3,
Chionanthus virginicus,3,
Pinus strobus,3,
Picea,2,
Cotinus coggygria,2,
Acer platanoides,2,16.4
Salix,2,
Quercus ilex,2,
Asimina triloba,2,
Prunus serrulata,2,16.4
Viburnum,1,
Vitex agnus-castus,1,
Acer griseum,1,
Acer macrophyllum,1,
Viburnum prunifolium,1,
Washingtonia filifera,1,
Quercus imbricaria,1,
Serenoa repens,1,
Salix nigra,1,
Salix matsudana,1,
Quercus velutina,1,
Carya alba,1,
Carya ovata,1,
Quercus robur,1,
Cercidiphyllum japonicum,1,
Cryptomeria japonica,1,
Quercus ellipsoidalis,1,
Fraxinus nigra,1,
Paulownia tomentosa,1,
Magnolia stellata,1,
Abies,1,
