scientific_name,count,height_M
Cedrus deodara,749,
Pistacia chinensis,713,
Quercus lobata,588,
Ulmus parvifolia,444,
Quercus coccinea,397,
Ginkgo biloba,331,
Platanus acerifolia,294,
Pinus pinea,238,
Quercus virginiana,232,
Pinus halepensis,209,
Cupressus sempervirens,198,
Lagerstroemia indica,184,
Cinnamomum camphora,153,
Celtis occidentalis,152,
Quercus suber,137,
Zelkova serrata,126,
Sequoia sempervirens,124,
Pinus,99,
Quercus ilex,97,
Quercus agrifolia,93,
Quercus shumardii,84,
Platanus racemosa,60,
Pyrus calleryana,55,
Platanus occidentalis,54,
Populus fremontii,44,
Laurus nobilis,43,
Cercis canadensis,39,
Elaeocarpus decipiens,37,
Acer palmatum,35,
Podocarpus gracilior,19,
Cedrus atlantica,17,
Acer rubrum,16,
Nyssa sylvatica,15,
Cornus florida,13,
Cercis occidentalis,10,
Fraxinus americana,8,
Rhus lancea,6,
Liquidambar styraciflua,6,
Magnolia,5,
Prunus cerasifera,5,
Betula pendula,4,
Alnus rhombifolia,4,
Washingtonia filifera,4,
Prunus caroliniana,4,
Quercus,4,
Koelreuteria paniculata,4,
Pyrus kawakamii,3,
Malus floribunda,3,
Xylosma,3,
Pyrus,1,
Podocarpus macrophyllus,1,
Quercus palustris,1,
Nerium oleander,1,
Callistemon pallidus,1,
Morus alba,1,
Robinia pseudoacacia,1,
Schinus molle,1,
Ligustrum lucidum,1,
Ficus carica,1,
Geijera parviflora,1,
