scientific_name,count,height_M
Lagerstroemia,713,8.17
Quercus phellos,523,8.15
Carya illinoinensis,437,8.16
Ulmus,405,8.15
Celtis occidentalis,295,8.17
Cornus florida,248,8.23
Acer saccharum,238,8.24
Morus,222,8.17
Acer rubrum,221,8.17
Juglans nigra,220,8.21
Cupressus leylandii,197,8.21
Magnolia grandiflora,166,8.21
Acer saccharinum,128,8.15
Prunus serotina,122,8.22
Prunus,118,8.18
Quercus falcata,114,8.22
Liquidambar styraciflua,109,8.15
Ilex,105,8.2
Pyrus calleryana,87,8.17
Ailanthus altissima,68,8.2
Quercus stellata,65,8.18
Juniperus virginiana,61,8.18
Cercis canadensis,58,8.09
Pinus taeda,50,8.16
Quercus alba,45,8.23
Fraxinus americana,45,8.21
Catalpa bignonioides,43,8.19
Betula nigra,40,8.2
Pinus strobus,39,8.22
Zelkova serrata,35,8.11
Acer palmatum,35,8.23
Cryptomeria japonica,31,8.15
Lagerstroemia indica,30,
Pinus echinata,30,8.12
Cedrus deodara,30,8.19
Magnolia,27,8.14
Cornus kousa,26,8.13
Quercus coccinea,26,8.2
Tsuga canadensis,26,8.22
Diospyros virginiana,25,8.15
Acer buergerianum,23,8.06
Quercus palustris,23,8.06
Platanus occidentalis,23,8.1
Thuja occidentalis,22,8.13
Ulmus parvifolia,20,8.21
Acer negundo,19,8.3
Quercus nigra,19,
Malus domestica,19,8.27
Fraxinus,17,8.11
Albizia julibrissin,17,8.17
Malus angustifolia,16,8.28
Nyssa sylvatica,16,8.24
Callitris glaucophylla,15,8.14
Chamaecyparis pisifera,15,
Ilex opaca,14,
Gleditsia triacanthos,14,8.18
Liriodendron tulipifera,14,8.17
Prunus subhirtella,14,8.18
Pinus palustris,13,8.35
Quercus virginiana,13,8.07
Pinus elliottii,13,8.1
Myrica cerifera,12,8.03
Robinia pseudoacacia,12,8.23
Carya,12,8.18
Platycladus orientalis,11,
Prunus cerasifera,11,8.25
Pinus virginiana,11,8.12
Buxus sempervirens,11,
Melia azedarach,10,8.25
Pyrus,10,8.12
Ilex attenuata,9,
Acer floridanum,9,
Trachycarpus fortunei,8,
Taxodium distichum,8,8.19
Magnolia virginiana,8,
Quercus rubra,8,8.2
Prunus serrulata,8,
Catalpa speciosa,8,
Ulmus alata,8,
Unidentified,8,8.08
Ginkgo biloba,8,
Thuja,8,8.12
Ginko biloba,7,8.12
Buxus microphylla,7,
Staphylea trifolia,7,8.35
Prunus persica,7,8.11
Pinus glabra,7,
Ligustrum japonicum,7,8.15
Picea abies,7,8.17
Lagerstroemia fauriei,7,
Forsythia intermedia,6,
Tilia europaea,6,
Ilex vomitoria,6,8.07
Quercus velutina,6,8.47
Nandina domestica,6,
Populus deltoides,6,8.18
Quercus michauxii,6,8.21
Abelia grandiflora,6,
Chionanthus virginicus,6,
Carya tomentosa,6,
Sassafras albidum,5,7.94
Quercus hemisphaerica,5,
Fraxinus pennsylvanica,5,
x Hesperotropsis,4,
Sabal minor,4,
Ilex crenata,4,
Cunninghamia lanceolata,4,
Camellia sasanqua,4,
Prunus caroliniana,4,
Quercus pagoda,4,8.17
Pistacia chinensis,4,
Carya ovata,4,
Picea pungens,4,8.23
Loropetalum chinense,3,
Hydrangea paniculata,3,
Carya cordiformis,3,
Magnolia acuminata,3,
Pinus thunbergii,3,
Quercus,3,8.09
Quercus glauca,3,
Paulownia tomentosa,3,
Osmanthus heterophyllus,3,
Ilex cornuta,3,
Cephalotaxus harringtonia,3,
Platanus acerifolia,3,
Morus alba,3,8.31
Hibiscus syriacus,3,
Styrax japonica,3,7.96
Yucca filamentosa,3,
Euonymus alatus,3,
Fagus grandifolia,3,
Ulmus americana,3,
Aesculus,3,8.57
Thuja plicata,3,
Salix discolor,2,8.38
Viburnum prunifolium,2,
Acer griseum,2,
Amelanchier arborea,2,
Vaccinium arboreum,2,
Pinus wallichiana,2,
Viburnum,2,
Viburnum awabuki,2,
Viburnum plicatum,2,
Quercus prinus,2,8.04
Pinus pinea,2,
Castanopsis sclerophylla,2,
Acer platanoides,2,
Cedrus atlantica,2,
Pinus arizonica,2,
Viburnum recognitum,2,
Aesculus parviflora,2,
Ostrya virginiana,2,
Yucca aloifolia,2,
Osmanthus fragrans,2,
Celtis laevigata,2,
Rhaphiolepis indica,2,
Carpinus caroliniana,2,
Populus,2,8.19
Quercus oglethorpensis,2,
Quercus comptoniae,2,
Quercus myrsinifolia,2,
Quercus muehlenbergii,2,
Quercus macrocarpa,2,
Cercis chinensis,2,
Spiraea betulifolia,2,
Salix babylonica,2,8.16
Quercus georgiana,2,
Quercus geminata,2,
Quercus faginea,2,
Quercus acutissima,2,8.21
Populus tremuloides,2,
Aesculus hippocastanum,2,
Pyrus communis,2,
Callicarpa dichotoma,2,
Camellia japonica,2,
Prunus mume,2,
Prunus laurocerasus,2,
Rhus typhina,2,
Tilia americana,2,8.06
Camellia sinensis,2,
Quercus incana,2,
Pinus sondereggeri,2,
Cunninghamia,2,8.13
Firmiana simplex,2,
Lagerstroemia L.,2,
Frangula caroliniana,2,
Ligustrum lucidum,2,
Hypericum stragulum,2,
Magnolia soulangeana,2,
Lindera erythrocarpa,2,
Koelreuteria paniculata,2,
Koelreuteria bipinnata,2,
Gardenia jasminoides,2,
Hamamelis intermedia,2,
Cladrastis kentukea,2,
Juniperus deppeana,2,
Gymnocladus dioicus,2,
Metasequoia glyptostroboides,2,
Lonicera maackii,2,
Cotinus coggygria,2,
Ilex koehneana,2,
Halesia diptera,1,
Hamamelis,1,
Sideroxylon tenax,1,
Halesia carolina,1,
Sideroxylon lycioides,1,
Sapindus marginatus,1,
Salix nigra,1,
Sequoia sempervirens,1,
Hydrangea quercifolia,1,
Sambucus canadensis,1,
Miscanthus sinensis,1,
Rhus,1,7.97
Rhododendron calendulaceum,1,
Ilex pedunculosa,1,
Aralia spinosa,1,
Ilex cassine,1,
Amelanchier humilis,1,
Crataegus flava,1,
Ilex aquifolium,1,
Quercus riparia,1,
Quercus robur,1,
Alnus cordata,1,
Quercus shumardii,1,
Agarista populifolia,1,
Aesculus sylvatica,1,
Crataegus phaenopyrum,1,
Rhapidophyllum hystrix,1,
Sophora,1,
Rhododendron austrinum,1,
Spiraea thunbergii,1,
Spiraea cantoniensis,1,
Triadica sebifera,1,
Fothergilla major,1,
Acer freemanii,1,
Elaeagnus pungens,1,
Ulmus crassifolia,1,
Acer cissifolium,1,
Acer campestre,1,
Forestiera acuminata,1,
Vernicia fordii,1,
Ficus carica,1,8.2
Viburnum nudum,1,
Fatsia japonica,1,
Euonymus japonicus,1,
Euonymus americanus,1,
Viburnum rhytidophylloides,1,
Eucommia ulmoides,1,
Eriobotrya japonica,1,
Acer L.,1,
Acer leucoderme,1,
Acer pensylvanicum,1,8.03
Quercus marilandica,1,
Toxicodendron radicans,1,
Aesculus glabra,1,
Styphnolobium japonicum,1,8.3
Styrax americanus,1,
Cupressus arizonica,1,
Syringa vulgaris,1,
Taxodium ascendens,1,
Taxus chinensis,1,
Taxus floridana,1,
Ternstroemia gymnanthera,1,
Ternstroemia japonica,1,
Tetradium daniellii,1,
Acer truncatum,1,
Acer tataricum,1,
Deutzia gracilis,1,
Thuja standishii,1,
Distylium racemosum,1,
Tilia cordata,1,
Aronia arbutifolia,1,
Isolepis carinata,1,
Ilex rotunda,1,
Mahonia bealei,1,
Persia,1,8.1
Phellodendron amurense,1,
Photinia fraseri,1,
Photinia serratifolia,1,
Physocarpus opulifolius,1,
Cedrus libani,1,
Picea orientalis,1,
Chilopsis linearis,1,
Mahonia japonica,1,
Pinus clausa,1,
Magnolia tripetala,1,
Pinus engelmannii,1,
Castanea mollissima,1,8.35
Pinus mugo,1,
Magnolia macrophylla,1,
Pinus patula,1,
Persea palustris,1,
Passiflora lutea,1,
Pinus rigida,1,
Nyssa biflora,1,
Michelia figo,1,
Morus rubra,1,
Cercidiphyllum japonicum,1,
Chamaecyparis obtusa,1,
Nerium oleander,1,
Neviusia alabamensis,1,
Nyssa aquatica,1,
Nyssa ogeche,1,
Parrotia persica,1,
Malus purpurea,1,
Opuntia humifusa,1,
Osmanthus fortunei,1,
Malus platycarpa,1,
Acca sellowiana,1,
Chamaecyparis thyoides,1,
Oxydendrum arboreum,1,
Magnolia liliiflora,1,
Pinus serotina,1,
