scientific_name,count,height_M
Cocos nucifera,1811,115.81
Adonidia merrillii,1525,33.62
Cassia nealiae,977,87.22
Tabebuia heterophylla,955,86.92
Albizia saman,923,113.37
Casuarina equisetifolia,434,192.32
Acacia confusa,366,88.74
Conocarpus erectus,351,51.29
Tabebuia berteroi,293,63.38
Filicium decipiens,279,87.19
Pritchardia pacifica,265,54.83
Cordia sebestena,257,52.23
Plumeria,246,51.23
Cassia fistula,234,89.93
Delonix regia,234,65.12
Cassine orientalis,227,66.75
Ficus microcarpa,217,98.23
Chrysophyllum oliviforme,208,101.82
Thespesia populnea,194,67.36
Cordia subcordata,193,58.97
Pterocarpus dalbergioides,177,108.55
Calophyllum inophyllum,171,91.36
Melaleuca quinquenervia,165,92.14
Lagerstroemia indica,161,89.3
Aleurites moluccanus,159,66.2
Ilex paraguariensis,153,57.06
Swietenia mahagoni,147,119.68
Clusia rosea,135,63.99
Spathodea campanulata,133,128.37
Bauhinia blakeana,115,77.63
Roystonea,112,95.76
Lagerstroemia speciosa,105,76.49
Arecaceae,96,61.07
Cascabela thevetia,96,51.19
Araucaria columnaris,89,209.93
Schefflera actinophylla,86,69.86
Tournefortia argentea,86,60.33
Heritiera littoralis,82,68.74
Harpullia pendula,78,49.72
Catalpa longissima,74,119.4
Prosopis pallida,73,136.61
Citharexylum spinosum,73,72.36
Ficus benjamina,72,111.5
Roseodendron donnell-smithii,70,97.82
Dypsis lutescens,67,33.59
Callistemon citrinus,62,64.16
Tabebuia aurea,58,58.43
Pritchardia,58,57.58
Araucaria heterophylla,56,237.8
Guaiacum officinale,56,37.26
Ficus benghalensis,55,121.33
Magnolia grandiflora,54,45.26
Eucalyptus,51,149.37
Cinnamomum burmannii,47,53.19
Ficus,47,88.65
Murraya paniculata,45,39.73
Noronhia emarginata,45,74.95
Terminalia catappa,43,96.29
Corymbia citriodora,40,
Podocarpus,39,63.43
Coccoloba uvifera,39,74.37
Handroanthus ochraceus,39,80.09
Pandanus tectorius,39,67.22
Ficus macrophylla,38,135.55
Hibiscus tilliaceus,37,59.32
Peltophorum pterocarpum,37,141.7
Pimenta dioica,35,65.52
Hyophorbe lagenicaulis,32,18.45
Wodyetia bifurcata,31,35.14
Archontophoenix alexandrae,30,80.82
Ficus lyrata,28,105.69
Bauhinia,27,73.15
Cycas revoluta,26,21.2
Fagraea berteroana,25,33.86
Ptychosperma macarthurii,24,35.13
Gardenia taitensis,24,27.2
Syzygium cumini,24,127.81
Schinus terebinthifolia,23,59.88
Roseodendron chryseum,23,78.03
Schotia brachypetala,22,78.38
Tabebuia,21,109.36
Albizia lebbeck,20,148.29
Livistona chinensis,20,43.38
Carica papaya,19,36.95
Acacia koa,19,56.12
Cupressus,18,55.41
Cassia grandis,18,81.66
Phoenix,18,79.65
Mangifera indica,18,97.88
Mimusops caffra,18,82.75
Cassia javanica,16,74.84
Kigelia africana,16,84.48
Persea americana,15,69.99
Cupressus sempervirens,15,85.52
Metrosideros polymorpha,14,36.09
Plumeria obtusa,13,64.1
Citrus,13,32.05
Dracaena,12,43.2
Chamaerops humilis,12,25.15
Olea europaea,12,53.86
Psidium guajava,11,30.12
Michelia alba,11,67.7
Adansonia digitata,11,114.83
Psidium cattleianum,10,22.31
Enterolobium cyclocarpum,10,147.64
Podocarpus macrophyllus,10,113.52
Roystonea regia,10,64.3
Morinda citrifolia,10,55.77
Jatropha integerrima,9,36.45
Polyalthia longifolia,9,80.2
Jacaranda mimosifolia,9,105.35
Tamarindus indica,9,114.1
Caryota mitis,8,29.12
Macaranga tanarius,8,54.95
Dracaena marginata,8,53.72
Artocarpus altilis,8,54.84
Pithecellobium dulce,7,119.99
Plumeria rubra,7,44.53
Andira inermis,7,162.17
Adenanthera pavonina,7,109.21
Koelreuteria elegans,7,119.05
Gardenia brighamii,7,15.47
Ficus forstenii,7,77.8
Juniperus virginiana,6,26.25
Hernandia nymphaeifolia,6,64.52
Hibiscus,6,30.84
Cananga odorata,6,44.84
Areca catechu,6,45.93
Bombax ceiba,6,82.02
Grevillea robusta,6,114.83
Phoenix rupicola,6,19.69
Crescentia cujete,5,51.84
Piscidia piscipula,5,104.99
Tabebuia roseoalba,5,35.43
Sterculia foetida,5,100.39
Pseudobombax ellipticum,5,79.4
Pittosporum arborescens,5,83.99
Bauhinia variegata,5,109.58
Psydrax odorata,5,50.52
Annona muricata,5,37.4
Phoenix canariensis,5,19.69
Dypsis decaryi,5,24.93
Senna surattensis,5,45.28
Roystonea oleracea,5,46.59
Bucida buceras,5,101.05
Afrocarpus usambarensis,5,168.14
Azadirachta indica,4,34.45
Moringa oleifera,4,55.77
Ficus religiosa,4,104.17
Bauhinia hookeri,4,71.36
Tabernaemontana litoralis,4,31.17
Caesalpinia ferrea,4,105.81
Beaucarnea recurvata,4,33.63
Ficus elastica,4,99.25
Podocarpus neriifolius,4,51.67
Sterculia apetala,4,121.39
Juniperus chinensis,4,26.25
Bougainvillea,4,27.07
Pandanus,4,68.9
Citrus aurantifolia,3,31.71
Erythrina,3,77.65
Sapindus saponaria,3,60.15
Syzygium malaccense,3,80.93
Citrus reticulata,3,43.74
Ochna thomasiana,3,31.71
Brachychiton acerifolius,3,75.46
Citrus limon,3,21.87
Hura crepitans,2,141.08
Cochlospermum vitifolium,2,121.39
Eucalyptus robusta,2,149.28
Eucalyptus deglupta,2,178.81
Callistemon viminalis,2,62.34
Ravenala madagascariensis,2,68.9
Parmentiera cereifera,2,39.37
Dracaena draco,2,70.54
Artocarpus heterophyllus,2,39.37
Hibiscus arnottianus,2,34.45
Cupaniopsis anacardioides,2,37.73
Albizia julibrissin,2,32.81
Schinus molle,2,65.62
Calotropis gigantea,2,45.93
Leucaena leucocephala,2,65.62
Ficus carica,2,36.09
Pittosporum viridiflorum,2,68.9
Colvillea racemosa,2,88.58
Ficus heterophylla,2,146.0
Ochna serrulata,2,19.69
Bauhinia purpurea,2,62.34
Plumeria pudica,2,32.81
Handroanthus impetiginosus,2,118.11
Ficus stricta,2,114.83
Spondias dulcis,1,6.56
Acoelorrhaphe wrightii,1,32.81
Tipuana tipu,1,59.06
Acacia koaia,1,55.77
Sesbania grandiflora,1,32.81
Syagrus romanzoffiana,1,98.43
Tabebuia pallida,1,154.2
Syzygium jambos,1,98.43
Afrocarpus gracilior,1,
Citrus meyeri,1,65.62
Agathis macrophylla,1,206.69
Veitchia arecina,1,65.62
Tabebuia rosea,1,173.88
Ceratonia siliqua,1,49.21
Agathis robusta,1,144.36
Platymiscium pinnatum,1,75.46
Ceiba pentandra,1,259.19
Radermachera sinica,1,82.02
Butia capitata,1,19.69
Hyophorbe verschaffeltii,1,91.86
Guazuma ulmifolia,1,75.46
Gliricidia sepium,1,144.36
Bombax,1,114.83
Bixa orellana,1,39.37
Lagunaria patersonia,1,114.83
Macadamia integrifolia,1,72.18
Ficus virens,1,131.23
Manilkara zapota,1,91.86
Ficus rumphii,1,137.8
Ficus rubiginosa,1,114.83
Ficus pseudopalma,1,65.62
Bauhinia galpinii,1,22.97
Calycophyllum candidissimum,1,
Pittosporum pentandrum,1,59.06
Pittosporum resiniferum,1,137.8
Pittosporum undulatum,1,68.9
Averrhoa carambola,1,59.06
Falcataria moluccana,1,91.86
Eugenia uniflora,1,32.81
