scientific_name,count,height_M
Pinus brutia,5888,
Fraxinus velutina,4480,
Washingtonia robusta,1844,
Acacia stenophylla,1483,
Vitex agnus-castus,1478,
Prosopis chilensis,1280,
Fraxinus angustifolia,1135,
Chitalpa tashkentensis,1050,
Chilopsis linearis,1020,
Phoenix dactylifera,941,
Pistacia chinensis,929,
Prosopis glandulosa,787,
Vachellia farnesiana,695,
Prosopis velutina,646,
Morus alba,606,
Parkinsonia,569,
Ulmus pumila,440,
Rhus lancea,438,
Ulmus parvifolia,432,
Pinus halepensis,411,
Quercus virginiana,393,
Parkinsonia florida,310,
Populus fremontii,309,
Pinus pinea,283,
Chamaerops humilis,275,
Acacia aneura,224,
Washingtonia filifera,215,
Gleditsia triacanthos,204,
Parkinsonia aculeata,185,
Senegalia greggii,167,
Eucalyptus camaldulensis,148,
Eucalyptus microtheca,131,
Robinia pseudoacacia,129,
Cupressus sempervirens,128,
Olea europaea,126,
Sophora secundiflora,121,
Quercus ilex,115,
Prunus cerasifera,107,
Phoenix canariensis,100,
Nerium oleander,97,
Parkinsonia praecox,90,
Robinia ambigua,89,
Tamarix ramosissima,86,
Lagerstroemia indica,77,
Ligustrum lucidum,72,
Pinus roxburghii,62,
Platanus racemosa,59,
Platanus wrightii,53,
Salix nigra,47,
Populus,46,
Olea europea,41,
Celtis sinensis,40,
Eucalyptus polyanthemos,39,
Pyrus calleryana,38,
Geijera parviflora,36,
Schinus molle,33,
Acacia pendula,32,
Yucca brevifolia,32,
Xylosma congestum,31,
Elaeagnus angustifolia,29,
Albizia julibrissin,27,
Celtis reticulata,25,
Brachychiton populneum,24,
Juniperus chinensis,23,
Parkinsonia microphylla,22,
Tamarix aphylla,22,
Prosopis alba,22,
Myrtus communis,21,
Platycladus orientalis,19,
Melia azedarach,18,
Vachellia constricta,15,
Eucalyptus melliodora,14,
Quercus macrocarpa,13,
Brahea armata,12,
Cotinus coggygria,12,
Eucalyptus sideroxylon,12,
Prosopis pubescens,11,
Callitropsis arizonica,11,
Zelkova serrata,11,
Casuarina equisetifolia,11,
Eucalyptus rudis,11,
Prunus caroliniana,10,
Salix gooddingii,10,
Ebenopsis ebano,10,
Pistacia vera,8,
Pinus sabiniana,7,
Magnolia grandiflora,7,
Eucalyptus spathulata,6,
Salix sepulcralis,6,
Calocedrus decurrens,6,
Pyrus communis,6,
Acer palmatum,6,
Fraxinus uhdei,6,
Cercis canadensis,5,
Platanus acerifolia,5,
Forestiera pubescens,5,
Quercus shumardii,5,
Amelanchier laevis,4,
Betula pendula,4,
Quercus buckleyi,4,
Prunus persica,4,
Carya illinoinensis,3,
Maclura pomifera,3,
Celtis occidentalis,3,
Prunus dulcis,3,
Prunus armeniaca,2,
Jacaranda mimosifolia,2,
Eriobotrya japonica,2,
Ailanthus altissimus,1,
Ficus carica,1,
Ulmus glabra,1,
Populus alba,1,
Havardia mexicana,1,
Styphnolobium japonicum,1,
Juniperus scopulorum,1,
Laurus nobilis,1,
Lysiloma watsonii,1,
Malus pumila,1,
Ceratonia siliqua,1,
Quercus agrifolia,1,
Callistemon viminalis,1,
Prosopis juliflora,1,
Platanus occidentalis,1,
