scientific_name,count,height_M
Acer saccharum,1810,
Quercus palustris,1678,
Acer rubrum,1538,
Fraxinus pennsylvanica,1404,
Celtis occidentalis,1086,
Liriodendron tulipifera,997,
Liquidambar styraciflua,834,
Quercus rubra,805,
Platanus occidentalis,802,
Fraxinus americana,773,
Prunus serotina,746,
Quercus bicolor,730,
Pinus strobus,702,
Juglans nigra,653,
Cercis canadensis,605,
Juniperus virginiana,604,
Robinia pseudoacacia,575,
Fagus grandifolia,568,
Acer saccharinum,535,
Quercus macrocarpa,495,
Cornus florida,489,
Ulmus americana,463,
Malus,461,
Quercus alba,450,
Morus alba,439,
Quercus coccinea,431,
Nyssa sylvatica,424,
Gymnocladus dioicus,400,
Pyrus calleryana,387,
Picea abies,385,
Quercus shumardii,385,
Quercus imbricaria,376,
Quercus lyrata,341,
Taxodium distichum,319,
Cladrastis kentukea,314,
Maclura pomifera,311,
Quercus muehlenbergii,311,
Pinus virginiana,256,
Betula nigra,244,
Catalpa speciosa,243,
Quercus phellos,243,
Quercus acutissima,206,
Diospyros virginiana,204,
Crataegus,203,
Ilex opaca,196,
Carpinus caroliniana,192,
Ulmus pumila,187,
Tilia americana,186,
Populus deltoides,182,
Gleditsia triacanthos,179,
Carya illinoinensis,159,
Amelanchier canadensis,143,
Magnolia acuminata,136,
Quercus velutina,133,
Pinus taeda,133,
Ginkgo biloba,132,
Platanus acerifolia,131,
Metasequoia glyptostroboides,127,
Sassafras albidum,124,
Magnolia virginiana,123,
Tilia cordata,122,
Quercus pagodifolia,121,
Acer negundo,118,
Ostrya virginiana,110,
Aesculus flava,106,
Aesculus Octandra,104,
Ulmus parvifolia,104,
Quercus michauxii,103,
Thuja occidentalis,100,
Quercus montana,100,
Quercus ellipsoidalis,96,
Carya ovata,94,
Magnolia,87,
Ulmus rubra,84,
Zelkova serrata,80,
Carya glabra,71,
Taxodium ascendens,70,
Cornus mas,70,
Picea pungens,68,
Pinus nigra,68,
Carya cordiformis,65,
Quercus nigra,60,
Cornus kousa,59,
Chionanthus virginicus,57,
Magnolia soulangiana,55,
Carya tomentosa,54,
Asimina triloba,54,
Ailanthus altissima,53,
Fraxinus quadrangulata,53,
Aesculus glabra,51,
Tsuga canadensis,51,
Quercus nuttallii,50,
Celtis laevigata,49,
Juglans cinerea,45,
Pinus echinata,44,
Carya laciniosa,44,
Quercus marilandica,42,
Quercus stellata,41,
Quercus prinus,40,
Acer ginnala,38,
Quercus falcata,37,
Quercus robur,31,
Aesculus arnoldiana,28,
Magnolia grandiflora,28,
Acer platanoides,27,
Pyrus communis,26,
Parrotia persica,25,
Syringa reticulata,24,
Magnolia tripetala,23,
Halesia carolina,23,
Betula lenta,23,
Taxus,23,
Hamamelis virginiana,22,
Cornus,21,
Koelreuteria paniculata,21,
Prunus yedoensis,21,
Franklinia alatamaha,20,
Lagerstroemia,20,
Frangula caroliniana,20,
Cotinus obovatus,19,
Carpinus betulus,17,
Amelanchier grandiflora,17,
Salix nigra,16,
Castanea dentata,16,
Thuja standishii,16,
Populus,15,
Fagus sylvatica,15,
Quercus warei,15,
Prunus serrulata,15,
Crataegus viridis,14,
Abies homolepis,14,
Acer freemanii,14,
Nyssa aquatica,14,
Salix babylonica,14,
Styrax obassia,13,
Picea orientalis,13,
Prunus subhirtella,12,
Viburnum prunifolium,12,
Syringa pekinensis,11,
Abies nordmanniana,11,
Acer palmatum,11,
Prunus,11,
Abies borisii-regis,11,
