scientific_name,count,height_M
Acer platanoides,20918,
Fraxinus pennsylvanica,17377,
Tilia,4969,
Tilia cordata,3894,
Gleditsia triacanthos,3390,
Fraxinus americana,2977,
Tilia americana,2931,
Celtis occidentalis,2667,
Malus,2608,
Acer freemanii,2236,
Acer saccharum,1893,
Ulmus,1804,
Syringa reticulata,1779,
Acer saccharinum,1677,
Acer miyabei,847,
Gymnocladus dioicus,788,
Pyrus,778,
Fraxinus excelsior,755,
Acer ginnala,605,
Ginkgo biloba,547,
Thuja,452,
Quercus alba,414,
Quercus macrocarpa,355,
Quercus bicolor,353,
Quercus rubra,349,
Amelanchier,347,
Juglans nigra,324,
Ulmus pumila,304,
Acer rubrum,261,
Ulmus americana,253,
Pinus nigra,235,
Crataegus,217,
Acer,212,
Picea pungens,211,
Acer tataricum,208,
Picea glauca,208,
Fraxinus,203,
Corylus colurna,184,
Robinia pseudoacacia,176,
Acer negundo,159,
Pinus,158,
Carya ovata,158,
Betula papyrifera,141,
Prunus serotina,141,
Aesculus,129,
Prunus,127,
Fraxinus quadrangulata,122,
Platanus acerifolia,119,
Picea abies,103,
Populus,103,
Quercus palustris,97,
Morus,84,
Cercis,76,
Acer nigrum,74,
Juniperus virginiana,72,
Quercus robur,70,
Pinus resinosa,69,
Juniperus chinensis,68,
Crataegus crus-galli,67,
Quercus muehlenbergii,60,
Rhamnus,56,
Syringa,54,
Pinus sylvestris,52,
Ulmus rubra,47,
Picea,39,
Quercus schuettei,38,
Catalpa speciosa,37,
Catalpa,33,
Betula nigra,29,
Pseudotsuga menziesii,24,
Quercus velutina,23,
Quercus ellipsoidalis,22,
Carya,21,
Magnolia,20,
Salix,20,
Betula,18,
Sorbus,18,
Cornus alternifolia,17,
Abies balsamea,16,
Quercus,16,
Cercidiphyllum japonicum,15,
Prunus maackii,15,
Tsuga canadensis,15,
Carpinus,13,
Morus alba,12,
Populus alba,12,
Aesculus glabra,12,
Populus tremuloides,11,
Carpinus caroliniana,10,
Maackia amurensis,10,
Prunus pensylvanica,9,
Taxus,9,
Cornus,8,
Abies concolor,8,
Elaeagnus angustifolia,7,
Larix decidua,7,
Sorbus aucuparia,6,
Tilia tomentosa,5,
Taxodium distichum,5,
Abies,5,
Ulmus thomasii,5,
Carya cordiformis,5,
Pinus ponderosa,5,
Liriodendron tulipifera,5,
Larix laricina,5,
Fraxinus nigra,5,
Juglans cinerea,4,
Diospyros virginiana,3,
Morus rubra,3,
Prunus nigra,3,
Fagus sylvatica,3,
Castanea,2,
Cornus mas,2,
Prunus sargentii,2,
Fagus grandifolia,2,
Populus grandidentata,2,
Liquidambar styraciflua,1,
Cladrastis lutea,1,
Ulmus parvifolia,1,
Metasequoia glyptostroboides,1,
Juglans,1,
