scientific_name,count,height_M
Pinus elliottii,46,
Sabal palmetto,41,
Adonidia merrillii,36,
Eugenia,34,
Musa acuminata,33,
Pseudopanax crassifolius,32,
Cocos nucifera,28,
Mangifera indica,23,
Ravenala madagascariensis,22,
Coccoloba diversifolia,22,
Quercus virginiana,20,
Roystonea regia,19,
Dracaena,19,
Phoenix roebelenii,17,
Syagrus,16,
Dypsis lutescens,14,
Ficus benjamina,13,
Bursera simaruba,13,
Sideroxylon foetidissimum,11,
Eugenia axillaris,10,
Simarouba amara,9,
Bougainvillea,9,
Carica papaya,9,
Hibiscus,9,
Piscidia piscipula,8,
Schefflera,7,
Serenoa repens,7,
Plumeria,6,
Dodecatheon,6,
Lagerstroemia speciosa,6,
Casuarina equisetifolia,6,
Schefflera arboricola,6,
Adriana quadripartita,6,
Eugenia uniflora,5,
Coccoloba uvifera,5,
Persea americana,5,
Taxodium distichum,5,
Polyscias guilfoylei,5,
Schinus terebinthifolia,5,
Hyophorbe lagenicaulis,4,
Codiaeum,4,
Bismarckia,4,
Melaleuca quinquenervia,4,
Calyptranthes pallens,4,
Ixora coccinea,4,
Bucida buceras,4,
Ficus elastica,3,
Wodyetia bifurcata,3,
Livistona chinensis,3,
Clusia rosea,3,
Citrus reticulata,3,
Cereus,3,
Manilkara zapota,3,
Swietenia mahagoni,3,
Petersianthus quadrialatus,3,
Annona squamosa,3,
Citrus,3,
Lagerstroemia,2,
Adenanthera pavonina,2,
Hibiscus rosa-sinensis,2,
Conocarpus erectus,2,
Ficus lyrata,2,
Spondias mombin,2,
Aloe,2,
Tabebuia,2,
Quercus hemisphaerica,2,
Dracaena fragrans,2,
Delonix regia,2,
Ficus aurea,2,
Sideroxylon salicifolium,2,
Paulownia tomentosa,1,
Thunbergia,1,
Syzygium cumini,1,
Syzygium,1,
Pandanus,1,
Rourea,1,
Quercus laurifolia,1,
Podocarpus elatus,1,
Quercus,1,
Psidium guajava,1,
Polyscias fruticosa,1,
Pandanus amaryllifolius,1,
Acer rubrum,1,
Opuntia ficus-indica,1,
Callistemon viminalis,1,
Chamaedorea cataractarum,1,
Ceiba,1,
Cassia fistula,1,
Cassia,1,
Caryota mitis,1,
Caryota,1,
Calophyllum,1,
Caesalpinia pulcherrima,1,
Myrica,1,
Brugmansia suaveolens,1,
Beaucarnea recurvata,1,
Bauhinia blakeana,1,
Bauhinia,1,
Araucaria heterophylla,1,
Annona reticulata,1,
Annona cherimola,1,
Citrus aurantiifolia,1,
Citrus limon,1,
Citrus paradisi,1,
Combretum imberbe,1,
Murraya paniculata,1,
Murraya,1,
Morus,1,
Melicoccus bijugatus,1,
Magnolia grandiflora,1,
Macadamia tetraphylla,1,
Leucaena leucocephala,1,
Jatropha integerrima,1,
Hura crepitans,1,
Ficus punctata,1,
Ficus,1,
Exothea paniculata,1,
Eugenia foetida,1,
Dypsis,1,
Cupaniopsis anacardioides,1,
Gymnanthes lucida,1,
