scientific_name,count,height_M
Fraxinus pennsylvanica,3425,
Acer platanoides,2905,
Gleditsia triacanthos,2778,
Acer saccharum,1878,
Celtis occidentalis,1487,
Quercus rubra,1459,
Fraxinus americana,1412,
Malus tschonoskii,1383,
Tilia americana,1122,0.0
Crataegus,995,
Acer saccharinum,933,
Tilia cordata,861,
Picea pungens,769,
Juglans nigra,580,
Quercus alba,546,
Pyrus calleryana,516,
Syringa reticulata,478,
Quercus macrocarpa,440,
Acer freemanii,432,
Picea abies,379,
Pinus resinosa,331,
Ulmus,301,
Picea glauca,300,
Pinus sylvestris,300,
Thuja occidentalis,298,
Carya ovata,277,
Quercus bicolor,267,
Pinus nigra,209,
Acer negundo,200,
Fraxinus,198,
Betula papyrifera,191,
Acer ginnala,172,
Ulmus americana,167,
Populus deltoides,160,
Picea,160,
Malus,159,
Gymnocladus dioicus,153,
Tilia,138,
Pyrus,137,
Salix,137,
Acer rubrum,133,
Pinus strobus,125,
Platanus,113,
Betula nigra,110,
Morus,104,
Amelanchier,97,
Ginkgo biloba,94,
Celtis,89,
Robinia pseudoacacia,88,
Prunus serotina,77,
Pseudotsuga menziesii,76,
Salix babylonica,75,
Acer,75,
Ulmus pumila,72,
Ostrya virginiana,69,
Prunus,68,
Abies,64,
Populus,60,
Pinus,57,
Quercus robur,56,
Carpinus caroliniana,55,
Aesculus hippocastanum,54,
Phellodendron amurense,53,
Betula,53,
Juniperus virginiana,51,
Prunus virginiana,50,
Aesculus glabra,49,
Fraxinus nigra,49,
Ulmus hybrid,48,
Fagus grandifolia,48,
Larix decidua,41,
Tilia tomentosa,39,
Catalpa,34,
Cercis canadensis,33,
Quercus,32,
Tilia sp.,32,
Carya cordiformis,30,
Populus tremuloides,27,
Salix nigra,26,
Catalpa speciosa,25,
Fraxinus excelsior,24,
Corylus colurna,23,
Quercus palustris,23,
Ulmus rubra,22,
Abies balsamea,22,
Populus grandidentata,22,
Juglans cinerea,19,
Syringa,18,
Crataegus viridis,17,
Liriodendron tulipifera,17,
Quercus muehlenbergii,16,
Pinus ponderosa,15,
Taxodium distichum,15,
Tsuga canadensis,14,
Cercidiphyllum japonicum,13,
Prunus pensylvanica,13,
Larix laricina,12,
Crataegus crus-galli,11,
Ailanthus altissima,11,
Magnolia,11,
Alnus,9,
Carya,9,
Viburnum,9,
Elaeagnus angustifolia,9,
Acer miyabei,9,
Metasequoia glyptostroboides,9,
Juniperus,8,
Aesculus,7,
Cornus,7,
Acer pseudoplatanus,7,
Castanea dentata,6,
Rhamnus,6,
Acer nigrum,6,
Sorbus,5,
Abies concolor,5,
Prunus cerasifera,5,
Castanea,5,
Larix,4,
Fagus sylvatica,4,
Taxus,4,
Prunus maackii,3,
Abies fraseri,3,
Pinus mugo,3,
Pinus banksiana,3,
Fraxinus quadrangulata,2,
Liquidambar styraciflua,2,
Populus alba,2,
Quercus ellipsoidalis,2,
Picea mariana,2,
Euonymus,1,
Nyssa sylvatica,1,
Betula alleghaniensis,1,
Cladrastis kentukea,1,
Populus balsamifera,1,
Populus nigra,1,
Prunus sargentii,1,
Carpinus,1,
Acer palmatum,1,
