scientific_name,count,height_M
Platanus acerifolia,87014,
Gleditsia triacanthos,64264,
Pyrus calleryana,58931,
Quercus palustris,53185,
Acer platanoides,40112,
Tilia cordata,29742,
Prunus,29279,
Zelkova serrata,29258,
Ginkgo biloba,21024,
Styphnolobium japonicum,19338,
Acer rubrum,17246,
Fraxinus pennsylvanica,16251,
Tilia americana,13530,
Acer saccharinum,12277,
Liquidambar styraciflua,10657,
Quercus rubra,8400,
Tilia tomentosa,7995,
Ulmus americana,7975,
Acer,7080,
Prunus cerasifera,6879,
Quercus bicolor,6598,
Ulmus parvifolia,5345,
Prunus virginiana,4888,
Syringa reticulata,4568,
Cercis canadensis,3801,
Koelreuteria paniculata,3719,
Malus,3527,
Gymnocladus dioicus,3364,
Quercus phellos,3184,
Metasequoia glyptostroboides,3020,
Crataegus,2988,
Acer saccharum,2844,
Acer pseudoplatanus,2731,
Fraxinus,2609,
Acer campestre,2550,
Celtis occidentalis,2382,
Quercus acutissima,2244,
Maackia amurensis,2197,
Carpinus betulus,2099,
Acer ginnala,2049,
Amelanchier,2032,
Robinia pseudoacacia,1784,
Quercus alba,1686,
Quercus robur,1644,
Ulmus pumila,1595,
Cornus florida,1552,
Carpinus caroliniana,1517,
Quercus shumardii,1487,
Quercus coccinea,1465,
Quercus velutina,1327,
Taxodium distichum,1261,
Morus,1157,
Acer palmatum,1130,
Fraxinus americana,1121,
Juniperus virginiana,1101,
Aesculus hippocastanum,1096,
Ostrya virginiana,1081,
Liriodendron tulipifera,1076,
Cornus mas,1066,
Quercus imbricaria,1049,
Eucommia ulmoides,915,
Cercidiphyllum japonicum,911,
Ailanthus altissima,756,
Magnolia,699,
Prunus serotina,607,
Betula nigra,565,
Catalpa,551,
Betula papyrifera,535,
Quercus macrocarpa,515,
Cladrastis kentukea,479,
Syringa pekinensis,462,
Lagerstroemia,442,
Carpinus japonica,426,
Styrax japonicus,392,
Chamaecyparis thyoides,355,
Picea abies,355,
Crataegus crusgalli,341,
Thuja occidentalis,328,
Corylus colurna,317,
Cornus kousa,302,
Betula pendula,300,
Juglans nigra,295,
Pinus,289,
Nyssa sylvatica,288,
Salix babylonica,282,
Cornus alternifolia,280,
Parrotia persica,277,
Populus deltoides,276,
Fagus grandifolia,273,
Paulownia tomentosa,245,
Chionanthus retusus,234,
Halesia diptera,221,
Acer griseum,220,
Cercis reniformis,219,
Picea,202,
Pinus strobus,202,
Phellodendron amurense,183,
Taxodium ascendens,181,
Castanea mollissima,173,
Sassafras albidum,171,
Magnolia acuminata,169,
Albizia julibrissin,163,
Acer tataricum,153,
Ilex,138,
Magnolia grandiflora,132,
Picea pungens,126,
Fagus sylvatica,125,
Aesculus carnea,116,
Acer nigrum,114,
Acer buergerianum,110,
Chamaecyparis pisifera,108,
Pinus resinosa,106,
Carya glabra,99,
Populus grandidentata,94,
Tsuga canadensis,88,
Cedrus atlantica,87,
Pseudotsuga menziesii,85,
Populus tremuloides,83,
Quercus falcata,83,
Aesculus glabra,75,
Cedrus deodara,72,
Acer negundo,64,
Acer truncatum,59,
Cotinus coggygria,58,
Alnus glutinosa,47,
Larix laricina,46,
Pinus nigra,37,
Pinus rigida,33,
Maclura pomifera,29,
Pinus sylvestris,25,
Pinus virginiana,10,
