scientific_name,count,height_M
Juniperus virginiana,711,80.08
Lagerstroemia indica,689,40.54
Quercus stellata,584,126.23
Pistacia chinensis,567,77.91
Ulmus parvifolia,455,100.9
Pinus nigra,453,68.31
Quercus shumardii,383,109.98
Taxodium distichum,377,101.64
Ulmus pumila,327,98.62
Quercus marilandica,323,109.53
Cercis canadensis,320,49.68
Ulmus americana,293,112.77
Populus deltoides,264,202.29
Pyrus calleryana,263,89.36
Quercus macrocarpa,242,120.52
Platanus occidentalis,199,141.95
Celtis occidentalis,184,113.56
Pinus taeda,143,83.54
Gleditsia triacanthos,118,105.85
Quercus acutissima,115,111.81
Morus alba,106,100.31
Pinus ponderosa,97,93.55
Fraxinus pennsylvanica,97,99.68
Platanus acerifolia,90,120.44
Quercus muehlenbergii,86,78.7
Ulmus crassifolia,76,69.5
Acer truncatum,76,45.11
Sapindus drummondii,65,88.73
Ilex opaca,63,35.78
Quercus virginiana,56,53.02
Liquidambar styraciflua,55,111.43
Malus,52,55.65
Quercus rubra,51,127.63
Cupressus arizonica,48,53.11
Acer freemanii,46,92.08
Thuja occidentalis,41,70.1
Salix,41,84.98
Acer rubrum,41,48.49
Magnolia grandiflora,39,51.15
Quercus bicolor,38,69.85
Acer saccharinum,38,126.4
Pinus sylvestris,37,77.85
Fraxinus americana,36,97.88
Acer ginnala,34,51.53
Quercus palustris,33,114.63
Robinia pseudoacacia,31,114.83
Quercus robur,31,105.83
Quercus nigra,29,143.57
Betula nigra,28,89.52
Ilex L.,25,40.68
Juglans nigra,23,152.49
Acer saccharum,21,75.62
Ulmus rubra,20,121.23
Cedrus deodara,19,53.7
Ulmus,18,85.12
Quercus,14,46.4
Cedrus atlantica,13,64.61
Pinus echinata,13,76.47
Diospyros virginiana,12,103.07
Ulmus alata,12,46.21
Acer barbatum,9,78.01
Zelkova serrata,8,141.08
Cotinus coggygria,7,46.4
Juniperus,6,33.9
Prunus cerasifera,6,47.57
Prunus caroliniana,6,44.29
Acer,5,27.56
Betula platyphylla,5,68.9
Acer buergerianum,5,61.02
Salix babylonica,4,86.94
Pyrus communis,4,56.59
Pinus eldarica,4,71.36
Pinus thunbergii,4,73.0
Acer palmatum,3,25.15
Ilex,3,26.25
Sciadopitys verticillata,3,21.87
Quercus phellos,2,149.28
Populus alba,2,60.7
Catalpa bignonioides,2,63.98
Prunus persica,2,42.65
Quercus falcata,2,111.55
Salix matsudana,2,45.93
Acer platanoides,1,108.27
Ulmus carpinifolia,1,131.23
Catalpa speciosa,1,127.95
Cornus kousa,1,42.65
Tilia cordata,1,137.8
Quercus alba,1,118.11
Crataegus phaenopyrum,1,39.37
Rhamnus caroliniana,1,127.95
Lonicera,1,59.06
Quercus velutina,1,88.58
Magnolia soulangiana,1,19.69
Acer L.,1,59.06
Prunus americana,1,59.06
Quercus lyrata,1,68.9
Quercus imbricaria,1,98.43
Liquidambar orientalis,1,137.8
