scientific_name,count,height_M
Lagerstroemia indica,4630,
Liquidambar styraciflua,4392,
Cinnamomum camphora,3900,
Platanus acerifolia,3328,
Pinus canariensis,3307,
Pyrus calleryana,2793,
Syagrus romanzoffiana,2109,
Washingtonia robusta,1584,
Pistacia chinensis,1343,
Schinus molle,1224,
Magnolia grandiflora,1214,
Prunus cerasifera,1188,
Ulmus parvifolia,1163,
Jacaranda mimosifolia,1149,
Cupaniopsis anacardioides,1108,
Tristaniopsis Brongn.,1035,
Liriodendron tulipifera,941,
Brachychiton populneus,868,
Phoenix canariensis,727,
Pyrus kawakamii,674,
Washingtonia filifera,655,
Grevillea robusta,642,
Acer saccharinum,640,
Ligustrum lucidum,626,
Fraxinus velutina,587,
Eucalyptus rudis,572,
Pinus halepensis,569,
Cedrus deodara,543,
Quercus ilex,534,
Koelreuteria bipinnata,523,
Olea europaea,520,
Fraxinus uhdei,482,
Platanus racemosa,435,
Geijera parviflora,428,
Phoenix dactylifera,419,
Chitalpa tashkentensis,387,
Quercus agrifolia,384,
Cassia leptophylla,382,
Alnus rhombifolia,381,
Cercis canadensis,345,
Zelkova serrata,340,
Eucalyptus maculata,333,
Koelreuteria paniculata,330,
Morus alba,298,
Schinus terebinthifolius,277,
Cupressus sempervirens,269,
Pinus eldarica,260,
Ginkgo biloba,248,
Podocarpus gracilior,242,
"Ficus RÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¶ding,",239,
Hymenosporum flavum,235,
Tabebuia chrysotricha,232,
Sapium sebiferum,215,
Eucalyptus sideroxylon,213,
Eucalyptus globulus,212,
Tabebuia impetiginosa,204,
Albizia julibrissin,190,
Chorisia speciosa,189,
Eucalyptus polyanthemos,188,
Ficus benjamina,169,
Ailanthus altissima,164,
Sequoia sempervirens,161,
Eriobotrya deflexa,159,
Chionanthus retusus,157,
Melia azedarach,154,
Rhus lancea,144,
Ceratonia siliqua,139,
Prunus caroliniana,135,
Eucalyptus camaldulensis,132,
