scientific_name,count,height_M
Quercus virginiana,17126,
Lagerstroemia indica,14988,
Quercus laurifolia,10620,
Sabal palmetto,2855,
Ulmus parvifolia,2609,
Magnolia grandiflora,1952,
Acer rubrum,1814,
Ilex,1693,
Quercus shumardii,1404,
Washingtonia robusta,1384,
Pinus elliottii,945,
Cinnamomum camphora,879,
Syagrus romanzoffianum,817,
Ligustrum japonicum,620,
Prunus caroliniana,519,
Platycladus orientalis,470,
Phoenix dactylifera,296,
Liquidambar styraciflua,284,
Eriobotrya japonica,284,
Platanus occidentalis,284,
Taxodium distichum,270,
Citrus,210,
Quercus nigra,168,
Podocarpus macrophyllus,161,
Phoenix roebelenii,160,
Pinus palustris,151,
Araucaria heterophylla,149,
Quercus phellos,145,
Prunus serotina,135,
Callistemon viminalis,131,
Photinia fraseri,127,
Pyrus calleryana,113,
Phoenix canariensis,111,
Bauhinia variegata,106,
Melia azedarach,103,
Elaeocarpus decipiens,94,
Liquidambar orientalis,90,
Cornus florida,84,
Quercus geminata,77,
Pinus taeda,73,
Livistona chinensis,71,
Schinus terebinthifolius,66,
Ficus benghalensis,64,
Juniperus chinensis,62,
Carya illinoinensis,60,
Albizia julibrissin,57,
Phoenix reclinata,56,
Dypsis lutescens,51,
Melaleuca quinquenervia,49,
Wodyetia bifurcata,48,
Juniperus virginiana,45,
Cupressus sempervirens,45,
Cercis canadensis,38,
Persea americana,37,
Ulmus alata,33,
Prunus,32,
Adonidia merrillii,30,
Viburnum,28,
Ficus elastica,28,
Ligustrum lucidum,28,
Morus alba,27,
Morella carolinensis,26,
Broussonetia papyrifera,26,
Jacaranda acutifolia,24,
Schefflera,22,
Ilex cornuta,21,
Carica papaya,21,
Nerium oleander,21,
Archontophoenix cunninghamiana,20,
Ficus,18,
Cassia,18,
Eugenia uniflora,17,
Chamaerops humilis,17,
Acoelorrhaphe wrightii,17,
Prunus persica,17,
Rhaphiolepis,16,
Quercus,15,
Ulmus,13,
Casuarina equisetifolia,12,
Parkinsonia aculeata,12,
Murraya paniculata,11,
Diospyros virginiana,11,
Ulmus rubra,11,
Bougainvillea,11,
Eucalyptus,11,
Caryota mitis,11,
Fraxinus pennsylvanica,11,
Mangifera indica,11,
Chorisia speciosa,10,
Cupressus leylandii,9,
Cupaniopsis anacardioides,9,
Coccoloba uvifera,9,
Liriodendron tulipifera,9,
Taxus canadensis,9,
Celtis laevigata,8,
TipuanaÃƒâ€šÃ‚Â tipu,8,
Delonix regia,7,
Hyophorbe lagenicaulis,7,
Quercus michauxii,7,
Betula nigra,7,
Carya,7,
Quercus falcata,6,
Acacia,6,
Acer negundo,6,
Magnolia virginiana,6,
Pinus,5,
Pinus echinata,5,
Pinus clausa,5,
Salix babylonica,5,
Persea borbonia,5,
Bismarckia,5,
Nyssa sylvatica,5,
Plumeria rubra,5,
Ulmus americana,5,
Prunus angustifolia,5,
Carya glabra,5,
Quercus laevis,4,
Ravenea rivularis,4,
Taxodium ascendens,4,
Ficus lyrata,4,
Cupressus arizonica,4,
Magnolia soulangeana,4,
Ilex vomitoria,4,
Cassia fistula,4,
Washingtonia filifera,4,
Averrhoa carambola,4,
Erythrina,4,
Cocos nucifera,3,
Carya tomentosa,3,
Dypsis decaryi,3,
Dodecatheon,3,
Ulmus pumila,3,
Ficus carica,3,
Yucca,3,
Grevillea robusta,3,
Quercus alba,2,
Viburnum odoratissimum,2,
Paulownia tomentosa,2,
Malus pumila,2,
Magnolia stellata,2,
Pyrus communis,2,
Quercus texana,2,
Simarouba glauca,2,
Gordonia lasianthus,2,
Dalbergia latifolia,2,
Jatropha integerrima,2,
Quercus acutissima,1,
Cedrus deodara,1,
Ginkgo biloba,1,
Carya ovata,1,
Corymbia citriodora,1,
Populus deltoides,1,
Carpinus caroliniana,1,
Betula,1,
Gleditsia triacanthos,1,
Petersianthus quadrialatus,1,
Photinia,1,
Acer palmatum,1,
