scientific_name,count,height_M
Fraxinus velutina,19,10.65
Syagrus romanzoffiana,16,5.72
Cercidium floridum,14,6.17
Fraxinus,12,12.41
Citrus paradisi,11,5.38
Morus alba,10,24.22
Pinus halepensis,9,15.87
Ficus microcarpa,8,4.53
Citrus aurantium,7,4.95
Searsia lancea,6,7.38
Citrus sinensis,6,79.05
Carnegiea gigantea,5,5.12
Ulmus parvifolia,5,4.93
Dalbergia latifolia,5,5.92
Populus fremontii,5,25.0
Prosopis,4,6.29
Prosopis velutina,4,5.1
Nerium oleander,4,4.3
Prosopis chilensis,4,6.34
Citrus limon,3,5.36
Callistemon viminalis,3,5.42
Prunus persica,3,4.06
Washingtonia filifera,3,7.34
Fraxinus uhdei,3,7.51
Acacia salicina,3,3.14
Jacaranda mimosifolia,3,7.25
Melia azedarach,2,4.8
Prunus armeniaca,2,4.38
Pinus brutia,2,7.72
Olneya tesota,2,5.62
Washingtonia robusta,2,21.1
Ligustrum sinense,2,14.12
Fouquieria splendens,2,3.89
Brachychiton rupestris,2,7.0
Brahea armata,2,4.76
Carya illinoinensis,2,28.7
Cylindropuntia fulgida,2,2.3
Cascabela thevetia,2,3.26
Citrus,1,4.2
Bauhinia purpurea,1,6.0
Schinus terebinthifolia,1,3.27
Quercus virginiana,1,4.8
Chamaerops humilis,1,2.8
Prosopis glandulosa,1,5.35
Myrtus communis,1,5.8
Citrus reticulata,1,5.29
Cupressus sempervirens,1,6.5
Eucalyptus,1,5.11
Ficus carica,1,4.35
Parkinsonia florida,1,7.55
Ostrya virginiana,1,3.27
Juglans nigra,1,6.04
Acacia,1,3.9
