scientific_name,count,height_M
Acer platanoides,3715,89.69
Acer rubrum,3422,80.17
Platanus acerifolia,3238,122.58
Pyrus calleryana,2969,78.07
Tilia cordata,2413,101.55
Gleditsia triacanthos,2120,77.04
Quercus palustris,1672,98.9
Malus,1311,32.37
Ginkgo biloba,1218,69.82
Quercus rubra,978,78.24
Liquidambar styraciflua,892,104.84
Ulmus americana,799,81.96
Acer freemanii,789,72.65
Acer saccharum,712,76.34
Robinia pseudoacacia,689,95.77
Zelkova serrata,610,58.64
Syringa reticulata,600,37.33
Prunus,579,33.94
Acer campestre,573,49.86
Ulmus,507,34.33
Picea pungens,472,87.93
Acer saccharinum,433,117.9
Crataegus,398,26.12
Morus alba,385,71.12
Thuja occidentalis,324,29.09
Cercis canadensis,253,31.5
Picea abies,249,92.52
Fraxinus pennsylvanica,248,78.05
Aesculus hippocastanum,235,57.38
Carpinus betulus,235,39.12
Platanus occidentalis,233,87.93
Quercus bicolor,232,32.06
Pinus strobus,230,42.39
Fraxinus americana,229,53.92
Ailanthus altissima,217,89.13
Amelanchier arborea,214,44.9
Ulmus pumila,210,111.96
Cornus mas,206,23.87
Pinus nigra,192,21.46
Liriodendron tulipifera,186,25.47
Prunus serotina,178,70.13
Acer palmatum,154,33.85
Celtis occidentalis,142,51.2
Carpinus caroliniana,141,42.74
Acer miyabei,138,49.95
Cornus florida,136,24.53
Taxodium distichum,130,43.34
Tilia tomentosa,128,28.02
Tilia americana,126,51.23
Pinus sylvestris,124,10.29
Acer ginnala,118,50.85
Gymnocladus dioicus,110,33.31
Fraxinus,108,116.35
Cornus kousa,106,23.75
Prunus serrulata,105,46.37
Tsuga canadensis,98,40.74
Amelanchier laevis,98,36.26
Quercus alba,97,27.63
Aesculus glabra,95,15.33
Acer tataricum,89,46.63
Juniperus virginiana,86,49.82
Ostrya virginiana,80,30.33
Amelanchier,76,3.13
Koelreuteria paniculata,76,40.58
Catalpa speciosa,70,77.27
Betula nigra,68,51.09
Quercus coccinea,68,22.19
Quercus macrocarpa,68,18.0
Picea glauca,62,43.39
Quercus acutissima,57,48.64
Magnolia soulangiana,55,58.76
Juglans nigra,49,54.97
Pyrus,48,63.57
Metasequoia glyptostroboides,48,45.7
Eucommia ulmoides,48,25.59
Acer griseum,48,34.31
Acer negundo,47,74.34
Corylus colurna,46,41.01
Quercus,46,16.77
Phellodendron amurense,45,37.18
Ilex opaca,44,14.32
Magnolia virginiana,43,22.05
Nyssa sylvatica,43,29.05
Parrotia persica,42,32.71
Ulmus parvifolia,42,50.54
Maclura pomifera,40,49.21
Fagus sylvatica,39,18.34
Acer pseudoplatanus,38,68.81
Quercus imbricaria,37,0.0
Cercidiphyllum japonicum,36,33.08
Amelanchier canadensis,34,42.65
Betula papyrifera,31,59.58
Prunus cerasifera,30,42.65
Prunus virginiana,27,32.2
Magnolia,26,1.51
Taxus,25,48.03
Magnolia acuminata,24,9.3
Quercus robur,24,48.67
Quercus velutina,24,54.41
Malus pumila,23,28.39
Styphnolobium japonicum,23,0.0
Prunus avium,22,90.5
Pyrus communis,21,64.84
Aesculus pavia,20,17.88
Acer nigrum,20,51.35
Sophora japonica,20,120.41
Maackia amurensis,19,34.35
Aesculus flava,19,20.89
Quercus muehlenbergii,18,44.66
Acer,17,68.9
Morus rubra,15,101.94
Cladrastis kentukea,14,48.74
Pseudotsuga menziesii,14,63.04
Hibiscus syriacus,14,24.14
Quercus prinus,13,0.0
Ulmus rubra,12,100.51
Fagus grandifolia,12,22.42
Cotinus coggygria,11,45.93
Tilia petiolaris,11,0.0
Betula populifolia,11,71.28
Prunus pensylvanica,10,46.92
Populus deltoides,10,173.23
Prunus subhirtella,10,23.62
Pinus bungeana,10,2.3
Albizia julibrissin,10,46.92
Castanea mollissima,9,22.24
Acer buergerianum,9,50.67
Prunus yedoensis,9,48.85
Prunus persica,8,32.81
Sassafras albidum,8,20.51
Cercis reniformis,8,16.81
Viburnum prunifolium,7,23.43
Salix matsudana,7,104.99
Abies balsamea,7,23.43
Carya cordiformis,7,119.52
Chamaecyparis pisifera,7,28.12
