scientific_name,count,height_M
Prunus,25635,
Acer platanoides,19209,
Acer rubrum,15475,
Pyrus,11700,
Acer,10635,
Fraxinus,9293,
Cornus,8667,
Quercus,7281,
Malus,6779,
Betula,6338,
Tilia,5490,
Crataegus,5416,
Acer palmatum,4665,
Styrax,4106,
Acer griseum,3842,
Liquidambar,3703,
Carpinus,3702,
Magnolia,3507,
Pinus,3471,
Ulmus,3356,
Pseudotsuga menziesii,3141,
Acer macrophyllum,2609,
Juglans,2351,
Parrotia persica,2235,
Ginkgo biloba,2023,
Malus domestica,1915,
Zelkova serrata,1911,
Nyssa,1873,
Cercidiphyllum japonicum,1604,
Chamaecyparis,1529,
Cercis,1457,
Gleditsia triacanthos,1412,
Clerodendrum,1359,
Thuja plicata,1341,
Platanus,1300,
Picea,1259,
Rhamnus purshiana,1255,
Aesculus,1254,
Robinia pseudoacacia,1105,
Fagus,1092,
Syringa reticulata,1085,
Acer saccharinum,904,
Populus,861,
Lagerstroemia indica,852,
Ailanthus altissima,830,
Koelreuteria paniculata,808,
Sorbus,765,
Cedrus,714,
Liriodendron tulipifera,685,
Amelanchier,639,
Stewartia pseudocamellia,631,
Salix,614,
Calocedrus decurrens,554,
Ilex,523,
Cotinus,497,
Acer negundo,474,
Ficus,465,
Alnus,443,
Catalpa,409,
Thuja,394,
Laburnum,369,
Cupressus,345,
Corylus,340,
Abies,339,
Celtis occidentalis,334,
Maackia amurensis,326,
Trachycarpus,325,
Cladrastis kentukea,298,
Ostrya,280,
Pistacia chinensis,258,
Castanea,251,
Sequoiadendron giganteum,250,
Chionanthus,233,
Albizia julibrissin,212,
Diospyros,209,
Morus,200,
Tsuga,192,
Prunus persica,181,
Juniperus,142,
Heptacodium miconioides,132,
Oxydendrum arboreum,132,
Hibiscus syriacus,122,
Arbutus menziesii,108,
Umbellularia californica,104,
Olea,99,
Eucalyptus,92,
Gymnocladus dioica,91,
Cryptomeria,88,
Sophora japonica,84,
Rhus,68,
Sequoia sempervirens,61,
Paulownia tomentosa,60,
Metasequoia glyptostroboides,59,
Eucommia ulmoides,48,
Arbutus,47,
Azara,45,
Taxus,43,
Chitalpa tashkentensis,42,
Taxodium distichum,39,
Asimina triloba,37,
Pterocarya,31,
Camellia,30,
Larix,30,
Cydonia oblonga,28,
Halesia,28,
Laurus nobilis,27,
Hamamelis,27,
Araucaria araucana,26,
Photinia,25,
Franklinia alatamaha,24,
Carya illinoinensis,21,
Sambucus,20,
Davidia involucrata,19,
Hippophae rhamnoides,18,
Viburnum,18,
Mespilus,18,
Sassafras albidum,17,
Aralia,16,
Maclura pomifera,16,
Elaeagnus,14,
Eriobotrya japonica,14,
Ceanothus,14,
ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ÂSycoparrotia P.,12,
Ziziphus jujuba,12,
Phellodendron,12,
Vitex,10,
Carya,10,
Euonymus,9,
Thujopsis dolobrata,8,
Sciadopitys verticillata,8,
Nothofagus,7,
Cunninghamia lanceolata,6,
Platycladus orientalis,6,
Leptospermum,4,
Citrus,4,
Cinnamomum,3,
Zanthoxylum,3,
Euptelea pleiosperma,3,
Notholithocarpus densiflorus,2,
Lyonothamnus,2,
Torreya californica,2,
Hovenia dulcis,2,
Ligustrum lucidum,2,
Tetradium daniellii,2,
Physocarpus,2,
Firmiana simplex,1,
Toona sinensis,1,
Lindera obtusiloba,1,
Tamarix,1,
Athrotaxis laxifolia,1,
Chrysolepis chrysophylla,1,
Melliodendron xylocarpum,1,
Castanopsis cuspidata,1,
Pterostyrax hispidus,1,
Cathaya argyrophylla,1,
Poliothyrsis sinensis,1,
Callicarpa,1,
