scientific_name,count,height_M
Acer platanoides,3054,
Pyrus calleryana,2792,
Gleditsia triacanthos,2050,
Platanus acerifolia,1867,
Fraxinus pennsylvanica,1714,
Acer rubrum,1408,
Zelkova serrata,1193,
Tilia cordata,986,
Quercus palustris,643,
Prunus,572,
Prunus serrulata,475,
Malus,451,
Ulmus,448,
Acer saccharum,446,
Tilia,386,
Quercus rubra,364,
Acer saccharinum,328,
Liquidambar styraciflua,289,
Ulmus americana,270,
Ginkgo biloba,265,
Tilia americana,248,
Fraxinus,224,
Acer,218,
Sophora,208,
Ulmus parvifolia,160,
Prunus cerasifera,152,
Syringa reticulata,149,
Celtis,131,
Crataegus,120,
Prunus virginiana,116,
Acer freemanii,114,
Cornus florida,103,
Quercus,95,
Amelanchier canadensis,95,
Acer campestre,86,
Quercus coccinea,82,
Koelreuteria paniculata,79,
Acer ginnala,78,
Quercus bicolor,72,
Prunus sargentii,68,
Tilia euchlora,61,
Liriodendron tulipifera,58,
Tilia tomentosa,56,
Acer pseudoplatanus,56,
Platanus occidentalis,51,
Acer tataricum,49,
Ailanthus altissima,49,
Aesculus hippocastanum,48,
Quercus alba,45,
Betula nigra,44,
Carpinus caroliniana,43,
Acer negundo,41,
Prunus yedoensis,41,
Quercus phellos,37,
Cercidiphyllum japonicum,37,
Acer palmatum,36,
Catalpa bignonioides,35,
Robinia pseudoacacia,33,
Quercus robur,30,
Quercus imbricaria,29,
Pinus strobus,27,
Nyssa sylvatica,25,
Cornus kousa,25,
Corylus colurna,25,
Quercus acutissima,24,
Cercis canadensis,24,
Eucommia ulmoides,23,
Gymnocladus dioicus,22,
Populus,21,
Betula,20,
Cladrastis kentukea,17,
Sorbus alnifolia,17,
Parrotia persica,17,
Carpinus betulus,15,
Acer truncatum,15,
Fraxinus americana,15,
Picea pungens,14,
Pinus sylvestris,14,
Morus,13,
Quercus velutina,13,
Quercus macrocarpa,13,
Metasequoia glyptostroboides,13,
Cornus mas,12,
Ulmus pumila,11,
Pinus,11,
Picea abies,11,
Taxodium distichum,11,
Magnolia,9,
Halesia,9,
Chionanthus,9,
Juglans nigra,8,
Betula papyrifera,8,
Maackia amurensis,8,
Cedrus atlantica,6,
Salix,6,
Carya,6,
Prunus serotina,6,
Picea,6,
Oxydendrum arboreum,5,
Fagus sylvatica,5,
Acer griseum,5,
Ostrya virginiana,5,
Betula pendula,4,
Juniperus virginiana,3,
Fagus grandifolia,3,
Tsuga canadensis,3,
Hamamelis virginiana,3,
Alnus,2,
Stewartia,2,
Hibiscus syriacus,2,
Ilex,2,
Juglans regia,2,
Pinus nigra,2,
Populus nigra,2,
Juglans cinerea,1,
Quercus laurifolia,1,
Malus domestica,1,
Paulownia tomentosa,1,
Magnolia grandiflora,1,
