scientific_name,count,height_M
Lagerstroemia indica,12889,
Platanus acerifolia,5698,
Eucalyptus globulus,5549,
Magnolia grandiflora,5016,
Pyrus calleryana,4941,
Liquidambar styraciflua,3727,
Pinus,3702,
Brachychiton populneus,3658,
Pistacia chinensis,3213,
Pinus canariensis,2355,
Rhus lancea,2281,
Washingtonia robusta,2249,
Geijera parviflora,1694,
Syagrus romanzoffiana,1650,
Koelreuteria paniculata,1410,
Cinnamomum camphora,1170,
Cercis canadensis,1162,
Cupaniopsis anacardioides,1064,
Phoenix roebelenii,1059,
Quercus ilex,1009,
Ginkgo biloba,832,
Jacaranda mimosifolia,709,
Washingtonia filifera,624,
Xylosma congestum,623,
Eriobotrya deflexa,609,
Chitalpa tashkentensis,548,
Tristania laurina,506,
Tristania conferta,460,
Prunus cerasifera,434,
Fraxinus uhdei,362,
Melaleuca linariifolia,359,
Quercus virginiana,351,
Sophora japonica,345,
Melaleuca quinquenervia,330,
Fraxinus oxycarpa,323,
Arecaceae,317,
Ulmus parvifolia,310,
Brachychiton acerifolius,275,
Podocarpus henkelii,274,
Koelreuteria bipinnata,269,
Phoenix canariensis,259,
Schinus molle,245,
Zelkova serrata,242,
Arbutus unedo,209,
Liriodendron tulipifera,203,
Olea europaea,200,
Betula pendula,197,
Quercus agrifolia,194,
Albizia julibrissin,160,
Callistemon citrinus,137,
Pyrus,131,
Platanus racemosa,127,
Cycas revoluta,127,
Quercus,121,
Juniperus,121,
Schinus terebinthifolius,120,
Cedrus,116,
Aronia arbutifolia,114,
Tipuana tipu,113,
Schinus terebinthifolia,109,
Phoenix dactylifera,108,
Pinus halepensis,100,
Ficus benjamina,97,
Hymenosporum flavum,95,
Chionanthus retusus,91,
Acer saccharinum,88,
Pyrus kawakamii,82,
Podocarpus gracilior,78,
Morus alba,75,
Fraxinus,67,
Callistemon viminalis,67,
Archontophoenix cunninghamiana,67,
Pittosporum undulatum,63,
Agonis flexuosa,56,
Grevillea robusta,56,
Gleditsia tricanthus,55,
Prunus persica,54,
Bauhinia blakeana,52,
Juniperus chinensis,51,
Cedrus deodara,48,
Rhaphiolepis,46,
Citrus limon,44,
Acer,44,
Quercus lobata,41,
Alnus rhombifolia,38,
Eucalyptus camaldulensis,37,
Juglans nigra,35,
Persea americana,32,
Araucaria heterophylla,32,
Citrus sinensis,31,
Magnolia soulangeana,30,
Tilia,29,
Ceiba speciosa,29,
Populus deltoides,26,
Quercus suber,26,
Ficus carica,25,
Quercus coccinea,24,
Olea europea,24,
Sequoia sempervirens,24,
Pinus eldarica,24,
Punica granatum,24,
Afrocarpus gracilior,24,
Parkinsonia florida,23,
Tabebuia,21,
Acer rubrum,19,
Photinia fraseri,18,
Cordyline australis,18,
Quercus shumardii,17,
Melia azedarach,17,
Acacia baileyana,14,
Ceratonia siliqua,14,
Ligustrum lucidum,13,
Quercus palustris,13,
Trachycarpus fortunei,13,
Maytenus boaria,12,
Brahea brandegeei,12,
Ligustrum confusum,11,
Plumeria rubra,11,
Cedrus atlantica,10,
Eucalyptus,10,
Quercus rubra,9,
Eucalyptus sideroxylon,9,
Leucaena leucocephala,8,
Tillia,8,
Acrocarpus fraxinifolius,8,
Cupressus sempervirens,8,
Ficus macrophylla,8,
Gleditsia triacanthos,8,
Acer palmatum,7,
Prunus caroliniana,7,
Tabebuia impetiginosa,7,
Lycianthes rantonnetii,7,
Ficus microcarpa,6,
Pittosporum phillyraeoides,6,
Malus domestica,6,
Citrus,6,
Syagrus,6,
Betula,6,
Acer saccharum,5,
Ficus elastica,5,
Ulmus americana,5,
Prunus cistena,4,
Syagrus romanzoffianum,4,
Betula papyrifera,4,
Tabebuia chrysotricha,4,
Eucalyptus polyanthemos,4,
Platanus mexicana,4,
Prunus serrulata,4,
Phoenix,4,
Melaleuca lanceolata,4,
Laurus nobilis,4,
Caryota obtusa,3,
Bischofia javanica,3,
Cedrela fissilis,3,
Catalpa bignonioides,3,
Sapium sebiferum,3,
Juglans,3,
Parkinsonia,3,
Eriobotrya japonica,3,
Triadica sebifera,3,
Malus pumila,3,
Magnolia,3,
Tabebuia avellanedae,2,
Tecoma capensis,2,
Ilex meserveae,2,
Brahea armata,2,
Calocedrus decurrens,2,
Calodendrum capense,2,
Cassia leptophylla,2,
Ulmus,2,
Japanese Meconematinae,2,
Quercus polymorpha,2,
Brachychiton discolor,2,
Liquidambar,2,
Celtis sinensis,2,
Pistacia,2,
Prunus salicina,2,
Pinus thunbergiana,2,
Bauhinia,1,
Gingko biloba,1,
Lagerstroemia,1,
"Ficus RÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¶ding,",1,
Benjamina,1,
Prunus americana,1,
Erythrina coralloides,1,
African Crioceridae,1,
Metrosideros Banks,1,
Mangifera indica,1,
Eucalyptus cinerea,1,
Washingtonia,1,
Macadamia tetraphylla,1,
Xylosma,1,
Acer negundo,1,
Koelreuteria,1,
Prunus domestica,1,
Hyophorbe lagenicaulis,1,
Cupressus,1,
Chamaerops humilis,1,
Cedrella fissilis,1,
Chorisia speciosa,1,
Pyrus domestica,1,
Citrus paradisi,1,
Ficus,1,
Robinia pseudoacacia,1,
Hermosa,1,
Michelia alba,1,
Psidium guajava,1,
Handroanthus impetiginosum,1,
Delonix regia,1,
Styphnolobium japonicum,1,
Nerium oleander,1,
Prunus dulcis,1,
Juniperus scopulorum,1,
Eucalyptus woodwardii,1,
