scientific_name,count,height_M
Gleditsia triacanthos,6307,
Tilia cordata,3329,
Platanus acerifolia,2970,
Fraxinus pennsylvanica,2499,
Quercus rubra,2178,
Acer rubrum,1996,
Zelkova serrata,1581,
Acer saccharum,1545,
Acer campestre,1497,
Acer saccharinum,1013,
Celtis occidentalis,891,
Liquidambar styraciflua,786,
Fraxinus americana,742,
Ginkgo biloba,714,
Pyrus calleryana,685,
Tilia americana,682,
Quercus robur,594,
Prunus sargentii,565,
Acer pseudoplatanus,532,
Malus,525,
Crataegus crus-galli,522,
Quercus alba,506,
Pinus nigra,488,
Thuja,462,
Phellodendron amurense,429,
Picea abies,425,
Liriodendron tulipifera,416,
Robinia pseudoacacia,382,
Ulmus,349,
Sophora japonica,336,
Tilia euchlora,314,
Acer freemanii,287,
Cercidiphyllum japonicum,258,
Quercus palustris,253,
Tilia,239,
Aesculus carnea,236,
Tilia tomentosa,222,
Amelanchier,206,
Magnolia,204,
Pyrus,203,
Picea pungens,199,
Aesculus,195,
Quercus bicolor,195,
Gymnocladus dioicus,192,
Tsuga canadensis,188,
Juglans nigra,178,
Crataegus viridis,177,
Quercus velutina,176,
Acer ginnala,174,
Carpinus betulus,170,
Fraxinus excelsior,168,
Ulmus parvifolia,166,
Platanus occidentalis,164,
Maackia amurensis,162,
Quercus shumardii,156,
Koelreuteria paniculata,141,
Acer tataricum,141,
Quercus macrocarpa,138,
Prunus subhirtella,127,
Syringa reticulata,126,
Alnus,114,
Crataegus,108,
Fraxinus,107,
Quercus coccinea,105,
Cornus,102,
Pseudotsuga menziesii,100,
Quercus,96,
Carpinus caroliniana,92,
Abies homolepis,89,
Fagus sylvatica,88,
Catalpa speciosa,84,
Corylus colurna,82,
Cladrastis lutea,80,
Quercus acutissima,80,
Prunus virginiana,78,
Populus deltoides,77,
Acer truncatum,76,
Hydrangea,76,
Carya,73,
Hibiscus syriacus,72,
Ulmus americana,70,
Acer palmatum,70,
Betula nigra,68,
Cercis canadensis,68,
Acer negundo,66,
Pinus strobus,62,
Pinus resinosa,60,
Ailanthus altissima,56,
Picea,55,
Zelkova,52,
Prunus serotina,51,
Acer,51,
Cornus mas,51,
Metasequoia glyptostroboides,50,
Morus,48,
Acer platanoides,47,
Juniperus virginiana,44,
Larix,42,
Amelanchier grandiflora,41,
Taxus,38,
Ostrya,38,
Quercus montana,38,
Syringa vulgaris,37,
Magnolia soulangeana,35,
Prunus cerasifera,34,
Nyssa sylvatica,34,
Sassafras albidum,33,
Maclura pomifera,33,
Pinus sylvestris,33,
Acer griseum,33,
Quercus marilandica,31,
Quercus bebbiana,31,
Abies,30,
Fraxinus ornus,28,
Prunus,27,
Betula,27,
Malus transitoria,27,
Aesculus glabra,26,
Acer miyabei,24,
Juglans regia,23,
Quercus imbricaria,23,
Betula papyrifera,23,
Carya ovata,23,
Quercus muehlenbergii,21,
Ulmus wilsoniana,20,
Eucommia ulmoides,20,
Syringa meyeri,17,
Taxodium distichum,17,
Morus alba,16,
Prunus pendula,16,
Abies concolor,16,
Cornus florida,15,
Picea glauca,14,
Juniperus chinensis,14,
Halesia carolina,12,
Cornus kousa,11,
Fagus grandifolia,11,
Magnolia acuminata,10,
Prunus yedoensis,10,
Quercus saulii,10,
Betula pendula,8,
Pinus,8,
Syringa,8,
Carya cordiformis,8,
Parrotia,7,
Quercus warei,7,
Populus,7,
Cornus alternifolia,6,
Celtis,6,
Acer buergerianum,6,
Juglans cinerea,6,
Carya glabra,5,
Sorbus americana,5,
Salix nigra,5,
Cotinus,4,
Viburnum,4,
Sorbus aucuparia,4,
Alnus cordata,4,
Salix babylonica,4,
Buddleja,3,
Quercus lyrata,3,
Quercus phellos,3,
Forsythia,3,
Abies balsamea,3,
Amelanchier canadensis,3,
Quercus schuettei,3,
Catalpa erubescens,2,
Wisteria floribunda,2,
Cotinus coggygria,2,
Wisteria,2,
Picea orientalis,2,
Crataegus lavallei,2,
Betula lenta,2,
Albizia julibrissin,2,
Populus alba,2,
Magnolia stellata,2,
Betula alleghaniensis,2,
Larix laricina,2,
Laburnum watereri,2,
Euonymus alatus,2,
Rhamnus cathartica,2,
Chionanthus,1,
Crataegus mollis,1,
Quercus sargentii,1,
Elaeagnus angustifolia,1,
Populus tremuloides,1,
Diospyros,1,
Salix discolor,1,
Physocarpus opulifolius,1,
Pinus mugo,1,
Pinus glabra,1,
