scientific_name,count,height_M
Syagrus romanzoffianum,22624,
Washingtonia robusta,15129,
Cupaniopsis anacardioides,13608,
Eucalyptus,13269,
Pinus,12677,
Liquidambar styraciflua,10323,
Jacaranda acutifolia,9831,
Lophostemon confertus,7591,
Platanus racemosa,7330,
Podocarpus gracilior,6161,
Cupressus sempervirens,5501,
Schinus terebinthifolia,4755,
Melaleuca,3989,
Magnolia grandiflora,3463,
Ficus,3405,
Koelreuteria bipinnata,3321,
Fraxinus,3151,
Washingtonia filifera,3039,
Juniperus chinensis,3025,
Archontophoenix cunninghamiana,3020,
Yucca,2742,
Schinus molle,2443,
Cinnamomum camphora,2267,
Pyrus kawakamii,2210,
Lagerstroemia indica,2207,
Prunus cerasifera,2200,
Myoporum,2127,
Acacia,2113,
Pyrus calleryana,1986,
Platanus acerifolia,1907,
Nerium oleander,1851,
Phoenix canariensis,1642,
Ulmus parvifolia,1349,
Ficus microcarpa,1333,
Olea,1135,
TipuanaÃƒâ€šÃ‚Â tipu,1111,
Callistemon,1110,
Alnus rhombifolia,1086,
Brachychiton,1067,
Ceratonia siliqua,1048,
Melaleuca citrina,1029,
Cassia leptophylla,956,
Prunus persica,947,
Bauhinia purpurea,932,
Metrosideros excelsa,880,
Erythrina,849,
Pittosporum undulatum,791,
Syzygium australe,790,
Quercus agrifolia,774,
Geijera parviflora,765,
Harpephyllum caffrum,724,
Populus,647,
Araucaria heterophylla,496,
Agonis flexuosa,473,
Pinus canariensis,469,
Eriobotrya japonica,450,
Ulmus pumila,448,
Phoenix dactylifera,445,
Quercus ilex,423,
Ficus macrophylla,421,
Pinus torreyana,418,
Cedrus,366,
Brahea edulis,363,
Handroanthus impetiginosus,349,
Grevillea robusta,348,
Betula,339,
Koelreuteria paniculata,328,
Podocarpus macrophyllus,301,
Callistemon viminalis,301,
Morus alba,299,
Corymbia ficifolia,297,
Albizia julibrissin,292,
Rhus lancea,267,
Citrus,257,
Pittosporum phillyraeoides,250,
Melaleuca quinquenervia,227,
Bauhinia blakeana,213,
Triadica sebifera,206,
Ceiba speciosa,199,
Quercus suber,195,
Eucalyptus polyanthemos,175,
Euphorbia tirucalli,164,
Eriobotrya deflexa,134,
Hibiscus,133,
Melia azedarach,130,
Acacia melanoxylon,124,
Pistacia chinensis,115,
Ginkgo biloba,113,
Calodendrum capense,92,
Cupressus leylandii,90,
Acer saccharinum,89,
Persea americana,84,
Robinia pseudoacacia,80,
Schefflera,75,
Cedrus deodara,71,
Dodonaea viscosa,65,
Eucalyptus globulus,64,
Casuarina,63,
Liriodendron tulipifera,60,
Paulownia kawakamii,56,
Parkinsonia aculeata,53,
Lagunaria patersonii,47,
Chitalpa tashkentensis,41,
Xylosma,41,
Markhamia lutea,32,
Macadamia integrifolia,32,
Hymenosporum flavum,28,
Sequoia sempervirens,27,
Cercis,27,
Leptospermum laevigatum,27,
Olea europaea,26,
Arbutus menziesii,22,
Chionanthus retusus,22,
Abies,20,
Acmena smithii,17,
Cupressus macrocarpa,16,
Chilopsis linearis,16,
Plumeria,13,
Corymbia citriodora,13,
Bauhinia variegata,13,
Calocedrus decurrens,8,
Cotinus coggygria,8,
Tamarix,6,
Ficus rubiginosa,5,
Melaleuca linariifolia,4,
Brugmansia,3,
Eucalyptus erythrocorys,2,
Prunus dulcis,2,
Stenocarpus sinuatus,1,
Chamaerops humilis,1,
