scientific_name,count,height_M
Platanus acerifolia,26291,125.87
Pistacia chinensis,24316,77.41
Lagerstroemia indica,21636,51.96
Liquidambar styraciflua,14644,130.45
Pyrus calleryana,9631,84.63
Zelkova serrata,7669,125.3
Cupressus sempervirens,7208,87.77
Magnolia grandiflora,7080,82.86
Prunus cerasifera,6999,60.6
Fraxinus angustifolia,5626,111.74
Quercus agrifolia,5566,78.2
Ginkgo biloba,5207,92.15
Washingtonia robusta,5116,151.38
Quercus ilex,5060,99.97
Cinnamomum camphora,4835,102.86
Gleditsia triacanthos,4037,96.33
Syagrus romanzoffianum,3788,62.89
Ligustrum lucidum,3113,64.28
Quercus virginiana,2947,77.61
Acer platanoides,2868,81.3
Ulmus parvifolia,2607,107.09
Sequoia sempervirens,2558,170.26
Betula pendula,2464,85.66
Fraxinus velutina,2386,126.77
Celtis sinensis,2356,86.0
Fraxinus uhdei,2183,145.15
Triadica sebifera,2170,90.68
Washingtonia filifera,1766,133.35
Ceratonia siliqua,1691,91.46
Pinus canariensis,1582,172.86
Quercus lobata,1571,90.77
Pyrus kawakamii,1521,80.66
Morus alba,1509,77.57
Eucalyptus polyanthemos,1488,172.26
Tristaniopsis laurina,1479,54.22
Fraxinus americana,1466,83.16
Prunus persica,1394,36.04
Jacaranda mimosifolia,1382,70.89
Olea europaea,1356,67.78
Acer palmatum,1351,36.99
Acer rubrum,1282,70.22
Acer freemanii,1278,54.74
Quercus suber,1256,83.56
Prunus serrulata,1235,43.44
Nerium oleander,1221,39.91
Fraxinus,1156,106.35
Eriobotrya japonica,1129,44.81
Schinus molle,1114,93.28
Geijera parviflora,1067,89.69
Citrus,854,38.9
Juniperus chinensis,839,55.7
Albizia julibrissin,821,73.23
Acer saccharinum,810,127.24
Robinia pseudoacacia,803,109.64
Koelreuteria paniculata,788,85.52
Prunus,775,41.97
Eucalyptus sideroxylon,771,174.75
Maytenus boaria,702,56.03
Cercis canadensis,691,44.03
Quercus rubra,688,94.9
Laurus nobilis,677,43.98
Yucca gloriosa,663,46.5
Podocarpus gracilior,659,78.8
Juglans regia,644,77.36
Juglans hindsii,640,100.63
Pinus halepensis,636,116.79
Phoenix canariensis,630,105.85
Solanum rantonnetii,612,28.39
Liriodendron tulipifera,611,143.63
Chitalpa tashkentensis,603,58.52
Prunus blireiana,603,46.4
Cedrus deodara,601,140.71
Platanus racemosa,594,146.09
Robinia ambigua,588,92.93
Acer buergerianum,566,58.54
Trachycarpus fortunei,559,69.92
Myoporum laetum,551,53.26
Pinus pinea,545,110.32
Malus,542,42.2
Prunus amygdalus,525,52.75
Malus floribunda,491,40.38
Koelreuteria bipinnata,488,96.2
Prunus caroliniana,454,50.31
Ailanthus altissima,442,101.03
Photinia fraseri,433,43.08
Ulmus pumila,429,124.2
Celtis occidentalis,417,106.38
Schinus terebinthifolius,395,99.21
Rhus lancea,392,71.74
Acer,388,81.31
Ulmus,384,49.93
Arbutus unedo,383,43.57
Arbutus,381,41.98
Nyssa sylvatica,375,48.29
Sophora japonica,375,66.97
Morus,368,71.53
Pyrus,363,60.46
Eucalyptus,361,149.91
Persea americana,361,57.89
Quercus shumardii,361,60.86
Tilia cordata,358,70.72
Pinus,352,89.29
Carpinus betulus,330,66.36
Platanus orientalis,330,140.32
Celtis australis,329,101.89
Pinus radiata,310,146.51
Ulmus americana,298,151.18
Prunus armenica,294,43.66
Lophostemon confertus,289,52.03
Cercis occidentalis,275,44.88
Cordyline australis,260,47.13
Laurus L.,252,45.87
Ficus carica,249,43.05
Tristania conferta,246,48.89
Prunus domestica,235,48.9
Calocedrus decurrens,215,93.44
Thuja orientalis,194,35.07
Diospyros kaki,190,48.46
Eriobotrya deflexa,190,52.74
Magnolia soulangiana,188,41.59
Cupaniopsis anacardioides,185,70.65
Callistemon citrinus,183,48.68
Quercus,183,50.11
Eucalyptus globulus,183,245.63
Callistemon viminalis,179,47.59
Quercus douglasii,178,45.47
Acacia melanoxylon,178,120.93
Grevillea robusta,164,147.94
Populus nigra,162,164.55
Tilia tomentosa,161,39.53
Eucalyptus camaldulensis,157,164.93
Quercus palustris,154,88.84
Acer negundo,152,90.19
Salix,149,86.23
Salix babylonica,147,97.04
Prunus lyonii,145,45.37
Melaleuca linariifolia,145,79.08
Alnus rhombifolia,145,99.33
Xylosma congestum,141,59.12
Araucaria heterophylla,141,55.07
Chionanthus retusus,140,39.98
Alnus cordata,137,99.02
Crataegus phaenopyrum,135,51.01
Betula jacquemontii,120,66.55
Populus,120,135.7
Ligustrum japonicum,120,44.58
Cupressocyparis leylandii,107,50.98
Chilopsis linearis,107,40.66
Dodonaea viscosa,105,23.78
Melia azedarach,104,77.43
Pinus thunbergii,100,67.81
Crataegus laevigata,99,59.98
Syzygium paniculatum,97,45.29
Ulmus procera,96,174.67
Prunus yedoensis,96,33.7
Aesculus californica,95,44.38
Quercus robur,94,107.62
Eucalyptus nicholii,93,144.67
Prunus avium,89,46.63
Yucca,89,49.65
Cupressus arizonica,88,77.36
Catalpa speciosa,85,94.64
Acer campestre,80,48.01
Ulmus propinqua,78,40.29
Punica granatum,78,39.87
Cotinus coggygria,76,42.09
Brachychiton populneus,75,68.59
Umbellularia californica,75,56.91
Cedrus atlantica,71,117.21
Picea,70,73.41
Carya illinoinensis,70,131.7
Crataegus lavallei,69,62.29
Heteromeles arbutifolia,65,34.12
Malus sylvestris,65,40.18
Magnolia,65,38.71
Pittosporum undulatum,62,81.49
Eucalyptus citriodora,61,164.96
Betula nigra,61,82.02
Eucalyptus melliodora,60,179.63
Viburnum odoratissimum,59,78.96
Quercus coccinea,58,93.31
Fraxinus berlandieriana,57,99.58
Prunus dulcis,55,55.83
Aesculus carnea,53,59.98
Podocarpus macrophyllus,52,47.95
Quercus kelloggii,51,64.17
Rhaphiolepis indica,49,39.57
Cinnamomum glanduliferum,47,114.83
Thuja occidentalis,47,33.72
Acacia baileyana,46,70.35
Sambucus mexicana,46,65.62
Lagerstroemia fauriei,45,42.43
Acer macrophyllum,45,78.74
Castanea dentata,44,81.95
Hibiscus syriacus,43,36.24
Quercus macrocarpa,43,84.62
Populus fremontii,43,149.16
Populus trichocarpa,42,133.34
Eucalyptus ficifolia,41,76.42
Pittosporum tobira,40,43.23
Pittosporum eugenioides,40,40.68
Eucalyptus cinerea,40,149.44
Pyracantha,39,41.22
Archontophoenix cunninghamiana,39,54.26
Pittosporum tenuifolium,38,46.13
Robinia,38,78.31
Ficus nitida,38,52.84
Picea pungens,38,70.8
Chamaerops humilis,37,47.26
Acer grandidentatum,37,44.25
Thuja plicata,36,62.7
Aesculus hippocastanum,36,64.43
Pyrus communis,36,40.83
Eucalyptus viminalis,34,178.52
Quercus frainetto,32,27.67
Cycas revoluta,32,19.89
Pseudotsuga menziesii,32,90.94
Rhamnus alaternus,32,52.49
Leptospermum laevigatum,31,34.83
Fraxinus pennsylvanica,31,102.13
Pinus contorta,30,85.52
Melaleuca quinquenervia,28,336.52
Juglans californica,27,78.01
Cupressus macrocarpa,27,108.39
Bauhinia variegata,26,53.76
Yucca elephantipes,25,44.62
Agonis flexuosa,25,61.55
Syzygium australe,24,59.47
Acacia,23,66.16
Ziziphus jujuba,23,40.37
Salix matsudana,22,73.82
Cornus florida,22,33.26
Bauhinia forficata,21,71.4
Cupressus,21,90.3
Pinus sylvestris,21,94.52
Cercis siliquastrum,21,49.21
Sequoiadendron giganteum,20,146.82
Cercis,18,19.3
Liquidambar,18,113.42
Celtis,18,76.55
Araucaria columnaris,18,52.95
Tilia americana,18,85.3
Rhaphiolepis,18,23.33
Populus alba,17,73.34
Prunus ilicifolia,17,49.79
Escallonia exoniensis,17,37.54
Musa,16,30.35
Phoenix roebelenii,16,25.63
Betula papyrifera,16,67.96
Casuarina equisetifolia,16,153.79
Prunus sargentii,16,47.16
Cotoneaster lacteus,15,33.9
Ilex,15,49.21
Feijoa sellowiana,15,39.37
Acer saccharum,14,93.27
Styphnolobium japonicum,14,21.09
Corymbia maculata,14,271.84
Prunus subhirtella,13,30.28
Acacia longifolia,13,56.05
Radermachera sinica,13,88.58
Casuarina cunninghamiana,13,150.37
Afrocarpus falcatus,13,38.28
Chamaecyparis lawsoniana,13,68.52
Paulownia tomentosa,13,78.74
Ceiba speciosa,12,71.08
Elaeocarpus decipiens,12,56.59
Crateagus,12,52.2
Pittosporum rhombifolium,12,73.55
Casuarina stricta,12,98.15
Phoenix dactylifera,12,58.16
Hibiscus,11,34.3
Picea glauca,11,29.83
Lagerstroemia,11,41.76
Albizia amara,11,40.26
