scientific_name,count,height_M
Fraxinus pennsylvanica,21452,142.28
Acer platanoides,5704,111.44
Acer freemanii,4933,93.02
Acer saccharinum,4327,179.72
Tilia cordata,3097,123.8
Gleditsia triacanthos,2332,123.76
Celtis occidentalis,1600,132.4
Picea pungens,1290,90.62
Acer saccharum,1274,109.69
Malus,1085,52.45
Ulmus,1023,74.71
Acer rubrum,989,85.07
Picea glauca,770,72.75
Tilia americana,733,103.19
Quercus macrocarpa,708,67.27
Juglans nigra,609,161.2
Quercus bicolor,541,50.46
Populus deltoides,512,198.7
Pinus nigra,498,85.59
Ulmus pumila,486,132.75
Gymnocladus dioicus,456,64.01
Quercus rubra,456,66.94
Pinus sylvestris,433,77.44
Fraxinus americana,359,103.97
Pinus ponderosa,314,65.75
Acer ginnala,264,51.13
Acer negundo,258,115.67
Abies concolor,220,49.79
Prunus,206,57.03
Catalpa speciosa,199,97.82
Gingko biloba,192,39.25
Ulmus americana,186,116.7
Syringa reticulata,183,36.99
Fraxinus nigra,180,86.14
Morus alba,160,82.9
Populus tremuloides,144,87.03
Juniperus virginiana,138,88.42
Pyrus,137,62.55
Malus Mill.,135,63.89
Acer miyabei,132,49.81
Aesculus glabra,119,47.7
Tilia,118,82.97
Picea abies,113,79.03
Quercus warei,87,34.39
Crataegus,85,45.31
Picea omorika,80,18.7
Phellodendron amurense,77,25.86
Aesculus arnoldiana,76,24.3
Pinus strobus,74,48.68
Ginkgo biloba,74,28.64
Cercis canadensis,74,31.79
Acer,70,60.72
Quercus robur,60,37.13
Populus alba,59,222.49
Quercus ellipsoidea,58,35.41
Betula nigra,57,93.71
Crataegus crus-galli,54,26.31
Robinia pseudoacacia,51,130.85
Platanus acerifolia,47,32.74
Quercus palustris,47,96.96
Corylus colurna,42,34.61
Quercus,42,62.65
Prunus maackii,40,48.06
Tilia tomentosa,40,38.39
Acer nigrum,36,109.18
Picea meyeri,35,24.37
Fraxinus,35,107.95
Salix alba,33,82.32
Acer tataricum,33,51.9
Pseudotsuga menziesii,33,48.12
Sorbus aucuparia,32,72.9
Larix decidua,32,64.69
Quercus alba,32,56.18
Thuja occidentalis,31,43.18
Ostrya virginiana,30,34.67
Ulmus davidiana,28,43.82
Pinus cembra,26,14.89
Wilsoniana,26,36.34
Cladrastis kentukea,26,35.08
Cornus alternifolia,24,15.04
Alnus glutinosa,24,36.77
Amelanchier grandiflora,23,36.52
Prunus virginiana,23,55.35
Salix,23,120.82
Betula papyrifera,19,84.09
Carya ovata,16,21.53
Prunus serotina,16,30.14
Larix laricina,15,22.53
Salix matsudana,14,55.31
Sorbus americana,14,84.83
Amelanchier,13,47.95
Platanus occidentalis,12,166.23
Salix pentandra,11,37.28
Populus hybrid,11,203.41
Sorbus quercifolia,11,35.79
Pinus resinosa,10,16.4
Magnolia,10,28.22
Maackia amurensis,9,40.83
Populus grandidentata,9,30.99
Cercidiphyllum japonicum,8,22.15
Rhamnus cathartica,7,57.18
Pinus parviflora,7,18.28
Pinus flexilis,6,24.06
Magnolia loebneri,6,22.97
Juniperus,6,49.76
Crataegus mordenensis,6,45.38
Aesculus L.,6,35.54
Ulmus rubra,5,182.41
Larix,5,79.4
Crataegus ambigua,5,29.53
Acer pseudosieboldianum,5,21.0
Quercus mongolica,4,36.91
Acer palmatum,4,49.21
Chionanthus virginicus,4,19.69
Juglans cinerea,4,129.59
Cotinus coggygria,4,47.57
Fraxinus mandshurica,4,59.88
Pinus mugo,4,27.89
Elaeagnus angustifolia,4,100.89
Populus canadensis,4,49.21
Malus sargentii,4,25.43
Acer triflorum,3,24.06
Americana,3,40.46
Sorbus alnifolia,3,30.62
Pyrus ussuriensis,3,35.0
Magnolia kobus,3,16.4
Liriodendron tulipifera,3,42.65
Prunus cerasus,3,31.71
Betula populifolia,2,72.18
Pinus koraiensis,2,22.97
Acer glabrum,2,29.53
Tsuga canadensis,2,18.04
Ailanthus altissima,2,55.77
Pinus aristata,2,9.84
Carpinus caroliniana,2,36.09
Abies balsamea,2,29.53
Carya illinoinensis,2,108.27
Catalpa ovata,2,26.25
Fraxinus ornus,1,91.86
Tilia mongolica,1,49.21
Acer campestre,1,29.53
Rhus,1,78.74
Picea mariana,1,42.65
Maclura pomifera,1,39.37
Rhus hirta,1,59.06
Rhus typhina,1,13.12
Picea rubens,1,141.08
Pinus pungens,1,26.25
Aesculus flava,1,118.11
Aesculus hippocastanum,1,49.21
Prunus persica,1,39.37
Eucommia ulmoides,1,26.25
Salix nigra,1,104.99
Juniperus scopulorum,1,22.97
Pinus contorta,1,19.69
