scientific_name,count,height_M
Pistacia chinensis,11392,
Platanus acerifolia,7552,
Lagerstroemia indica,7354,
Celtis sinensis,7179,
Pyrus calleryana,5296,
Fraxinus velutina,4879,
Liquidambar styraciflua,4110,
Magnolia grandiflora,3762,
Zelkova serrata,3379,
Sequoia sempervirens,2936,
Fraxinus oxycarpa,2606,
Quercus lobata,2523,
Acer rubrum,1812,
Fraxinus holotricha,1794,
Cinnamomum camphora,1670,
Prunus cerasifera,1521,
Cupressus sempervirens,1089,
Pyrus kawakamii,1023,
Quercus ilex,961,
Tilia cordata,895,
Liriodendron tulipifera,863,
Fraxinus uhdei,823,
Ginkgo biloba,786,
Washingtonia robusta,780,
Pinus canariensis,779,
Syagrus romanzoffiana,743,
Betula pendula,663,
Quercus palustris,661,
Ligustrum lucidum,620,
Morus alba,589,
Sapium sebiferum,534,
Quercus coccinea,524,
Cedrus deodara,445,
Fraxinus,439,
Laurus nobilis,409,
Quercus agrifolia,400,
Quercus suber,396,
Koelreuteria paniculata,391,
Celtis occidentalis,387,
Nerium oleander,381,
Quercus rubra,378,
Ulmus parvifolia,353,
Nyssa sylvatica,348,
Gleditsia triacanthos,324,
Carya illinoinensis,321,
Cercis canadensis,316,
Olea europaea,312,
Washingtonia filifera,279,
Rhus lancea,243,
Prunus serrulata,224,
Liquidambar orientalis,222,
Podocarpus gracilior,213,
Juglans regia,208,
Photinia fraseri,207,
Pinus,194,
Arbutus unedo,187,
Phoenix canariensis,186,
Ailanthus altissima,182,
Ulmus americana,178,
Malus,173,
Morus,172,
Ceratonia siliqua,169,
Ulmus pumila,167,
Calocedrus decurrens,166,
Tristaniopsis laurina,164,
Albizia julibrissin,164,
Acer saccharinum,164,
Magnolia soulangiana,163,
Eriobotrya japonica,157,
Acer palmatum,156,
Celtis australis,151,
Pinus halepensis,147,
Koelreuteria bipinnata,146,
Prunus dulcis,146,
Quercus virginiana,137,
Pinus pinea,133,
Prunus blireiana,127,
Acer platanoides,123,
Prunus,117,
Juniperus scopulorum,116,
Acer,113,
Ulmus,106,
Quercus,104,
Juniperus chinensis,103,
Betula,102,
Alnus rhombifolia,100,
Populus fremontii,100,
Prunus domestica,98,
Robinia pseudoacacia,97,
Robinia ambigua,93,
Crataegus phaenopyrum,92,
Salix babylonica,92,
Eucalyptus sideroxylon,89,
Citrus,88,
Platanus racemosa,87,
Acer buergerianum,86,
Prunus persica,84,
Melia azedarach,81,
Trachycarpus fortunei,79,
Juglans hindsii,79,
Quercus shumardii,67,
Picea pungens,66,
Crataegus laevigata,66,
Podocarpus macrophyllus,63,
Juniperus,63,
Brachychiton populneus,60,
Eucalyptus polyanthemos,60,
Callistemon viminalis,59,
Cupressus,59,
Chitalpa tashkentensis,53,
Eucalyptus,50,
Yucca gloriosa,47,
Sophora japonica,46,
Prunus yedoensis,44,
Acacia melanoxylon,43,
Carpinus betulus,40,
Platycladus orientalis,39,
Liquidambar formosana,39,
Arbutus L.,36,
Cercis occidentalis,36,
Ligustrum japonicum,35,
Maytenus boaria,33,
Schinus molle,29,
Pinus radiata,29,
Salix,29,
Thuja occidentalis,29,
Sequoiadendron giganteum,28,
Acer freemanii,27,
Juglans nigra,27,
Pittosporum tobira,26,
Geijera parviflora,26,
Acacia baileyana,25,
Prunus caroliniana,25,
Fraxinus americana,25,
Thuja plicata,24,
Chamaerops humilis,23,
Persea americana,22,
Cedrus atlantica,22,
Casuarina equisetifolia,22,
Xylosma congestum,22,
Catalpa speciosa,21,
Phoenix dactylifera,21,
Fraxinus pennsylvanica,21,
Malus sylvestris,21,
Ficus carica,20,
Aesculus carnea,20,
Acer saccharum,20,
Citrus sinensis,19,
Cordyline australis,18,
Citrus limon,18,
Salix matsudana,17,
Schinus terebinthifolius,16,
Myrtus communis,16,
Callistemon citrinus,16,
Pinus thunbergiana,15,
Pyrus communis,15,
Quercus wislizeni,15,
Ziziphus jujuba,15,
Celtis reticulata,15,
Populus nigra,14,
Lagerstroemia,14,
Diospyros kaki,14,
Chionanthus retusus,14,
Betula nigra,14,
Acer negundo,13,
Malus ioensis,13,
Eucalyptus camaldulensis,13,
Leucaena leucocephala,12,
Rhaphiolepis,12,
Parkinsonia microphylla,12,
Punica granatum,12,
Eucalyptus globulus,12,
Prunus americana,12,
Juglans,11,
Populus alba,10,
Lagunaria patersonii,10,
Hibiscus syriacus,10,
Cupressus arizonica,10,
Magnolia kobus,10,
Eriobotrya deflexa,9,
Ulmus procera,8,
Cercis,8,
Grevillea robusta,8,
Jacaranda mimosifolia,8,
Paulownia tomentosa,8,
Cupressocyparis leylandii,7,
Citrus paradisi,7,
Alnus cordata,7,
Pittosporum crassifolium,7,
Umbellularia californica,7,
Feijoa sellowiana,7,
Araucaria heterophylla,7,
Prunus armeniaca,7,
Pseudotsuga menziesii,6,
Acacia,6,
Picea abies,6,
Pistacia atlantica,5,
Pinus sylvestris,5,
Archontophoenix cunninghamiana,4,
Quercus douglasii,4,
Eucalyptus viminalis,4,
Prunus ilicifolia,4,
Fagus sylvatica,4,
Araucaria bidwillii,4,
Podocarpus,4,
Rhamnus alaternus,4,
Tilia americana,4,
Syzygium paniculatum,4,
Betula platyphylla,4,
Tipuana tipu,3,
Tristania laurina,3,
Cercis chinensis,3,
Cryptomeria japonica,3,
Cupressus macrocarpa,3,
Quercus macrocarpa,3,
Aesculus hippocastanum,3,
Vitex agnus-castus,3,
Aesculus californica,3,
Casuarina cunninghamiana,3,
Yucca faxoniana,3,
Eucalyptus ficifolia,3,
Eucalyptus cinerea,3,
Myoporum laetum,3,
Populus,3,
Metasequoia glyptostroboides,3,
Ilex,3,
Fremontodendron californicum,3,
Eucalyptus nicholii,3,
Ilex aquifolium,3,
Lycianthes rantonnei,3,
Musa,3,
Pittosporum eugenioides,3,
Salix nigra,2,
Persea,2,
Chamaecyparis,2,
Heteromeles arbutifolia,2,
Taxus baccata,2,
Cornus,2,
Cornus florida,2,
Populus tremuloides,2,
Melaleuca quinquenervia,2,
Acer ginnala,2,
Pyracantha,2,
Dodonaea viscosa,2,
Euonymus,2,
Pinus densiflora,2,
Parkinsonia aculeata,2,
Cotinus coggygria,2,
Magnolia stellata,1,
Acer macrophyllum,1,
Bauhinia,1,
Araucaria araucana,1,
Parkinsonia florida,1,
Lithocarpus densiflorus,1,
Tristaniopsis Brongn.,1,
Acacia aneura,1,
Acer campestre,1,
Leptospermum laevigatum,1,
Maclura pomifera,1,
Cassia leptophylla,1,
Pinus elliottii,1,
Bauhinia variegata,1,
Erythrina crista-galli,1,
Quercus castaneifolia,1,
Quercus kelloggii,1,
Eugenia uniflora,1,
Quercus robur,1,
Ficus,1,
Ficus benjamina,1,
Cupaniopsis anacardioides,1,
Ficus elastica,1,
Hibiscus,1,
Pittosporum rhombifolium,1,
Quercus acutissima,1,
Carpinus caroliniana,1,
Broussonetia papyrifera,1,
Styrax japonicus,1,
Pinus sabiniana,1,
Laburnum anagyroides,1,
Metrosideros excelsa,1,
