scientific_name,count,height_M
Acer rubrum,12711,
Quercus phellos,9981,
Ulmus americana,9014,
Quercus palustris,8904,
Zelkova serrata,6343,
Quercus rubra,5852,
Platanus acerifolia,5745,
Acer saccharum,5408,
Ginkgo biloba,4731,
Lagerstroemia indica,4325,
Prunus,4021,
Ulmus parvifolia,3736,
Acer platanoides,3403,
Cercis canadensis,3355,
Quercus bicolor,3342,
Quercus coccinea,2894,
Liquidambar styraciflua,2839,
Tilia cordata,2705,
Nyssa sylvatica,2626,
Ulmus,2305,
Celtis occidentalis,2095,
Prunus serrulata,2034,
Cercis,1967,
Cladrastis lutea,1931,
Gleditsia triacanthos,1911,
Prunus virginiana,1909,
Prunus yedoensis,1815,
Pistacia chinensis,1710,
Quercus lyrata,1691,
Syringa reticulata,1475,
Malus,1451,
Quercus acutissima,1383,
Platanus occidentalis,1372,
Liquidambar L.,1343,
Acer campestre,1341,
Gymnocladus dioicus,1317,
Tilia americana,1306,
Tilia tomentosa,1195,
Koelreuteria paniculata,1169,
Quercus,1157,
Betula nigra,1147,
Acer saccharinum,1127,
Quercus nuttallii,1106,
Carpinus caroliniana,1086,
Liriodendron tulipifera,1069,
Acer,1007,
Pyrus calleryana,953,
Magnolia virginiana,917,
Taxodium distichum,888,
Amelanchier arborea,863,
Prunus L.,854,
Acer buergerianum,848,
Quercus alba,826,
Metasequoia glyptostroboides,802,
Quercus macrocarpa,794,
Juniperus virginiana,724,
Gleditsia,716,
Amelanchier,689,
Cornus,578,
Robinia pseudoacacia,548,
Pinus taeda,543,
Cornus florida,521,
Magnolia,481,
Carpinus,476,
Quercus shumardii,474,
Carpinus betulus,463,
Morus alba,460,
Aesculus carnea,430,
Styphnolobium japonicum,430,
Celtis laevigata,420,
Ilex opaca,364,
Prunus cerasifera,360,
Magnolia grandiflora,358,
Tilia,349,
Platanus,333,
Ulmus pumila,333,
Cornus kousa,328,
Quercus robur,326,
Amelanchier laevis,309,
Ostrya virginiana,300,
Fraxinus,283,
Acer ginnala,279,
Quercus imbricaria,275,
Fagus grandifolia,248,
Cercidiphyllum japonicum,237,
Rhus typhina,235,
Halesia carolina,234,
Quercus falcata,218,
Magnolia soulangeana,216,
Koelreuteria bipinnata,215,
Quercus prinus,205,
Chionanthus retusus,201,
Eucommia ulmoides,184,
Parrotia persica,179,
Ulmus carpinifolia,168,
Pinus,166,
Amelanchier canadensis,162,
Ailanthus altissima,158,
Quercus montana,153,
Acer griseum,152,
Pinus strobus,150,
Oxydendrum arboreum,143,
Catalpa bignonioides,125,
Carya,111,
Magnolia liliflora,110,
Aesculus flava,110,
Aesculus pavia,109,
Juglans nigra,107,
Thuja occidentalis,99,
Acer negundo,91,
Cedrus deodara,91,
Aesculus hippocastanum,84,
Crataegus phaenopyrum,78,
Quercus stellata,64,
Sassafras albidum,61,
Populus,60,
Betula,57,
Quercus nigra,56,
Prunus mume,56,
Fraxinus pennsylvanica,55,
Fagus sylvatica,45,
Diospyros,43,
Crataegus lavallei,41,
Quercus velutina,37,
Cryptomeria japonica,35,
Acer pseudoplatanus,35,
Magnolia acuminata,35,
Picea abies,33,
Tsuga canadensis,32,
Magnolia stellata,31,
Maclura pomifera,30,
Laburnum,27,
Stewartia pseudocamellia,25,
Taxodium ascendens,21,
Cotinus obovatus,17,
Quercus laevis,14,
Maackia amurensis,14,
Paulownia tomentosa,13,
Ulmus hollandica,12,
Salix,10,
Phellodendron amurense,8,
Crataegus oxyacantha,7,
Ulmus glabra,7,
Quercus ilicifolia,5,
Salix babylonica,5,
Quercus marilandica,5,
Quercus pagoda,5,
Cornus alternifolia,4,
Albizia julibrissin,2,
Populus caroliniana,2,
Fagus grandiflora,2,
Quercus virginiana,2,
Alnus glutinosa,2,
Tilia euchlora,1,
Sorbus aucuparia,1,
