scientific_name,count,height_M
Acer platanoides,9364,
Acer saccharum,1346,
Acer rubrum,1029,
Acer saccharinum,342,
Tilia cordata,335,
Quercus rubra,327,
Pyrus calleryana,270,
Quercus palustris,265,
Fraxinus americana,225,
Syringa reticulata,170,
Gleditsia,167,
Prunus,141,
Platanus acerifolia,108,
Malus,108,
Quercus alba,106,
Fraxinus pennsylvanica,92,
Acer campestre,82,
Zelkova serrata,76,
Quercus coccinea,63,
Ulmus pumila,59,
Ginkgo biloba,57,
Ailanthus altissima,56,
Robinia pseudoacacia,51,
Ulmus americana,47,
Prunus serotina,43,
Tilia americana,42,
Carya ovata,41,
Pinus strobus,39,
Ulmus,33,
Carya glabra,32,
Catalpa speciosa,24,
Acer palmatum,20,
Betula pendula,16,
Picea pungens,15,
Picea abies,15,
Gleditsia triacanthos,15,
Acer negundo,15,
Acer pseudoplatanus,13,
Betula papyrifera,12,
Cornus florida,12,
Cornus kousa,11,
Ulmus parvifolia,11,
Liriodendron tulipifera,10,
Juglans cinerea,9,
Sorbus,9,
Fagus sylvatica,9,
Liquidambar styraciflua,8,
Tsuga canadensis,8,
Populus tremuloides,8,
Magnolia,7,
Aesculus hippocastanum,7,
Juniperus virginiana,7,
Amelanchier,7,
Morus alba,7,
Populus deltoides,7,
Betula nigra,7,
Carpinus betulus,6,
Fraxinus nigra,4,
Abies balsamea,3,
Quercus prinus,3,
Cladrastis kentukea,3,
Hydrangea,3,
Syringa pekinensis,3,
Metasequoia glyptostroboides,3,
Abies concolor,3,
Juglans nigra,3,
Crataegus,2,
Thuja occidentalis,2,
Stewartia,2,
Koelreuteria paniculata,2,
Quercus robur,2,
Pinus rigida,2,
Larix laricina,2,
Picea,2,
Pseudotsuga menziesii,2,
Rhus,1,
Populus,1,
Celtis occidentalis,1,
Chionanthus virginicus,1,
Pinus resinosa,1,
Populus grandidentata,1,
Betula populifolia,1,
Tilia tomentosa,1,
Pinus nigra,1,
Halesia Ellis,1,
Betula lenta,1,
Red Sea,1,
Quercus macrocarpa,1,
Pyrus communis,1,
Magnolia soulangiana,1,
Sciadopitys verticillata,1,
Sassafras albidum,1,
Salix discolor,1,
Salix,1,
Juniperus,1,
