scientific_name,count,height_M
Ulmus crassifolia,1570,
Lagerstroemia indica,1195,
Quercus shumardii,1139,
Quercus virginiana,1081,
Cercis canadensis,691,
Quercus muehlenbergii,590,
Pistacia chinensis,587,
Quercus macrocarpa,582,
Taxodium distichum,581,
Quercus stellata,558,
Ulmus parvifolia,550,
Carya illinoinensis,483,
Pinus eldarica,464,
Cornus drummondii,438,
Prunus mexicana,347,
Vitex agnus-castus,270,
Chilopsis linearis,255,
Pyrus calleryana,241,
Ilex vomitoria,237,
Juniperus virginiana,219,
Styphnolobium affine,197,
Chitalpa tashkentensis,164,
Fraxinus pennsylvanica,128,
Ilex attenuata,120,
Callicarpa americana,114,
Pinus taeda,96,
Liquidambar styraciflua,91,
Fraxinus albicans,82,
Ulmus americana,81,
Pinus elliottii,76,
Morella cerifera,70,
Prosopis glandulosa,70,
Ilex decidua,63,
Quercus polymorpha,61,
Rhus aromatica,56,
Acer rubrum,50,
Lantana horrida,48,
Rhus copallinum,47,
Taxodium ascendens,46,
Ulmus pumila,44,
Viburnum nudum,44,
Platanus occidentalis,41,
Viburnum rufidulum,39,
Magnolia grandiflora,39,
Pinus nigra,38,
Sapindus saponaria,38,
Diospyros virginiana,34,
Magnolia soulangiana,33,
Lonicera,32,
Celtis laevigata,30,
Ungnadia speciosa,29,
Quercus marilandica,29,
Ginkgo biloba,27,
Acer buergerianum,25,
Populus deltoides,24,
Morus rubra,24,
Salix nigra,22,
Gleditsia triacanthos,22,
Mahonia trifoliolata,20,
Quercus nigra,19,
Quercus acutissima,16,
Maclura pomifera,16,
Quercus buckleyi,16,
Pinus thunbergii,15,
Hesperocyparis arizonica,15,
Cornus florida,14,
Nyssa sylvatica,12,
Hibiscus syriacus,10,
Parkinsonia texana,10,
Magnolia,10,
Althaea officinalis,10,
Leucophyllum frutescens,9,
Koelreuteria paniculata,9,
Betula nigra,8,
Sideroxylon lanuginosum,8,
Acer palmatum,8,
Acacia auriculiformis,8,
Acer truncatum,7,
Juniperus chinensis,7,
Quercus laceyi,7,
Acer barbatum,6,
Melia azedarach,6,
Pinus pinea,6,
Triadica sebifera,5,
Mimosa borealis,5,
Acer saccharinum,4,
Amorpha fruticosa,3,
Catalpa bignonioides,3,
Prunus caroliniana,3,
Catalpa speciosa,2,
Morus alba,2,
Acer negundo,2,
Magnolia virginiana,2,
Cupressus sempervirens,2,
Ilex L.,2,
Ligustrum lucidum,2,
Ligustrum,1,
Acer floridanum,1,
Juniperus,1,
Prunus persica,1,
Robinia pseudoacacia,1,
Ailanthus altissima,1,
Albizia julibrissin,1,
Crataegus monogyna,1,
Carya cordiformis,1,
Cedrus deodara,1,
Firmiana simplex,1,
Cupressus leylandii,1,
