scientific_name,count,height_M
Acer rubrum,12910,90.34
Zelkova serrata,6766,82.63
Platanus acerifolia,6056,109.4
Tilia cordata,5932,99.71
Prunus,5817,49.04
Pyrus calleryana,4747,94.43
Acer platanoides,3717,99.57
Gleditsia triacanthos,3289,66.95
Quercus phellos,3036,85.21
Quercus rubra,2849,112.07
Acer saccharum,2723,91.01
Acer saccharinum,2663,131.7
Liquidambar styraciflua,2505,77.91
Cercis canadensis,2428,34.63
Quercus palustris,2427,110.63
Ulmus,2346,67.66
Fraxinus americana,2335,128.45
Acer freemanii,2208,83.51
Ginkgo biloba,1628,90.87
Ulmus americana,1594,104.37
Lagerstroemia indica,1584,35.29
Morus alba,1519,79.61
Styphnolobium japonicum,1476,93.4
Quercus alba,1461,151.01
Tilia americana,1444,94.45
Quercus bicolor,1440,50.74
Liriodendron tulipifera,1342,150.43
Nyssa sylvatica,1329,49.68
Ulmus parvifolia,1188,74.06
Quercus coccinea,1118,98.5
Fraxinus pennsylvanica,1111,108.46
Robinia pseudoacacia,1102,119.0
Pinus strobus,1098,121.67
Celtis occidentalis,969,47.35
Cornus florida,944,42.48
Quercus acutissima,876,109.54
Amelanchier,870,31.35
Malus,786,46.02
Platanus occidentalis,730,125.8
Tilia tomentosa,683,82.05
Ulmus pumila,640,114.37
Juniperus virginiana,621,71.72
Ailanthus altissima,600,97.12
Ilex opaca,594,54.63
Prunus serotina,543,118.94
Acer palmatum,539,40.59
Thuja occidentalis,515,48.44
Crataegus,469,44.43
Betula nigra,459,74.69
Taxodium distichum,451,60.96
Ulmus rubra,450,119.09
Cladrastis kentukea,425,48.69
Juglans nigra,419,131.64
Thuja,419,50.68
Cupressocyparis leylandii,413,80.64
Acer buergerianum,406,46.0
Syringa reticulata,405,37.02
Picea abies,403,144.22
Pinus nigra,386,79.91
Carpinus caroliniana,372,41.66
Aesculus hippocastanum,363,84.19
Acer campestre,327,62.98
Fagus grandifolia,321,133.54
Koelreuteria paniculata,313,62.98
Acer negundo,268,98.23
Magnolia soulangiana,260,56.24
Quercus prinus,253,51.24
Picea pungens,240,88.3
Cornus kousa,226,36.39
Quercus lyrata,225,65.38
Phellodendron amurense,210,82.04
Quercus shumardii,204,92.04
Quercus macrocarpa,186,66.55
Acer tataricum,177,47.79
Magnolia grandiflora,170,53.83
Prunus cerasifera,168,38.98
Diospyros virginiana,168,58.72
Quercus falcata,165,94.71
Quercus imbricaria,152,92.99
Quercus velutina,148,95.85
Carya glabra,148,102.11
Magnolia virginiana,146,33.08
Tsuga canadensis,140,104.47
Taxus,139,45.98
Carpinus betulus,126,49.03
Malus pumila,125,47.51
Catalpa speciosa,119,93.46
Sassafras albidum,112,66.29
Quercus robur,112,63.48
Gymnocladus dioicus,111,105.99
Quercus texana,106,45.0
Quercus michauxii,105,45.12
Pinus virginiana,105,72.9
Aesculus glabra,96,53.14
Chionanthus virginicus,89,24.96
Picea glauca,89,65.43
Prunus yedoensis,87,35.37
Ostrya virginiana,84,49.17
Ilex,82,49.41
Magnolia stellata,78,41.98
Populus deltoides,76,106.07
Pinus thunbergii,75,51.01
Quercus,75,71.65
Aesculus carnea,74,48.9
Quercus stellata,72,122.85
Carya tomentosa,72,107.99
Celtis laevigata,71,46.58
Amelanchier canadensis,70,27.56
Morus rubra,65,81.47
Cotinus coggygria,65,35.53
Pinus taeda,63,117.8
Paulownia tomentosa,61,116.66
Crataegus viridis,59,29.19
Aesculus flava,55,121.99
Pistacia chinensis,55,52.73
Cryptomeria japonica,54,83.36
Crataegus phaenopyrum,54,54.07
Asimina triloba,50,16.14
Hamamelis virginiana,49,19.62
Castanea mollissima,49,101.91
Catalpa bignonioides,49,99.09
Cornus mas,48,29.19
Maclura pomifera,47,112.39
Viburnum,46,26.18
Pyrus communis,45,55.85
Styrax americanus,45,41.05
Carya cordiformis,44,120.35
Prunus serrulata,43,55.09
Parrotia persica,41,36.01
Pinus sylvestris,40,64.71
Acer pseudoplatanus,40,112.45
Metasequoia glyptostroboides,39,139.81
Styrax japonicus,37,39.64
Fagus sylvatica,36,56.41
Pseudotsuga menziesii,36,111.18
Platycladus orientalis,35,58.21
Maackia amurensis,33,81.42
Albizia julibrissin,33,46.33
Salix babylonica,31,82.34
Ficus carica,29,24.44
Acer griseum,28,33.98
Salix nigra,27,66.22
Chamaecyparis lawsoniana,27,114.22
Acer nigrum,26,114.2
Carya ovata,26,85.68
Cercidiphyllum japonicum,26,60.82
Thuja plicata,26,53.88
Aesculus pavia,25,39.37
Ilex cornuta,25,51.84
Ilex verticillata,24,14.9
Prunus subhirtella,23,65.33
Acer,23,52.49
Cedrus deodara,21,109.21
Cedrus atlantica,21,89.68
Prunus persica,20,31.5
Cornus racemosa,20,37.73
Tilia mongolica,20,83.17
Salix matsudana,19,74.25
Populus nigra,19,109.82
Ulmus thomasi,18,142.17
Ilex L.,17,49.79
Quercus ellipsoidalis,15,85.52
Hibiscus syriacus,15,35.87
Juglans cinerea,15,71.3
Pinus serotina,15,89.46
Eucommia ulmoides,15,75.02
Abies concolor,14,57.18
Juniperus,14,31.87
Syringa pekinensis,14,31.4
Amelanchier arborea,13,45.43
Prunus armeniaca,13,46.44
Chamaecyparis pisifera,12,135.06
Juniperus chinensis,12,53.59
Larix laricina,12,41.56
Ilex glabra,12,40.19
