scientific_name,count,height_M
Pinus strobus,267,
Acer rubrum,151,
Quercus rubra,115,
Prunus serotina,87,
Tree,74,
Acer saccharum,59,
Tsuga canadensis,44,
Pinus rigida,42,
Juniperus virginiana,39,
Quercus alba,30,
Acer pseudoplatanus,29,
Thuja occidentalis,28,
Frangula alnus,26,
Fagus grandifolia,24,
Betula lenta,20,
Acer platanoides,20,
Fraxinus americana,19,
Malus,19,
Nyssa sylvatica,18,
Rhamnus cathartica,16,
Carya ovata,16,
Sassafras albidum,14,
Ulmus americana,11,
Pinus resinosa,11,
Quercus michauxii,8,
Robinia pseudoacacia,8,
Picea glauca,7,
Malus pumila,7,
Quercus velutina,7,
Prunus subhirtella,7,
Morus alba,7,
Quercus berberidifolia,7,
Picea pungens,6,
Acer palmatum,6,
Picea rubens,5,
Prunus,5,
Abies balsamea,5,
Picea abies,5,
Viburnum dentatum,5,
Cornus florida,4,
Quercus ilicifolia,3,
Hamamelis,3,
Taxus baccata,3,
Populus tremuloides,3,
Pyrus calleryana,3,
Tilia cordata,2,
Carya,2,
Picea,2,
Magnolia,2,
Lindera benzoin,2,
Juglans nigra,2,
Populus trichocarpa,2,
Populus grandidentata,2,
Prunus cistena,1,
Celtis occidentalis,1,
Vaccinium,1,
Ulmus pumila,1,
Acer saccharinum,1,
Aesculus hippocastanum,1,
Ailanthus altissima,1,
Buddleja davidii,1,
Taxus cuspidata,1,
Taxus canadensis,1,
Juniperus,1,
Cornus alternifolia,1,
Prunus persica,1,
Rhamnus,1,
Corylus avellana,1,
Quercus palustris,1,
Lonicera tatarica,1,
Diospyros,1,
Elaeagnus,1,
Prunus avium,1,
Pyrus,1,
Prunus cerasifera,1,
Ilex opaca,1,
Crataegus phaenopyrum,1,
