scientific_name,count,height_M
Acer platanoides,13265,
Tilia cordata,9156,
Acer saccharinum,4725,
Malus,2731,
Acer rubrum,2601,
Syringa reticulata,2373,
Acer campestre,2370,
Gleditsia triacanthos,2347,
Platanus acerifolia,1897,
Ulmus carpinifolia,1677,
Pyrus calleryana,1443,
Quercus bicolor,1258,
Aesculus hippocastanum,1256,
Tilia euchlora,1248,
Quercus rubra,1212,
Gymnocladus dioicus,1113,
Acer freemanii,849,
Ulmus,833,
Celtis occidentalis,830,
Zelkova serrata,722,
Fraxinus pennsylvanica,718,
Pinus nigra,694,
Ginkgo biloba,680,
Crataegus,672,
Tilia americana,663,
Acer saccharum,642,
Fraxinus americana,633,
Ulmus japonica,552,
Prunus,549,
Picea pungens,504,
Ostrya virginiana,494,
Prunus serrulata,485,
Prunus virginiana,459,
Acer pseudoplatanus,457,
Aesculus carnea,433,
Ulmus americana,425,
Amelanchier grandiflora,409,
Cercis canadensis,395,
Amelanchier,387,
Betula nigra,375,
Ulmus glabra,350,
Cercidiphyllum japonicum,338,
Ailanthus altissima,323,
Quercus macrocarpa,285,
Populus deltoides,280,
Cornus mas,275,
Catalpa speciosa,264,
Prunus subhirtella,264,
Carpinus betulus,250,
Prunus sargentii,247,
Sophora japonica,244,
Acer ginnala,232,
Quercus palustris,217,
Liquidambar styraciflua,214,
Quercus alba,183,
Quercus robur,179,
Picea abies,169,
Juglans nigra,167,
Liriodendron tulipifera,165,
Robinia pseudoacacia,159,
Pinus strobus,156,
Maackia amurensis,144,
Carpinus caroliniana,137,
Picea glauca,135,
Rhamnus cathartica,134,
Styphnolobium japonicum,121,
Platanus occidentalis,120,
Acer negundo,116,
Cornus,108,
Acer miyabei,106,
Crataegus phaenopyrum,102,
Amelanchier laevis,99,
Thuja occidentalis,98,
Fagus sylvatica,97,
Crataegus crusgalli,96,
Cornus kousa,95,
Nyssa sylvatica,95,
Koelreuteria paniculata,94,
Fraxinus excelsior,89,
Acer palmatum,87,
Morus alba,85,
Pinus resinosa,84,
Cladrastis lutea,78,
Ulmus pumila,74,
Quercus imbricaria,72,
Prunus cerasifera,72,
Malus pumila,67,
Carya ovata,65,
Pseudotsuga menziesii,63,
Acer pensylvanicum,61,
Salix babylonica,61,
Phellodendron amurense,60,
Pyrus,59,
Crataegus viridis,59,
Betula papyrifera,58,
Hibiscus syriacus,58,
Populus tremuloides,56,
Pinus sylvestris,55,
Populus alba,53,
Ulmus propinqua,53,
Taxodium distichum,49,
Cladrastis kentukea,48,
Prunus serotina,47,
Sorbus hybrida,45,
Acer tataricum,44,
Aesculus glabra,42,
Metasequoia glyptostroboides,41,
Salix nigra,40,
Abies concolor,40,
Hamamelis virginiana,38,
Ulmus rubra,35,
Salix,34,
Magnolia soulangiana,29,
Betula populifolia,29,
Picea,29,
Quercus velutina,28,
Quercus,28,
Abies balsamea,28,
Magnolia,27,
Sorbus,27,
Quercus coccinea,26,
Cotinus,24,
Tilia tomentosa,23,
Carya glabra,21,
Chionanthus virginicus,21,
Halesia tetraptera,21,
Corylus colurna,20,
Rhus,19,
Larix decidua,19,
Juniperus,18,
Eucommia ulmoides,18,
Aesculus Octandra,17,
Fraxinus,17,
Magnolia stellata,17,
Pinus,15,
Prunus yedoensis,15,
Maclura pomifera,15,
Ulmus parvifolia,14,
Salix matsudana,14,
Tilia,14,
Tsuga canadensis,14,
Cornus racemosa,14,
Acer,13,
Acer truncatum,13,
Prunus avium,13,
Pinus rigida,13,
Cornus florida,13,
Hamamelis intermedia,12,
Diospyros virginiana,11,
Fraxinus nigra,11,
Chamaecyparis pisifera,11,
Taxus,10,
Juglans cinerea,10,
Alnus glutinosa,9,
Cornus rutgersensis,9,
Acer griseum,9,
Parrotia persica,9,
Betula,9,
Pinus thunbergiana,8,
Pinus palustris,8,
Morus rubra,8,
Prunus persica,8,
Larix laricina,8,
Salix discolor,7,
Pyrus communis,7,
Populus,7,
Sorbus alnifolia,7,
Magnolia acuminata,7,
Tilia europaea,6,
Betula platyphylla,6,
Viburnum lentago,6,
Malus baccata,6,
Picea omorika,6,
Laburnum watereri,6,
Quercus prinus,5,
Cedrus deodara,5,
Quercus muehlenbergii,5,
Viburnum,5,
Liquidambar formosana,5,
Elaeagnus angustifolia,5,
Carya,5,
Betula pendula,4,
Juniperus virginiana,4,
Prunus americana,4,
Caragana arborescens,4,
Fagus,4,
Rhamnus,4,
Euonymus,4,
Populus grandidentata,3,
Viburnum prunifolium,3,
Acer cappadocicum,3,
Pinus banksiana,3,
Acer nigrum,3,
Quercus michauxii,3,
Sassafras albidum,3,
Juglans regia,3,
Chamaecyparis,2,
Larix,2,
Malus domestica,2,
Castanea mollissima,2,
Pinus mugo,2,
Pinus pungens,2,
Aesculus pavia,2,
Carya cordiformis,2,
Betula jacquemontii,2,
Quercus acutissima,2,
Juniperus scopulorum,2,
Sorbus intermedia,1,
Ligustrum sinense,1,
Prunus salicina,1,
Quercus phellos,1,
Ptelea trifoliata,1,
Picea rubens,1,
Euonymus europaeus,1,
Quercus laevis,1,
Quercus shumardii,1,
Salix alba,1,
Fagus grandifolia,1,
