scientific_name,count,height_M
Sabal palmetto,6632,
Quercus virginiana,5727,
Pinus elliottii,3298,
Taxodium distichum,1724,
Quercus laurifolia,903,
Syagrus romanzoffianum,817,
Roystonea regia,743,
Ilex cassine,622,
Wodyetia bifurcata,533,
Juniperus silicicola,514,
Lagerstroemia indica,503,
Syzygium cumini,466,
Ligustrum japonicum,434,
Quercus nigra,431,
Cupaniopsis anacardioides,421,
Adonidia merrillii,393,
Bursera simaruba,391,
Myrica cerifera,362,
Cocos nucifera,346,
Bucida buceras,316,
Coccoloba uvifera,235,
Dypsis lutescens,226,
Casuarina equisetifolia,211,
Eucalyptus,210,
Senna surattensis,192,
Callistemon,180,
Phoenix roebelenii,173,
Thrinax radiata,167,
Conocarpus erectus,155,
Bauhinia,151,
Acer rubrum,138,
Dalbergia sissoo,135,
Cupressus sempervirens,126,
Magnolia grandiflora,122,
Ficus,99,
Handroanthus impetiginosus,97,
Ilex vomitoria,93,
Acacia auriculiformis,91,
Delonix regia,86,
Leucaena leucocephala,85,
Phoenix canariensis,81,
Annona glabra,74,
Acoelorrhaphe wrightii,72,
Rhizophora mangle,69,
Jacaranda acutifolia,68,
Cordia sebestena,64,
Schefflera actinophylla,60,
Ulmus alata,59,
Coccoloba diversifolia,59,
Triadica sebifera,52,
Psidium cattleianum,47,
Ficus microcarpa,45,
Liquidambar styraciflua,39,
Dypsis decaryi,36,
Myrcianthes fragrans,36,
Phoenix dactylifera,35,
Ficus citrifolia,28,
Araucaria heterophylla,24,
Bismarckia nobilis,24,
Koelreuteria paniculata,24,
Lysiloma sabicu,22,
Bischofia,22,
Casasia clusiifolia,21,
Citharexylum spinosum,20,
Ficus elastica,16,
Vachellia farnesiana,16,
Ilex attenuata,16,
Brachychiton rupestris,16,
Peltophorum pterocarpum,14,
Livistona chinensis,13,
Serenoa repens,13,
Grevillea robusta,12,
Piscidia piscipula,12,
Yucca elephantipes,12,
Lysiloma,11,
Beaucarnea recurvata,10,
Melia azedarach,10,
Cycas revoluta,10,
Chrysophyllum oliviforme,10,
Eriobotrya japonica,9,
Coccothrinax,8,
Platanus acerifolia,7,
Tecoma stans,7,
Talipariti,6,
Podocarpus,5,
Mangifera indica,5,
Caryota mitis,5,
Citrus,4,
Manilkara jaimiqui,4,
Simarouba glauca,4,
Nyssa sylvatica,3,
Hyophorbe lagenicaulis,3,
Pandanus,3,
Podocarpus gracilior,2,
Vachellia choriophylla,2,
Persea borbonia,1,
Eugenia rhombea,1,
Gordonia lasianthus,1,
Magnolia virginiana,1,
Schefflera arboricola,1,
Sideroxylon salicifolium,1,
Melaleuca,1,
Schinus terebinthifolius,1,
Persea americana,1,
Myrsine,1,
Cassia fistula,1,
Prunus,1,
Cinnamomum camphora,1,
Diospyros nigra,1,
