scientific_name,count,height_M
Fraxinus pennsylvanica,25736,
Gleditsia triacanthos,24178,
Tilia cordata,12961,
Acer saccharinum,12735,
Fraxinus americana,11922,
Ulmus pumila,10671,
Acer freemanii,9780,
Malus sylvestris,9240,
Celtis occidentalis,9060,
Acer platanoides,7945,
Picea pungens,7592,
Pinus nigra,7302,
Pyrus calleryana,7133,
Pinus ponderosa,7063,
Tilia americana,5530,
Quercus macrocarpa,5111,
Quercus rubra,4846,
Quercus bicolor,4830,
Ulmus americana,4694,
Gymnocladus dioicus,4106,
Quercus robur,3607,
Populus tremuloides,3483,
Acer rubrum,3084,
Juniperus scopulorum,3010,
Catalpa speciosa,2962,
Ulmus,2944,
Populus sargentii,2657,
Populus deltoides,2593,
Ailanthus altissima,2465,
Prunus virginiana,1979,
Malus,1891,
Prunus cerasifera,1835,
Pinus edulis,1834,
Platanus acerifolia,1814,
Pinus sylvestris,1798,
Crataegus,1647,
Acer saccharum,1541,
Acer tataricum,1480,
Acer ginnala,1446,
Rhamnus cathartica,1402,
Thuja occidentalis,1358,
Acer negundo,1287,
Koelreuteria paniculata,1281,
Populus hybrid,1213,
Pseudotsuga menziesii,1128,
Pinus mugo,1103,
Crataegus crusgalli,1089,
Juniperus,1085,
Picea glauca,985,
Quercus muehlenbergii,970,
Aesculus glabra,941,
Sophora japonica,932,
Populus acuminata,896,
Cercis canadensis,889,
Syringa reticulata,864,
Amelanchier,841,
Elaeagnus angustifolia,823,
Syringa,809,
Ginkgo biloba,765,
Prunus,666,
Quercus shumardii,649,
Crataegus phaenopyrum,640,
Corylus colurna,583,
Malus tschonoskii,571,
Malus ioensis,558,
Catalpa,537,
Quercus alba,536,
Acer miyabei,526,
Populus angustifolia,486,
Salix fragilis,481,
Quercus gambellii,474,
Zelkova serrata,474,
Salix amygdaloides,455,
Abies concolor,433,
Acer campestre,428,
Prunus persica,398,
Acer grandidentatum,386,
Prunus americana,386,
Populus,373,
Robinia pseudoacacia,348,
Crataegus crus-galli,343,
Prunus pumila,335,
Crataegus laevigata,322,
Juniperus virginiana,321,
Aesculus carnea,310,
Quercus palustris,296,
Prunus yedoensis,287,
Ulmus carpinifolia,281,
Pinus flexilis,278,
Celtis reticulata,276,
Aesculus hippocastanum,266,
Hibiscus syriacus,262,
Rhamnus,249,
Juniperus monosperma,248,
Crataegus mollis,245,
Crataegus ambigua,244,
Quercus buckleyi,237,
Platanus occidentalis,234,
Juniperus chinensis,233,
Pinus heldreichii,230,
Quercus coccinea,224,
Prunus serrulata,222,
Morus alba,218,
Cladrastis lutea,212,
Pinus aristata,212,
Quercus,210,
Cotinus coggygria,199,
Quercus imbricaria,196,
Carpinus betulus,194,
Amelanchier grandiflora,191,
Ligustrum ovalifolium,190,
Prunus avium,188,
Aesculus Octandra,185,
Acer,182,
Salix alba,177,
Salix,171,
Liriodendron tulipifera,167,
Rhus typhina,155,
Platycladus orientalis,154,
Pinus strobus,153,
Pyrus communis,151,
Picea abies,150,
Picea,150,
Ulmus propinqua,149,
Juglans nigra,149,
Sorbus aucuparia,147,
Populus alba,132,
Acer truncatum,130,
Prunus domestica,130,
Ulmus wilsoniana,128,
Morus,127,
Pyrus,126,
Acer glabrum,125,
Celtis laevigata,124,
Ulmus davidiana,116,
Pinus strobiformis,110,
Tilia tomentosa,109,
Prunus armeniaca,104,
Picea omorika,99,
Prunus cerasus,98,
Salix nigra,98,
Betula occidentalis,97,
Syringa pekinensis,95,
Maackia amurensis,95,
Maclura pomifera,94,
Acer pseudoplatanus,93,
Quercus warei,92,
Cercis occidentalis,89,
Crataegus viridis,89,
Fagus sylvatica,89,
Eucommia ulmoides,88,
Quercus acutissima,86,
Liquidambar styraciflua,84,
Picea engelmannii,83,
Cornus mas,79,
Ostrya virginiana,77,
Ulmus procera,73,
Ulmus parvifolia,72,
Pinus,72,
Catalpa bignonioides,70,
Cupressus arizonica,65,
Euonymus europaeus,64,
Quercus ellipsoidalis,62,
Cerocarpus,62,
Betula nigra,62,
Shepherdia argentea,60,
Magnolia soulangiana,60,
Cornus,59,
Pinus contorta,57,
Euonymus alatus,57,
Caragana arborescens,57,
Magnolia,57,
Euonymus,55,
Fraxinus nigra,55,
Taxodium distichum,54,
Betula pendula,53,
Amelanchier canadensis,52,
Zelkova,51,
Prunus subhirtella,51,
Salix matsudana,51,
Betula papyrifera,50,
Tilia flavescens,49,
Phellodendron amurense,48,
Fraxinus,48,
Salix babylonica,45,
Prunus maackii,44,
Carpinus caroliniana,43,
Acer palmatum,42,
Rhus,41,
Laburnum watereri,41,
Sambucus nigra,41,
Taxus baccata,41,
Pinus monticola,40,
Alnus tenuifolia,39,
Sorbus,38,
Salix discolor,38,
Magnolia stellata,37,
Crataegus mordenensis,36,
Prunus sargentii,33,
Magnolia acuminata,33,
Cedrus atlantica,33,
Viburnum L.,33,
Pistacia chinensis,32,
Aesculus L.,30,
Ligustrum,29,
Crataegus douglasii,28,
Populus tremula,28,
Populus fremontii,27,
Cornus florida,27,
Quercus undulata,25,
Cedrus,25,
Sorbus thuringiaca,24,
Betula,24,
Carya illinoinensis,23,
Sequoiadendron giganteum,22,
Prunus serotina,22,
Alnus,22,
Viburnum opulus,20,
Prunus glandulosa,20,
Prunus nigra,20,
Castanea mollissima,20,
Juglans regia,19,
Larix decidua,19,
Forsythia,18,
Acer triflorum,18,
Cedrus libani,18,
Populus nigra,18,
Fagus,17,
Celtis sinensis,17,
Parrotia persica,16,
Juniperus osteosperma,16,
Nyssa sylvatica,15,
Pinus densiflora,14,
Fraxinus mandshurica,14,
Juniperus oxycedrus,14,
Prunus padus,14,
Pinus resinosa,13,
Acer griseum,13,
Heptacodium miconioides,13,
Cercidiphyllum japonicum,13,
Fraxinus quadrangulata,13,
Alnus glutinosa,13,
Metasequoia glyptostroboides,11,
Ulmus thomasii,11,
Fagus grandifolia,11,
Cedrus deodara,11,
Sorbus intermedia,11,
Pinus eldarica,11,
Chionanthus virginicus,10,
Carya ovata,10,
Cornus kousa,10,
Quercus velutina,10,
Alnus incana,10,
Juglans cinerea,10,
Pinus balfouriana,9,
Catalpa ovata,9,
Quercus texana,9,
Abies,8,
Larix,8,
Pinus banksiana,8,
Cercis reniformis,8,
Corylus,8,
Diospyros virginiana,8,
Hydrangea paniculata,7,
