scientific_name,count,height_M
Lagerstroemia indica,2358,79.52
Lophostemon confertus,1643,112.97
Cupaniopsis anacardioides,1438,111.56
Pinus canariensis,1049,245.09
Syagrus romanzoffianum,897,81.29
Pyrus kawakamii,710,103.02
Magnolia grandiflora,696,99.77
Jacaranda acutifolia,668,132.41
Washingtonia robusta,596,278.4
Platanus acerifolia,593,136.19
Ulmus parvifolia,592,168.31
Archontophoenix cunninghamiana,565,61.93
Pyrus calleryana,467,80.3
Liquidambar styraciflua,365,122.69
Eriobotrya deflexa,305,75.62
Schinus terebinthifolius,273,116.75
Koelreuteria bipinnata,219,124.64
Ligustrum lucidum,183,98.69
Callistemon pallidus,170,96.69
Washingtonia filifera,139,153.3
Corymbia citriodora,133,204.25
Quercus ilex,122,131.1
Ficus benjamina,111,78.77
Platanus racemosa,105,232.47
Cinnamomum camphora,98,116.34
Ficus microcarpa,95,127.26
Bauhinia purpurea,94,96.33
Platycladus orientalis,93,87.84
Eucalyptus globulus,93,224.54
Podocarpus gracilior,89,118.33
Xylosma,85,93.02
Ravenea rivularis,83,53.36
Melaleuca quinquenervia,74,135.67
Pinus halepensis,74,240.08
Prunus persica,72,49.21
Morus alba,72,117.56
Hymenosporum flavum,70,120.45
Rhaphiolepis indica,66,49.21
Fraxinus velutina,65,128.71
Cupressus sempervirens,62,135.47
Pinus thunbergii,59,73.4
Metrosideros excelsa,55,104.69
Phoenix dactylifera,53,131.85
Juniperus chinensis 'Torulosa',52,94.64
Araucaria heterophylla,43,112.92
Eucalyptus,43,167.86
Persea americana,42,94.91
Pittosporum undulatum,40,114.42
Phoenix canariensis,39,146.38
Pinus pinea,38,119.15
Corymbia ficifolia,38,121.74
Quercus agrifolia,37,78.47
Prunus cerasifera,36,53.31
Cedrus deodara,32,127.65
Calodendrum capense,31,63.5
Ceiba speciosa,30,104.99
Ginkgo biloba,30,98.43
Ceratonia siliqua,30,108.27
Fraxinus uhdei,29,194.02
Olea,29,88.24
Ficus rubiginosa,29,147.64
Callistemon viminalis,27,126.37
Prunus serrulata,24,49.21
Eriobotrya japonica,22,58.16
Tristaniopsis laurina,22,135.71
Tipuana tipu,21,84.36
Betula pendula,21,77.33
Cocculus laurifolius,21,110.14
Podocarpus macrophyllus,20,100.89
Acer saccharinum,18,122.12
Cassia leptophylla,18,57.41
Eucalyptus polyanthemos,17,138.95
Grevillea robusta,16,248.11
Robinia pseudoacacia,15,131.23
Schinus molle,15,75.46
Pinus radiata,14,116.0
Trachycarpus fortunei,14,91.39
Alnus rhombifolia,13,109.78
Prunus caroliniana,13,90.85
Acer palmatum,13,82.02
Pinus eldarica,13,79.5
Geijera parviflora,12,73.82
Bismarckia nobilis,11,67.11
Eucalyptus camaldulensis,11,202.82
Pistacia chinensis,11,58.16
Agonis flexuosa,10,78.74
Yucca gloriosa,10,88.58
Dodonaea viscosa,10,78.74
Wodyetia bifurcata,10,91.86
Eucalyptus maculata,10,152.56
Dracaena,9,54.68
Tabebuia impetiginosa,9,71.08
Cercis canadensis,9,76.55
Cercis occidentalis,9,49.21
Brahea edulis,9,91.13
Fraxinus oxycarpa,9,71.08
Brachychiton,8,98.43
Dypsis lutescens,8,49.21
Butia capitata,8,120.98
Citrus sinensis,8,61.52
Parkinsonia aculeata,8,79.97
Dypsis decaryi,7,63.27
Ficus macrophylla,7,154.67
Magnolia,7,124.2
Pittosporum rhombifolium,7,98.43
Ailanthus altissima,7,49.21
Cupressus glabra,6,73.82
Juniperus chinensis,6,82.02
Cupressus leylandii,6,114.83
Erythrina caffra,6,90.22
Harpephyllum caffrum,6,123.03
Macadamia integrifolia,5,88.58
Liriodendron tulipifera,5,108.27
Roystonea regia,5,98.43
Prunus,5,49.21
Caryota mitis,5,68.9
Catalpa speciosa,5,118.11
Koelreuteria paniculata,5,68.9
Citrus paradisi,5,49.21
Chilopsis linearis,5,88.58
Prunus lyonii,4,61.52
Magnolia soulangeana,4,49.21
Melia azedarach,4,123.03
Photinia fraseri,4,73.82
Psidium guajava,4,49.21
Prunus armeniaca,4,49.21
