scientific_name,count,height_M
Lagerstroemia indica,44320,
Quercus virginiana,44059,
Celtis occidentalis,13013,
Quercus nigra,10804,
Triadica sebifera,9561,
Pinus taeda,8893,
Carya illinoinensis,6129,
Washingtonia robusta,5466,
Fraxinus velutina,4829,
Magnolia grandiflora,4297,
Ulmus americana,3584,
Taxodium distichum,3246,
Platanus occidentalis,2811,
Pyrus calleryana,2622,
Ulmus parvifolia,2542,
Quercus shumardii,2454,
Quercus phellos,1945,
Cercis,1881,
Ulmus crassifolia,1680,
Ligustrum japonicum,1677,
Quercus macrocarpa,1634,
Quercus rubra,1460,
Liquidambar styraciflua,1352,
Juniperus virginiana,1245,
Melia azedarach,1159,
Fraxinus pennsylvanica,1154,
Prunus laurocerasus,1144,
Morus rubra,1095,
Quercus stellata,1085,
Cedrus,1038,
Nerium oleander,979,
Acer rubrum,963,
Thuja,948,
Cinnamomum camphora,921,
Catalpa,917,
Quercus nuttallii,874,
Ilex opaca,865,
Juniperus chinensis,840,
Morus,752,
Quercus laurifolia,745,
Albizia julibrissin,693,
Ulmus rubra,648,
Pistacia chinensis,619,
Ilex vomitoria,593,
Myrica cerifera,587,
Prunus salicina,502,
Pinus elliottii,474,
Pinus,433,
Ulmus pumila,421,
Quercus alba,386,
Acer negundo,373,
Populus deltoides,362,
Musa,358,
Quercus,316,
Quercus acutissima,308,
Citrus,306,
Morus alba,303,
Betula nigra,302,
Acer saccharinum,282,
Populus,276,
Koelreuteria paniculata,272,
Cupressus sempervirens,258,
Pyrus,213,
Vitex agnus-castus,208,
Salix nigra,197,
Prunus persica,195,
Ulmus alata,188,
Quercus lyrata,176,
Prunus serotina,165,
Quercus michauxii,160,
Photinia fraseri,157,
Ilex cornuta,155,
Magnolia soulangeana,150,
Prunus cerasifera,146,
Eriobotrya japonica,140,
Salix babylonica,135,
Prunus mexicana,133,
Diospyros virginiana,118,
Ficus,117,
Liriodendron tulipifera,92,
Pinus palustris,91,
Ilex decidua,88,
Magnolia,86,
Pinus echinata,77,
Quercus pagoda,77,
Sideroxylon lanuginosum,76,
Bauhinia,73,
Sapindus,72,
Hibiscus syriacus,70,
Gleditsia triacanthos,69,
Magnolia virginiana,65,
Acer buergerianum,65,
Malus sylvestris,64,
Ailanthus altissima,62,
Retama,62,
Quercus texana,60,
Malus,59,
Quercus muehlenbergii,54,
Platanus mexicana,53,
Araucaria heterophylla,52,
Kalmia latifolia,50,
Pinus nigra,48,
Quercus velutina,47,
Fraxinus americana,43,
Rhus copallinum var. latifolia,43,
Crataegus,42,
Cornus,40,
Erythrina,40,
Prumnopitys andina,39,
Lagerstroemia,36,
Vachellia farnesiana,35,
Juglans nigra,35,
Quercus marilandica,35,
Callistemon,34,
Robinia pseudoacacia,33,
Firmiana simplex,32,
Sapindus saponaria,28,
Punica granatum,26,
Carya,26,
Acer saccharum,24,
Prunus armeniaca,24,
Maclura pomifera,24,
Prosopis glandulosa,22,
Cedrus deodara,21,
Psidium guajava,20,
Ziziphus jujuba,20,
Chilopsis linearis,20,
Cornus florida,20,
Ginkgo biloba,19,
Ehretia anacua,18,
Pinus virginiana,17,
Ebenopsis ebano,16,
Chionanthus,16,
Persea americana,15,
Bauhania,15,
Diospyros texana,15,
Carya texana,14,
Acer palmatum,14,
Carya laciniosa,14,
Manihot esculenta,13,
Styphnolobium affine,13,
Leucaena retusa,12,
Ostrya virginiana,12,
Nyssa sylvatica,12,
Eucalyptus,12,
Rhus copallinum,12,
Morus microphylla,11,
Jatropha,11,
Camellia japonica,11,
Persea borbonia,10,
Washingtonia filifera,10,
Taxus cuspidata,10,
Elaeocarpus decipiens,10,
Sesbania drummondii,8,
Frangula caroliniana,8,
Carya ovata,8,
Cupressus arizonica,8,
Pyracantha coccinea,8,
Pistacia texana,8,
Viburnum rufidulum,7,
Quercus laceyi,7,
Thuja occidentalis,7,
Paulownia tomentosa,7,
Ungnadia speciosa,7,
Diospyros kaki,7,
Laurus nobilis,7,
Cornus drummondii,7,
Acer grandidentatum,6,
Styphnolobium japonicum,6,
Celtis lindheimeri,6,
Populus nigra,6,
Celtis reticulata,6,
Feijoa sellowiana,6,
Aesculus pavia,6,
Mangifera indica,5,
Pinus radiata,5,
Cupressus leylandii,5,
Acer leucoderme,5,
Olea,5,
Cordia boissieri,5,
Prunus,5,
Myrospernum sousanum,5,
Fraxinus berlandieriana,4,
Broussonetia papyrifera,4,
Zanthoxylum clava-herculis,4,
Salix matsudana,4,
Elaeagnus angustifolia,4,
Taxodium mucronatum,4,
Juniperus ashei,4,
Carica papaya,4,
Chitalpa tashkentensis,3,
Camellia,3,
Paulownia,3,
Camellia sasanqua,3,
Cotinus obovatus,3,
Cnidoscolus aconitifolius,3,
Salix,3,
Xylosma,2,
Senna alata,2,
Poncirus trifoliata,2,
Sambucus,2,
Halesia carolina,2,
Populus alba,2,
Tilia,2,
Casuarina,2,
Quercus suber,2,
Carpinus caroliniana,2,
Acer capillipes,1,
Photinia,1,
Aralia,1,
Araucaria araucana,1,
Tamarix,1,
Sophora secundiflora,1,
Ricinus communis,1,
Quercus rysophylla,1,
Crataegus marshallii,1,
Helieta parvifolia,1,
Prunus glandulosa,1,
Nyssa aquatica,1,
Acacia dealbata,1,
