scientific_name,count,height_M
Acer saccharum,7042,
Celtis occidentalis,5940,
Malus,5803,
Fraxinus americana,5717,
Ulmus pumila,3977,
Acer platanoides,3298,
Pinus strobus,3148,
Acer rubrum,3135,
Morus,3107,
Fraxinus pennsylvanica,2810,
Picea pungens,2654,
Picea abies,2406,
Prunus serotina,2265,
Fraxinus,2241,
Cercis canadensis,1972,
Quercus rubra,1940,
Gleditsia triacanthos,1931,
Populus deltoides,1872,
Prunus,1730,
Quercus palustris,1537,
Juglans nigra,1518,
Liquidambar styraciflua,1478,
Pyrus calleryana,1420,
Robinia pseudoacacia,1419,
Acer negundo,1406,
Platanus occidentalis,1386,
Juniperus virginiana,1325,
Pinus sylvestris,1239,
Ulmus rubra,1233,
Catalpa speciosa,1188,
Liriodendron tulipifera,1139,
Ulmus americana,1033,
Crataegus,1020,
Tilia cordata,1000,
Carya ovata,855,
Ailanthus altissima,721,
Thuja occidentalis,638,
Pinus resinosa,615,
Pyrus,612,
Cornus florida,606,
Ginkgo biloba,540,
Quercus macrocarpa,527,
Tilia americana,504,
Pinus nigra,423,
Quercus alba,420,
Betula nigra,393,
Acer nigrum,383,
Alnus glutinosa,343,
Platanus acerifolia,325,
Salix,319,
Cornus,309,
Tsuga canadensis,276,
Picea,272,
Magnolia,264,
Ulmus,254,
Acer,242,
Populus nigra,237,
Betula papyrifera,191,
Abies fraseri,176,
Acer campestre,175,
Aesculus glabra,164,
Quercus muehlenbergii,162,
Fagus grandifolia,157,
Picea glauca,139,
Quercus velutina,135,
Juniperus,125,
Maclura pomifera,117,
Populus,113,
Crataegus phaenopyrum,111,
Quercus bicolor,111,
Pseudotsuga menziesii,109,
Acer palmatum,104,
Populus alba,104,
Tilia,101,
Cornus racemosa,101,
Aesculus hippocastanum,98,
Gymnocladus dioicus,90,
Elaeagnus angustifolia,88,
Fraxinus oxycarpa,88,
Acer ginnala,86,
Pinus banksiana,84,
Sorbus alnifolia,76,
Koelreuteria paniculata,74,
Taxus,72,
Quercus,67,
Rhus typhina,65,
Syringa,65,
Taxodium distichum,64,
Quercus prinus,63,
Aesculus,62,
Fraxinus excelsior,55,
Albizia julibrissin,53,
Diospyros virginiana,52,
Zelkova serrata,51,
Magnolia soulangiana,49,
Quercus coccinea,48,
Cotinus coggygria,48,
Carpinus caroliniana,45,
Ostrya virginiana,40,
Tilia tomentosa,38,
Ilex opaca,37,
Quercus imbricaria,37,
Sassafras albidum,37,
Abies,36,
Fraxinus quadrangulata,34,
Pinus virginiana,33,
Abies concolor,28,
Eucommia ulmoides,26,
Crataegus crusgalli,25,
Fagus,25,
Crataegus lavallei,23,
Betula,23,
Carya cordiformis,21,
Carpinus,21,
Carya glabra,20,
Amelanchier grandiflora,20,
Abies balsamea,19,
Amelanchier canadensis,18,
Juglans cinerea,17,
Lonicera,16,
Castanea mollissima,16,
Hibiscus,14,
Prunus subhirtella,14,
Pinus mugo,14,
Platanus,13,
Carpinus betulus,12,
Larix,12,
Betula alleghaniensis,12,
Acer pseudoplatanus,11,
Juglans,11,
Rhamnus cathartica,11,
Juglans regia,9,
Aralia spinosa,9,
Quercus robur,8,
Nyssa sylvatica,8,
Picea mariana,8,
Paulownia tomentosa,8,
Fraxinus ornus,7,
Phellodendron amurense,6,
Sophora japonica,5,
Asimina triloba,5,
Larix decidua,5,
Fagus sylvatica,5,
Metasequoia glyptostroboides,5,
Taxus canadensis,4,
Elaeagnus umbellata,4,
Picea rubens,4,
Prunus pennsylvanica,4,
Crataegus viridis,3,
Paulownia,3,
Cladrastis kentukea,3,
Fraxinus nigra,3,
Prunus L.,3,
Ligustrum,3,
Oxydendrum arboreum,2,
Ulmus parvifolia,2,
Magnolia stellata,2,
Juniperus conferta,2,
Frangula alnus,2,
Cercidiphyllum japonicum,2,
Robinia viscosa,2,
Corylus americana,2,
Euonymus,2,
Juniperus procumbens,1,
Buxus,1,
Elaeagnus,1,
Magnolia acuminata,1,
Spirea,1,
Pinus ponderosa,1,
Carya laciniosa,1,
Viburnum,1,
