scientific_name,count,height_M
Pinus canariensis,4578,
Eucalyptus globulus,3948,
Eucalyptus maculata,3830,
Tristaniopsis Brongn.,3810,
Pinus brutia,3339,
Pinus halepensis,2973,
Platanus racemosa,2887,
Eucalyptus,2503,
Jacaranda mimosifolia,2063,
Liquidambar styraciflua,1773,
Quercus agrifolia,1570,
Lagerstroemia indica,1390,
Schinus molle,1341,
Cinnamomum camphora,1333,
Cupaniopsis anacardioides,1244,
Platanus acerifolia,1195,
Eucalyptus citriodora,1172,
Eucalyptus cladocalyx,1017,
Koelreuteria bipinnata,972,
Podocarpus gracilior,938,
Eucalyptus sideroxylon,889,
Callistemon citrinus,838,
Ulmus parvifolia,690,
Prunus armeniaca,671,
Alnus rhombifolia,552,
Washingtonia robusta,542,
Machaerium tipu,541,
Magnolia grandiflora,530,
Metrosideros excelsa,529,
Pinus pinea,521,
Ficus rubiginosa,489,
Cupressus sempervirens,440,
Ficus,409,
Pittosporum tobira,402,
Schinus terebinthifolius,370,
Eucalyptus leucoxylon,302,
Pyrus kawakamii,276,
Populus alba,270,
Myoporum laetum,262,
Harpephyllum caffrum,258,
Bauhinia variegata,215,
Brachychiton populneum,208,
Quercus ilex,193,
Populus nigra,193,
Geijera parviflora,178,
Grevillea robusta,171,
Betula pendula,162,
Chorisia speciosa,141,
Eucalyptus cinerea,135,
Eriobotrya deflexa,134,
Fraxinus uhdei,132,
Ginkgo biloba,122,
Prunus cerasifera,122,
Pinus radiata,117,
Melaleuca nesophila,113,
Cedrus deodara,95,
Eucalyptus grandis,94,
Eucalyptus ficifolia,88,
Agonis flexuosa,80,
Melaleuca quinquenervia,76,
Ficus carica,70,
Juniperus chinensis,69,
Callistemon viminalis,67,
Pinus thunbergiana,62,
Morus alba,61,
Casuarina cunninghamiana,61,
Ficus macrophylla,59,
Eucalyptus erythrocorys,57,
Erythrina lysistemon,52,
Araucaria heterophylla,44,
Albizia julibrissin,43,
Acacia melanoxylon,40,
Ulmus pumila,40,
Arbutus unedo,38,
Pittosporum viridiflorum,35,
Cercis canadensis,30,
Olea europaea,30,
Salix matsudana,27,
Ficus benjamina,26,
Cassia leptophylla,25,
Alnus cordata,24,
Eucalyptus viminalis,22,
Fraxinus velutina,20,
Stenocarpus sinuatus,19,
Podocarpus macrophyllus,18,
Calocedrus decurrens,18,
Prunus,17,
Syzygium paniculatum,16,
Acacia decurrens,15,
Pittosporum rhombifolium,14,
Acacia baileyana,14,
Prunus caroliniana,14,
Arecastrum romanzoffianum,14,
Phoenix dactylifera,13,
Ilex altaclarensis,13,
Salix pendulina,13,
Archontophoenix cunninghamiana,11,
Lagunaria patersonii,10,
Citrus limon,10,
Betula,10,
Sequoia sempervirens,8,
Juglans hindsii,7,
Yucca gloriosa,7,
Eucalyptus torquata,7,
Ligustrum lucidum,7,
Brahea edulis,6,
Yucca,6,
Washingtonia filifera,5,
Celtis,5,
Liriodendron tulipifera,4,
Acer saccharinum,4,
Melaleuca armillaris,3,
Xylosma congestum,3,
Leptospermum,3,
Persea americana,3,
Acer,2,
Viburnum tinus,2,
Acer palmatum,2,
Tristaniopsis laurina,2,
Pinus torreyana,2,
Eriobotrya japonica,2,
Prunus ilicifolia,2,
Malus sylvestris,2,
Nerium oleander,2,
Trachycarpus fortunei,1,
Chamaerops humilis,1,
Feijoa sellowiana,1,
Ficus lyrata,1,
Prunus persica,1,
Cupressus,1,
