scientific_name,count,height_M
Thuja occidentalis,111,
Quercus rubra,101,
Quercus bicolor,92,
Tilia cordata,78,
Acer rubrum,63,
Platanus occidentalis,62,
Acer saccharum,56,
Juniperus virginiana,33,
Juniperus chinensis,22,
Amelanchier canadensis,17,
Gleditsia triacanthos,17,
Cercis canadensis,16,
Ulmus americana,11,
Liquidambar styraciflua,10,
Nyssa sylvatica,10,
Zelkova serrata,10,
Amelanchier laevis,10,
Malus,8,
Cornus kousa,8,
Magnolia virginiana,8,
Betula nigra,7,
Franklinia alatamaha,4,
Pseudotsuga menziesii,4,
Cornus florida,4,
Prunus sargentii,3,
Thuja,3,
Gymnocladus dioicus,1,
Prunus serotina,1,
Quercus palustris,1,
Cladrastis kentukea,1,
Taxodium distichum,1,
Amelanchier arborea,1,
