scientific_name,count,height_M
Acer rubrum,683,
Cornus florida,602,
Acer saccharum,594,
Lagerstroemia indica,517,
Cercis canadensis,323,
Quercus phellos,321,
Celtis occidentalis,282,
Pinus strobus,199,
Quercus palustris,184,
Acer saccharinum,172,
Magnolia grandiflora,167,
Ulmus americana,167,
Prunus serrulata,156,
Platanus occidentalis,152,
Ulmus parvifolia,147,
Pyrus communis,144,
Zelkova serrata,128,
Ilex cornuta,117,
Acer negundo,113,
Platanus,108,
Prunus,99,
Prunus serotina,98,
Liquidambar styraciflua,96,
Liriodendron tulipifera,94,
Acer buergerianum,92,
Juniperus virginiana,92,
Betula nigra,82,
Tilia cordata,78,
Gymnocladus dioicus,74,
Quercus acutissima,73,
Pistacia chinensis,73,
Ginkgo biloba,73,
Juniperus,71,
Taxodium distichum,66,
Ilex attenuata,65,
Quercus macrocarpa,63,
Pyrus calleryana,58,
Cladrastis kentukea,57,
Koelreuteria paniculata,55,
Quercus alba,54,
Amelanchier,53,
Magnolia virginiana,53,
Gleditsia triacanthos,53,
Nyssa sylvatica,52,
Juglans nigra,51,
Quercus lyrata,45,
Quercus rubra,43,
Malus,43,
Ilex opaca,40,
Quercus shumardii,37,
Quercus falcata,37,
Pinus taeda,36,
Cornus kousa,35,
Pinus echinata,34,
Carpinus betulus,34,
Quercus stellata,31,
Tsuga canadensis,30,
Carya tomentosa,30,
Carpinus caroliniana,28,
Catalpa speciosa,28,
Ailanthus altissima,27,
Pinus virginiana,26,
Quercus bicolor,26,
Morus rubra,26,
Metasequoia glyptostroboides,25,
Thuja occidentalis,23,
Crataegus viridis,23,
Robinia pseudoacacia,22,
Fraxinus pennsylvanica,21,
Ulmus pumila,20,
Acer tataricum,20,
Cupressocyparis,19,
Fraxinus americana,18,
Sophora japonica,17,
Salix babylonica,17,
Ostrya virginiana,17,
Quercus prinus,17,
Pinus,16,
Quercus nigra,16,
Albizia julibrissin,15,
Acer palmatum,15,
Ulmus carpinifolia,15,
Morus alba,14,
Quercus nuttallii,14,
Quercus coccinea,14,
Quercus velutina,13,
Tilia americana,13,
Prunus virginiana,13,
Magnolia,13,
Lonicera,12,
Acer platanoides,12,
Chionanthus virginicus,11,
Ilex,10,
Malus pumila,10,
Picea abies,10,
Salix,10,
Diospyros virginiana,10,
Acer griseum,10,
Carya glabra,8,
Maclura pomifera,8,
Acer campestre,8,
Quercus muehlenbergii,7,
Viburnum,6,
Tilia tomentosa,6,
Acer L.,6,
Fagus grandifolia,6,
Pinus nigra,6,
Picea pungens,6,
Cedrus atlantica,5,
Quercus robur,5,
Chamaecyparis pisifera,5,
Crataegus phaenopyrum,4,
Salix matsudana,4,
Magnolia kobus,4,
Carya illinoinensis,4,
Prunus cerasifera,4,
Carya ovata,3,
Cedrus deodara,3,
Crataegus,3,
Celtis laevigata,3,
Hibiscus syriacus,3,
Ulmus,3,
Aesculus flava,3,
Eucommia ulmoides,3,
Cryptomeria japonica,3,
Sassafras albidum,2,
Carya,2,
Cotinus coggygria,2,
Prunus persica,2,
Magnolia stellata,2,
Quercus marilandica,2,
Paulownia tomentosa,2,
Populus alba,1,
Vitex agnus,1,
Quercus,1,
Aesculus hippocastanum,1,
Betula papyrifera,1,
Broussonetia papyrifera,1,
Callitropsis nootkatensis,1,
Populus deltoides,1,
Halesia carolina,1,
Chionanthus retusus,1,
Picea glauca,1,
Magnolia acuminata,1,
Juniperus chinensis,1,
Quercus pagoda,1,
Salix nigra,1,
Juglans cinerea,1,
Pinus sylvestris,1,
