scientific_name,count,height_M
Washingtonia robusta,37971,
Lagerstroemia indica,34729,
Magnolia grandiflora,30988,
Liquidambar styraciflua,30061,
Ficus microcarpa,28681,
Platanus acerifolia,17477,
Cinnamomum camphora,15850,
Cupressus sempervirens,14078,
Ulmus parvifolia,13920,
Jacaranda acutifolia,13760,
Cupaniopsis anacardioides,11715,
Fraxinus velutina,11620,
Pinus canariensis,11609,
Arecastrum romanzoffianum,10696,
Ceratonia siliqua,10484,
Pyrus kawakamii,9725,
Phoenix canariensis,9444,
Quercus agrifolia,7786,
Pittosporum undulatum,7693,
Pyrus calleryana,7500,
Fraxinus uhdei,6921,
Schinus terebinthifolius,6790,
Ficus benjamina,6732,
Jacaranda mimosifolia,6605,
Ligustrum lucidum,6590,
Callistemon lanceolatus,5815,
Morus alba,5640,
Ulmus pumila,5536,
Brachychiton populneus,5159,
Callistemon citrinus,4462,
Platanus racemosa,4419,
Pinus halepensis,4081,
Podocarpus gracilior,4076,
Podocarpus macrophyllus,3908,
Prunus caroliniana,3815,
Juglans californica,3706,
Quercus,3612,
Nerium oleander,3582,
Schinus molle,3561,
Cedrus deodara,3468,
Eucalyptus globulus,3213,
Betula pendula,3153,
Juniperus,3035,
Olea europaea,2976,
Liriodendron tulipifera,2924,
Tristania conferta,2892,
Washingtonia filifera,2767,
Eucalyptus rudis,2599,
Acacia melanoxylon,2581,
Eucalyptus,2452,
Yucca gloriosa,2441,
Pinus thunbergiana,2291,
Robinia pseudoacacia,2290,
Quercus ilex,2240,
Prunus cerasifera,2227,
Syzygium paniculatum,2179,
Eucalyptus ficifolia,2179,
Pinus radiata,2165,
Eucalyptus polyanthemos,2005,
Melaleuca quinquenervia,1921,
Citrus sinensis,1851,
Trachycarpus fortunei,1824,
Pinus pinea,1811,
Koelreuteria bipinnata,1750,
Grevillea robusta,1637,
Casuarina cunninghamiana,1624,
Archontophoenix,1495,
Prunus pissardii,1402,
Prunus persica,1386,
Callistemon viminalis,1384,
Acer saccharinum,1371,
Juglans regia,1354,
Eucalyptus camaldulensis,1313,
Pittosporum rhombifolium,1255,
Eucalyptus robusta,1218,
Eucalyptus sideroxylon,1207,
Ailanthus altissima,1194,
Persea americana,1187,
Catalpa speciosa,1185,
Eucalyptus citriodora,1166,
Koelreuteria paniculata,1124,
Lagerstroemia L.,1099,
Eriobotrya japonica,1099,
