scientific_name,count,height_M
Fraxinus pennsylvanica,28206,
Acer platanoides,20191,
Ulmus americana,16232,
Acer saccharum,15362,
Tilia americana,12745,
Celtis occidentalis,12736,
Tilia cordata,12687,
Gleditsia triacanthos,12676,
Unassigned,12042,
Acer rubrum,4196,
Ulmus,4000,
Acer freemanii,3733,
Ginkgo biloba,3592,
Malus,3140,
Quercus bicolor,2879,
Syringa reticulata,2180,
Acer saccharinum,1940,
Quercus macrocarpa,1664,
Quercus palustris,1421,
Tilia,1398,
Picea,1282,
Quercus ellipsoidalis,1216,
Betula nigra,1157,
Acer ginnala,815,
Quercus rubra,692,
Fraxinus americana,534,
Gymnocladus dioicus,534,
Quercus alba,497,
Aesculus,417,
Ulmus pumila,407,
Fraxinus nigra,357,
Pinus nigra,337,
Fraxinus,335,
Ostrya virginiana,315,
Acer,295,
Acer negundo,293,
Ulmus carpinifolia,289,
Picea glauca,285,
Pinus resinosa,272,
Picea pungens,239,
Pinus strobus,228,
Acer nigrum,227,
Populus deltoides,221,
Aesculus arnoldiana,221,
Thuja occidentalis,216,
Juglans nigra,211,
Morus,206,
Juniperus virginiana,201,
Aesculus glabra,184,
Pyrus ussuriensis,181,
Catalpa,171,
Pinus,154,
Pinus sylvestris,138,
Pyrus L.,123,
Abies,118,
Robinia pseudoacacia,111,
Picea abies,111,
Sorbus,105,
Quercus,105,
Amelanchier canadensis,99,
Juniperus,98,
Betula papyrifera,96,
Phellodendron amurense,95,
Alnus hirsuta,90,
Pseudotsuga menziesii,76,
Malus Mill.,75,
Catalpa speciosa,74,
Prunus virginiana,73,
Salix,72,
Prunus,70,
Populus tremuloides,63,
Larix,59,
Rhamnus,55,
Juglans,55,
Ulmus rubra,49,
Betula,48,
Alnus,42,
Carpinus betulus,40,
Phellodendron sachalinense,39,
Carpinus caroliniana,37,
Abies balsamea,32,
Prunus serotina,32,
Tsuga canadensis,32,
Crataegus,29,
Picea mariana,29,
Alnus glutinosa,27,
Elaeagnus angustifolia,26,
Syringa,26,
Quercus robur,25,
Larix sibirica,24,
Taxodium distichum,24,
Rhus,23,
Aesculus hippocastanum,23,
Larix laricina,19,
Populus,18,
Prunus maackii,15,
Pinus cembra,15,
Pinus banksiana,15,
Cornus,14,
Carpinus,13,
Maackia amurensis,12,
Crataegus crusgalli,12,
Magnolia,12,
Corylus colurna,11,
Pyrus,11,
Prunus L.,10,
Pinus ponderosa,9,
Platanus,8,
Cercis,7,
Euonymus atropurpureus,7,
Populus L.,7,
Pinus montana,7,
Carya,6,
Juglans cinerea,6,
Platanus acerifolia,5,
Taxus,5,
Betula platyphylla,5,
Populus grandidentata,4,
Abies concolor,4,
Fagus,4,
Cornus alternifolia,4,
Maackia,4,
Cladrastis kentukea,3,
Acer campestre,3,
Tsuga,3,
Carya cordiformis,3,
Betula alleghaniensis,2,
Fagus grandifolia,2,
Cercis canadensis,2,
Larix kaempferi,2,
Quercus warei,2,
Prunus americana,2,
Prunus nigra,2,
Sorbus decora,1,
Castanea,1,
Morus alba,1,
Carya ovata,1,
