scientific_name,count,height_M
Platanus acerifolia,281,
Zelkova serrata,166,
Quercus phellos,154,
Liquidambar styraciflua,131,
Ulmus parvifolia,120,
Prunus yedoensis,99,
Ginkgo biloba,89,
Ulmus pumila,84,
Betula nigra,81,
Quercus shumardii,77,
Carpinus betulus,64,
Quercus rubra,53,
Acer rubrum,51,
Acer saccharum,45,
Fraxinus pennsylvanica,44,
Pistacia L.,43,
Pyrus calleryana,39,
Cercis canadensis,36,
Ilex opaca,31,
Tilia cordata,31,
Cornus kousa,30,
Acer ginnala,28,
Fraxinus americana,24,
Lagerstroemia,24,
Liriodendron tulipifera,23,
Koelreuteria paniculata,19,
Taxodium distichum,19,
Crataegus,16,
Metasequoia glyptostroboides,15,
Gleditsia triacanthos,15,
Quercus nigra,14,
Amelanchier,11,
Acer griseum,8,
Prunus serrulata,8,
Quercus acutissima,7,
Magnolia grandiflora,7,
Quercus bicolor,6,
Prunus pennsylvanica,4,
Quercus robur,4,
Prunus,4,
Picea abies,4,
Cladrastis lutea,3,
Ilex,3,
Juniperus virginiana,3,
Quercus falcata,3,
Quercus palustris,2,
Acer buergerianum,2,
Prunus incam,2,
Prunus cerasifera,2,
Acer pseudoplatanus,2,
Magnolia virginiana,2,
Quercus muhlenbergii,1,
Pinus sylvestris,1,
Picea pungens,1,
Juglans nigra,1,
Cornus florida,1,
Ailanthus altissima,1,
