scientific_name,count,height_M
Platanus acerifolia,3788,
Liquidambar styraciflua,3312,
Prunus L.,2930,
Pyrus calleryana,2683,
Fraxinus,2161,
Lagerstroemia indica,1953,
Pyrus kawakamii,1427,
Magnolia grandiflora,1375,
Pistacia chinensis,1150,
Acer L.,971,
Lophostemon confertus,632,
Ginkgo biloba,576,
Celtis L.,567,
Crataegus phaenopyrum,549,
Cinnamomum camphora,522,
Quercus,479,
Podocarpus gracilior,425,
Cercis,421,
Schinus terebinthifolia,370,
Jacaranda acutifolia,365,
Ulmus parvifolia,345,
Tristaniopsis laurina,313,
Washingtonia robusta,274,
Prunus serrulata,262,
Callistemon R.,243,
Robinia,234,
Betula,232,
Gleditsia triacanthos,224,
Crataegus L.,213,
Sapium sebiferum,201,
Cordyline australis,189,
Phoenix canariensis,188,
Maytenus boaria,184,
Malus Mill.,179,
Geijera Schott,175,
Albizia julibrissin,171,
Ceratonia siliqua,156,
Pittosporum undulatum,156,
Melaleuca L.,154,
Cupressus,152,
Acacia melanoxylon,146,
Quercus agrifolia,141,
Acer palmatum,133,
Metrosideros excelsa,122,
Grevillea robusta,121,
Ligustrum,120,
Koelreuteria Laxm.,111,
Schinus molle,110,
Cupressus sempervirens,109,
Ficus retusa,108,
Olea europaea,102,
Melaleuca linariifolia,100,
Ulmus americana,97,
Nerium oleander,96,
Laurus nobilis,79,
Syzygium paniculatum,79,
Morus alba,77,
Acer rubrum,76,
Ligustrum japonicum,76,
Malus floribunda,76,
Nyssa sylvatica,75,
Eriobotrya japonica,75,
Arbutus L.,74,
Liriodendron tulipifera,71,
Pinus,69,
Aesculus carnea,68,
Acacia longifolia,68,
Cedrus,67,
Alnus rhombifolia,64,
Quercus ilex,58,
Myoporum laetum,56,
Betula pendula,56,
Sophora japonica,55,
Fagus sylvatica,54,
Populus nigra,53,
Alnus,52,
Eucalyptus ficifolia,52,
Robinia pseudoacacia,52,
Citrus L.,50,
Platanus racemosa,48,
Sequoia sempervirens,48,
Juniperus,46,
Acer macrophyllum,46,
Eucalyptus sideroxylon,42,
Ligustrum lucidum,42,
Dodonaea Mill.,41,
Tilia L.,40,
Pittosporum Gaertn.,39,
Tristaniopsis Brongn.,38,
Acacia,35,
Carpinus,34,
Eucalyptus polyanthemos,33,
Eucalyptus nicholii,33,
Quercus suber,32,
Salix babylonica,32,
Trachycarpus fortunei,31,
Yucca gloriosa,31,
Washingtonia filifera,31,
Zelkova serrata,29,
Rhus lancea,29,
Photinia Lindl.,25,
Eucalyptus L'HÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©r.,24,
Eriobotrya deflexa,23,
Acer buergerianum,22,
Persea Mill.,21,
Pinus pinea,20,
Araucaria,19,
Magnolia soulangiana,18,
Catalpa Scop.,18,
Populus fremonti,17,
Juglans L.,17,
Pinus radiata,17,
Cornus,16,
Ficus benjamina,16,
Acacia baileyana,16,
Syagrus romanzoffianum,16,
Eucalyptus globulus,15,
Agonis flexuosa,14,
Tibouchina,14,
Ficus carica,13,
Photinia fraseri,13,
Pyracantha M.Roem.,12,
Prunus cerasifera,12,
Populus L.,12,
Rhaphiolepis,11,
Melaleuca styphelioides,10,
Ficus sp.,9,
Ilex L.,9,
Solanum L.,8,
Magnolia,8,
Cotoneaster Medik.,8,
Salix,7,
Syagrus romanzoffiana,7,
Eucalyptus citriodora,6,
Pinus canariensis,6,
Brachychiton populneum,6,
Punica granatum,5,
Aesculus californica,5,
Ulmus,5,
Prunus dulcis,5,
Quercus palustris,5,
Melia azederach,5,
Prunus caroliniana,4,
Quercus lobata,4,
Acer saccharinum,4,
Pinus thunbergiana,4,
Lyonothamnus asplenifolius,4,
Prunus laurocerasus,4,
Pittosporum tenuifolium,4,
Casuarina L.,4,
Salix torulosa,4,
Calocedrus decurrens,4,
Solanum rantonnetii,3,
Datura,3,
Diospyros kaki,3,
Leptospermum J.,3,
Hoheria populnea,3,
Agave,3,
Umbellularia californica,3,
Photinia serrulata,3,
Taxus,3,
Ailanthus altissima,2,
Cedrus deodara,2,
Camellia L.,2,
Acer negundo,2,
Prunus,2,
Syringa vulgaris,2,
Chamaerops humilis,2,
Sorbus aucuparia,2,
Cotinus coggygria,2,
Eucalyptus pulverulenta,2,
Feijoa sellowiana,2,
Hymenosporum flavum,2,
Juglans,2,
Quercus rubra,2,
Michelia doltsopa,2,
Myrtus L.,2,
Oxydendron arboreum,2,
Abies,2,
Bauhinia,1,
