scientific_name,count,height_M
Ulmus crassifolia,3641,
Celtis occidentalis,3279,
Quercus rubra,2598,
Quercus virginiana,1906,
Taxodium distichum,1598,
Carya illinoinensis,1246,
Fraxinus,1208,
Pistacia chinensis,822,
Pyrus calleryana,815,
Ulmus americana,660,
Cercis canadensis,540,
Ilex vomitoria,392,
Quercus muehlenbergii,373,
Quercus palustris,279,
Salix nigra,276,
Pinus eldarica,241,
Cupressus leylandii,221,
Sapindus saponaria,196,
Populus deltoides,189,
Ilex attenuata,167,
Diospyros virginiana,167,
Myrica cerifera,156,
Platanus acerifolia,145,
Liquidambar styraciflua,143,
Magnolia grandiflora,132,
Chilopsis linearis,108,
Ilex decidua,104,
Sideroxylon lanuginosum,90,
Juglans nigra,86,
Prunus mexicana,73,
Gleditsia triacanthos,70,
Ulmus parvifolia,60,
Taxodium ascendens,58,
Acer,50,
Melia azedarach,46,
Zanthoxylum clava-herculis,46,
Cupressus arizonica,46,
Chitalpa tashkentensis,42,
Koelreuteria paniculata,40,
Ilex,35,
Prosopis glandulosa,29,
Salix babylonica,27,
Morus alba,26,
Betula nigra,23,
Acer negundo,23,
Pinus thunbergii,20,
Pinus echinata,19,
Acer saccharum,18,
Styphnolobium affine,18,
Quercus acutissima,17,
Robinia pseudoacacia,17,
Rhus,15,
Cercis,14,
Sophora secundiflora,12,
Crataegus,12,
Triadica sebifera,11,
Pinus,11,
Acer saccharinum,10,
Ginkgo biloba,9,
Pinus nigra,7,
Prunus,7,
Ulmus alata,6,
Cedrus deodara,6,
Cornus florida,5,
Malus,5,
Salix matsudana,5,
Cornus drummondii,5,
Morus,5,
Ungnadia speciosa,4,
Quercus laceyi,4,
Prunus laurocerasus,4,
Quercus falcata,3,
Albizia julibrissin,3,
Acer freemanii,3,
Carya,2,
Prunus persica,2,
Populus alba,2,
Quercus lyrata,1,
Catalpa speciosa,1,
Quercus emoryi,1,
Thuja occidentalis,1,
Frangula caroliniana,1,
Pinus elliottii,1,
Acer palmatum,1,
Ligustrum vulgare,1,
Liriodendron tulipifera,1,
