scientific_name,count,height_M
Platanus acerifolia,14111,
Pistacia chinensis,4580,
Pyrus calleryana,4285,
Lagerstroemia indica,4146,
Ulmus parvifolia,4047,
Zelkova serrata,3861,
Quercus lobata,3693,
Sequoia sempervirens,2909,
Fraxinus velutina,2842,
Liquidambar styraciflua,1933,
Acer rubrum,1924,
Quercus rubra,1733,
Washingtonia robusta,1535,
Pinus,1461,
Prunus cerasifera,1354,
Cupressus sempervirens,1267,
Quercus agrifolia,1185,
Ginkgo biloba,1175,
Celtis occidentalis,1171,
Magnolia grandiflora,1151,
Quercus suber,1117,
Quercus coccinea,1067,
Nyssa sylvatica,1028,
Quercus,1021,
Tilia,1021,
Celtis sinensis,996,
Ligustrum lucidum,966,
Phoenix canariensis,965,
Washingtonia filifera,932,
Cercis canadensis,789,
Cinnamomum camphora,773,
Liriodendron tulipifera,711,
Acer buergerianum,700,
Cedrus deodara,678,
Acer,667,
Morus alba,592,
Eucalyptus,575,
Populus,538,
Prunus,530,
Malus,422,
Quercus ilex,361,
Acer saccharinum,358,
Pyrus kawakamii,346,
Betula pendula,342,
Salix,316,
Quercus palustris,312,
Citrus,312,
Acer palmatum,305,
Alnus rhombifolia,286,
Calocedrus decurrens,267,
Crataegus laevigata,254,
Olea europaea,237,
Laurus nobilis,233,
Robinia pseudoacacia,222,
Magnolia soulangiana,190,
Juglans hindsii,184,
Fraxinus excelsior,172,
Ailanthus altissima,164,
Koelreuteria paniculata,139,
Sophora japonica,133,
Cornus florida,133,
Albizia julibrissin,126,
Eriobotrya japonica,125,
Acacia,121,
Pinus radiata,109,
Juglans nigra,108,
Pinus thunbergiana,107,
Prunus amygdalus,107,
Prunus blireiana,96,
Umbellularia californica,92,
Aesculus carnea,91,
Prunus armeniaca,90,
Fraxinus oxycarpa,89,
Cupressocyparis leylandii,85,
Cupressus,83,
Fagus sylvatica,82,
Acer platanoides,79,
Sequoiadendron giganteum,65,
Picea,64,
Ceratonia siliqua,61,
Trachycarpus fortunei,56,
Nerium oleander,54,
Acer negundo,53,
Cedrus atlantica,50,
Schinus molle,48,
Ficus carica,46,
Melia azedarach,45,
Callistemon citrinus,44,
Rhus lancea,44,
Cupressus macrocarpa,43,
Pinus pinea,38,
Carpinus betulus,36,
Maytenus boaria,32,
Fraxinus uhdei,24,
Podocarpus gracilior,19,
Photinia fraseri,18,
Liquidambar formosana,16,
Pistacia atlantica,16,
Punica granatum,13,
Picea pungens,13,
Fraxinus angustifolia,12,
Eriobotrya deflexa,11,
Grevillea robusta,11,
Eucalyptus polyanthemos,10,
Diospyros kaki,7,
Fraxinus holotricha,4,
