scientific_name,count,height_M
Acer rubrum,8575,
Fraxinus pennsylvanica,7761,
Pyrus calleryana,7210,
Quercus palustris,6503,
Fraxinus americana,4557,
Acer saccharum,4172,
Tilia cordata,3682,
Acer saccharinum,3115,
Gleditsia triacanthos,3013,
Cercis canadensis,2886,
Platanus acerifolia,2358,
Liquidambar styraciflua,2140,
Prunus,2009,
Acer freemanii,1888,
Ulmus,1777,
Platanus occidentalis,1564,
Ginkgo biloba,1507,
Acer platanoides,1127,
Malus sylvestris,1112,
Quercus rubra,1033,
Zelkova serrata,1018,
Liriodendron tulipifera,945,
Ulmus pumila,758,
Betula nigra,736,
Celtis occidentalis,687,
Amelanchier,649,
Taxodium distichum,634,
Quercus bicolor,616,
Syringa reticulata,546,
Juniperus virginiana,404,
Quercus robur,366,
Carpinus betulus,358,
Morus alba,358,
Cornus florida,333,
Nyssa sylvatica,328,
Amelanchier arborea,314,
Crataegus,309,
Ulmus americana,298,
Tilia americana,283,
Ailanthus altissima,222,
Acer ginnala,218,
Koelreuteria paniculata,217,
Carpinus caroliniana,208,
Acer campestre,199,
Quercus macrocarpa,195,
Catalpa speciosa,179,
Acer palmatum,177,
Quercus acutissima,159,
Quercus imbricaria,152,
Pinus strobus,148,
Quercus coccinea,144,
Quercus phellos,135,
Amelanchier grandiflora,106,
Thuja occidentalis,99,
Sophora japonica,99,
Pinus nigra,98,
Ulmus parvifolia,92,
Juglans nigra,86,
Picea pungens,85,
Quercus alba,84,
Metasequoia glyptostroboides,77,
Gymnocladus dioicus,72,
Robinia pseudoacacia,72,
Juniperus chinensis,71,
Magnolia soulangeana,68,
Ulmus rubra,61,
Cercis,60,
Amelanchier canadensis,55,
Thuja,53,
Acer griseum,52,
Cornus kousa,51,
Hibiscus syriacus,51,
Celtis laevigata,49,
Amelanchier laevis,49,
Malus,44,
Pyrus communis,43,
Magnolia grandiflora,42,
Aesculus,41,
Quercus muehlenbergii,41,
Quercus shumardii,40,
Carpinus,40,
Populus deltoides,40,
Cladrastis lutea,38,
Picea glauca,37,
Sorbus americana,36,
Picea abies,35,
Albizia julibrissin,33,
Betula papyrifera,32,
Pinus sylvestris,31,
Quercus velutina,31,
Ilex attenuata,30,
Magnolia stellata,29,
Acer negundo,28,
Ostrya virginiana,27,
Prunus serotina,27,
Cotinus obovatus,23,
Quercus michauxii,23,
Lagerstroemia indica,22,
Alnus glutinosa,22,
Betula platyphylla,21,
Quercus stellata,21,
Ilex opaca,21,
Diospyros virginiana,21,
Quercus texana,19,
Morus rubra,19,
Acer nigrum,19,
Taxus,18,
Maackia amurensis,17,
Salix matsudana,17,
Salix,16,
Maclura pomifera,15,
Ulmus thomasii,15,
Fagus grandifolia,15,
Magnolia acuminata,14,
Carya illinoinensis,14,
Fraxinus quadrangulata,14,
Paulownia tomentosa,14,
Magnolia virginiana,13,
Acer tataricum,13,
Quercus nigra,13,
Prunus serrulata,13,
Tilia tomentosa,12,
Quercus,12,
Taxodium ascendens,12,
Castanea,11,
Cornus racemosa,11,
Prunus cerasifera,10,
Cladrastis kentukea,10,
Ulmus crassifolia,9,
Salix babylonica,9,
Betula pendula,8,
Acer pseudoplatanus,8,
Aesculus glabra,8,
Hamamelis virginiana,7,
Prunus yedoensis,7,
Prunus persica,6,
Cornus,6,
Pinus resinosa,6,
Cornus drummondii,6,
Fraxinus angustifolia,6,
Fraxinus caroliniana,6,
Rhus typhina,6,
Sassafras albidum,5,
Salix nigra,5,
Populus tremuloides,5,
Acer,5,
Zelkova sinica,5,
Nyssa aquatica,5,
Fagus sylvatica,5,
Halesia carolina,5,
Lonicera,5,
Fraxinus nigra,4,
Pyracantha coccinea,4,
Acer buergerianum,4,
Syringa,4,
Quercus lyrata,4,
Parrotia persica,4,
Cedrus,4,
Castanea mollissima,4,
Pinus mugo,4,
Pseudotsuga menziesii,4,
Prunus virginiana,4,
Fraxinus excelsior,4,
Betula populifolia,3,
Syringa vulgaris,3,
Acer pensylvanicum,3,
Chionanthus virginicus,3,
Tilia,3,
Asimina triloba,3,
Prunus pensylvanica,3,
Quercus ellipsoidalis,3,
Platycladus orientalis,3,
Pinus thunbergii,3,
Pinus taeda,3,
Styrax japonicus,3,
Quercus pagoda,3,
Cornus sericea,3,
Salix discolor,2,
Populus grandidentata,2,
Cercidiphyllum japonicum,2,
Catalpa,2,
Broussonetia papyrifera,2,
Ulmus hollandica,2,
Betula lenta,2,
Viburnum rufidulum,2,
Catalpa bignonioides,2,
Rhamnus cathartica,2,
Pistacia chinensis,2,
Phellodendron amurense,2,
Physocarpus opulifolius,2,
Prunus avium,2,
Picea omorika,2,
Quercus nuttallii,2,
Populus alba,2,
Juglans regia,2,
Prunus maackii,2,
Magnolia,2,
Pinus ponderosa,2,
Pinus echinata,1,
Tsuga canadensis,1,
Prunus americana,1,
Pinus flexilis,1,
Quercus marilandica,1,
Araucaria heterophylla,1,
Alnus serrulata,1,
Viburnum,1,
Zelkova,1,
Prunus armeniaca,1,
Quercus margarettae,1,
Morus nigra,1,
Chamaecyparis pisifera,1,
Rhus,1,
Heptacodium miconioides,1,
Robinia,1,
Ilex cornuta,1,
Fraxinus,1,
Salix alba,1,
Ficus carica,1,
Juglans cinerea,1,
Euonymus,1,
Eucommia ulmoides,1,
Crataegus phaenopyrum,1,
Corylus avellana,1,
Larix laricina,1,
Mimusops elengi,1,
Cornus mas,1,
Cornus alternifolia,1,
Morus,1,
