scientific_name,count,height_M
Quercus virginiana,5682,103.29
Quercus geminata,3839,122.68
Lagerstroemia indica,2907,48.7
Sabal palmetto,1406,77.58
Pinus elliottii,1299,131.25
Quercus laurifolia,1280,121.51
Washingtonia robusta,1059,126.88
Prunus caroliniana,857,60.75
Callistemon viminalis,556,30.5
Taxodium distichum,498,69.57
Ulmus parvifolia,429,83.45
Magnolia grandiflora,349,65.76
Prunus serotina,346,94.72
Acer rubrum,309,66.8
Phoenix canariensis,261,97.42
Syagrus romanzoffiana,225,78.55
Ulmus alata,203,73.12
Cinnamomum camphora,175,109.71
Tabebuia impetiginosa,168,35.06
Livistona chinensis,163,73.96
Ligustrum japonicum,150,37.02
Cecropia palmata,138,29.33
Ilex vomitoria,134,51.57
Quercus incana,107,104.33
Podocarpus macrophyllus,106,72.65
Quercus laevis,100,115.2
Eriobotrya japonica,97,32.42
Diospyros virginiana,95,44.77
Ilex attenuata,83,52.28
Tabebuia chrysotricha,70,37.23
Quercus shumardii,70,74.85
Pinus palustris,66,134.67
Ulmus americana,62,97.8
Tabebuia heterophylla,62,43.16
Conocarpus erectus,62,27.22
Phoenix roebelenii,61,35.83
Platycladus orientalis,58,55.24
Phoenix dactylifera,56,85.24
Juniperus virginiana,55,110.21
Betula nigra,55,65.94
Olea europaea,51,28.16
Ilex opaca,51,39.55
Acer saccharum,41,34.56
Myrcianthes fragrans,37,35.62
Quercus,37,112.05
Melaleuca quinquenervia,34,163.99
Platanus occidentalis,33,150.61
Viburnum odoratissimum,31,28.65
Quercus nigra,31,110.17
Wodyetia bifurcata,31,58.63
Phoenix reclinata,30,71.27
Carya glabra,29,103.55
Persea borbonia,27,78.22
Magnolia virginiana,27,34.89
Phoenix sylvestris,27,93.44
Tabebuia aurea,26,57.02
Quercus hemisphaerica,26,138.98
Ilex cassine,26,47.38
Pinus clausa,25,112.1
Bauhinia variegata,23,58.98
Koelreuteria paniculata,22,75.69
Morus rubra,22,78.58
Nerium oleander,22,40.26
Cercis canadensis,21,52.65
Schinus terebinthifolia,21,50.15
Koelreuteria elegans,20,53.15
Dalbergia sissoo,19,140.9
Cordia sebestena,18,41.83
Acoelorraphe wrightii,18,69.81
Ostrya virginiana,17,67.67
Bucida buceras,17,60.04
Citrus,17,35.7
Araucaria heterophylla,16,71.97
Serenoa repens,14,24.42
Butia capitata,14,55.75
Sideroxylon tenax,14,
Liquidambar styraciflua,13,138.93
Albizia julibrissin,13,92.0
Prunus persica,12,35.0
Eugenia uniflora,12,35.95
Dypsis lutescens,11,34.45
Melia azedarach,11,89.33
Ligustrum sinense,11,27.89
Albizia lebbeck,11,82.92
Celtis laevigata,10,74.99
Rhizophora mangle,10,22.97
Plumeria obtusa,10,19.03
Prunus angustifolia,9,30.14
Bismarckia nobilis,9,51.58
Bauhinia purpurea,8,35.06
Quercus falcata,8,77.37
Nyssa sylvatica,8,
Carya illinoinensis,8,124.06
Enterolobium contortisiliquum,7,127.72
Jacaranda mimosifolia,7,104.66
Pinus taeda,7,28.87
Carica papaya,7,33.28
Fraxinus pennsylvanica,7,56.24
Veitchia merrillii,7,52.49
Mangifera indica,7,36.09
Ficus benjamina,6,31.71
Roystonea regia,6,78.19
Lyonia ferruginea,6,
Lumnitzera racemosa,6,80.38
Leucaena leucocephala,6,76.83
Caryota mitis,5,82.15
Schefflera actinophylla,5,57.09
Citrus aurantium,5,36.75
Crataegus michauxii,5,34.86
Cupaniopsis anacardioides,5,25.92
Cassia fistula,5,41.01
Citrus sinensis,5,40.68
Coccoloba uvifera,5,41.01
Myrica cerifera,5,48.23
Moringa oleifera,4,52.82
Jatropha integerrima,4,27.89
Laguncularia racemosa,4,38.14
Citrus limon,4,22.97
Magnolia macrophylla,4,91.86
Broussonetia papyrifera,4,90.63
Casuarina equisetifolia,4,151.47
Quercus marilandica,4,107.04
Persea americana,4,31.17
Cartrema floridana,3,32.81
Acrocomia totai,3,47.03
Prunus,3,42.65
Chionanthus virginicus,3,
Delonix regia,3,60.15
Tamarindus indica,3,56.87
Sabal etonia,3,
Ligustrum quihoui,3,37.73
Grevillea robusta,3,91.32
Viburnum obovatum,3,47.57
Magnolia pyramidata,3,
Sapium sebiferum,2,31.99
Livistona decipiens,2,81.2
Pyrus calleryana,2,41.83
Ptychosperma elegans,2,63.16
Bauhinia aculeata,2,63.98
Ulmus rubra,2,60.7
Catalpa bignonioides,2,83.66
Cereus repandus,2,13.94
Citrus japonica,2,49.21
Tabebuia rosea,2,32.81
Eucalyptus grandis,2,170.6
Ficus elastica,2,74.64
Ficus microcarpa,2,131.23
Syzygium cumini,2,100.89
Acer negundo,2,118.93
Livistona rotundifolia,2,100.89
Senna surattensis,2,
Rhododendron,2,54.13
Spathodea campanulata,1,67.26
Zanthoxylum clava-herculis,1,98.43
Acacia farnesiana,1,39.37
Quercus velutina,1,121.39
Elaeis guineensis,1,19.69
Albizia procera,1,62.34
Bambusa vulgaris,1,98.43
Brugmansia suaveolens,1,24.61
Calliandra haematocephala,1,18.04
Carya aquatica,1,157.48
Carya floridana,1,
Castanea mollissima,1,59.06
Cestrum nocturnum,1,39.37
Citrus paradisi,1,54.13
Crataegus,1,26.25
Crataegus flava,1,82.02
Dimocarpus longan,1,45.93
Eucalyptus robusta,1,16.4
Quercus stellata,1,45.93
Fagus grandifolia,1,3.28
Ficus aurea,1,26.25
Ficus benghalensis,1,45.93
Ficus religiosa,1,124.67
Hibiscus rosa-sinensis,1,39.37
Ligustrum lucidum,1,52.49
Maclura pomifera,1,106.63
Peltophorum pterocarpum,1,108.27
Psidium guajava,1,45.93
Pyrus communis,1,72.18
Quercus alba,1,6.56
Quercus michauxii,1,100.07
Zanthoxylum fagara,1,59.06
