year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-5.8,-7.1,-0.2,6.9,10.9,14.7,17.3,18.3,14.9,7.3,-1.6,-6.2
1896,-2.6,-2.7,-0.2,6.4,11.7,17.7,19.4,18.8,13.6,7.1,-1.7,-1.8
1897,-5.8,-4.1,-1.0,5.7,13.1,16.3,18.8,17.9,16.0,7.9,1.5,-6.2
1898,-7.0,-1.7,-1.2,6.8,9.6,16.5,19.4,19.2,13.1,6.1,-1.4,-7.9
1899,-6.0,-8.6,-0.4,6.3,10.7,16.2,18.8,18.1,14.8,7.0,2.8,-5.2
1900,-2.1,-3.7,2.7,4.7,11.9,17.6,19.2,18.3,13.2,8.7,1.6,-2.7
1901,-3.8,-4.1,0.0,5.2,11.8,16.1,21.1,19.1,13.6,8.8,2.9,-3.5
1902,-4.1,-1.4,-0.3,6.7,12.1,16.9,18.0,18.7,13.1,8.3,1.1,-4.4
1903,-4.1,-9.2,-0.3,5.5,9.7,14.1,18.8,18.3,12.7,8.0,1.4,-3.1
1904,-5.7,0.0,2.7,6.3,10.9,14.3,17.7,17.8,14.1,7.8,2.0,-3.1
1905,-4.9,-6.2,3.2,5.0,9.6,16.7,17.9,18.8,14.7,5.9,1.9,-5.8
1906,-3.6,-1.6,-2.1,6.3,10.9,15.1,17.2,17.5,13.4,6.5,0.3,-0.3
1907,-2.6,1.4,4.6,5.5,7.9,14.2,18.8,17.9,13.9,9.1,0.2,-3.4
1908,-4.2,-2.8,2.7,6.6,9.2,15.0,18.6,17.6,14.6,6.0,-0.4,-5.4
1909,-2.5,-3.6,-0.3,3.8,9.1,16.1,19.7,19.2,13.4,8.2,1.7,-9.5
1910,-4.9,-4.6,5.7,7.3,10.7,16.9,19.9,18.1,15.2,8.6,3.3,-2.3
1911,-1.1,-3.5,3.3,6.1,11.7,17.2,18.2,17.7,15.3,6.2,-1.3,-7.0
1912,-5.9,-3.8,-2.3,4.2,10.4,14.5,18.2,17.5,10.6,6.8,1.3,-6.1
1913,-6.7,-6.2,-0.8,6.2,12.0,15.8,18.9,19.4,12.2,6.0,3.0,-7.7
1914,-3.3,-4.6,1.0,6.2,11.4,16.6,18.8,18.1,14.8,8.2,2.8,-7.3
1915,-6.6,-2.2,-1.5,7.7,8.9,14.2,17.6,16.4,13.4,8.3,1.4,-3.4
1916,-6.1,-1.8,3.4,5.6,10.1,15.4,19.8,17.5,13.0,6.8,-0.9,-6.4
1917,-6.9,-3.2,-2.6,3.7,7.3,15.1,19.8,16.9,14.1,6.6,3.3,-1.4
1918,-7.4,-2.4,3.5,3.6,10.9,18.5,18.7,18.1,12.7,8.9,-1.3,-5.3
1919,-7.1,-5.4,0.2,6.2,11.3,15.9,20.2,19.1,15.4,5.6,-0.8,-5.6
1920,-3.5,-1.9,-0.1,1.9,11.0,15.6,19.0,16.7,13.3,7.5,-0.2,-4.7
1921,-2.8,-1.4,3.4,4.4,11.1,16.1,19.2,18.0,14.5,9.8,2.4,-1.3
1922,-6.9,-3.8,-0.1,4.4,10.7,17.4,19.2,19.5,15.3,8.1,-0.3,-2.4
1923,-1.6,-4.7,-1.9,5.3,10.8,15.6,19.6,17.2,12.7,5.1,1.2,-4.3
1924,-7.3,-0.8,-3.7,4.9,9.3,16.6,18.7,18.3,13.1,8.3,1.7,-7.9
1925,-7.6,-1.0,2.8,7.7,12.6,16.6,19.6,17.3,14.2,5.8,-0.2,-3.4
1926,-5.7,-0.3,0.6,6.1,11.4,16.3,18.4,18.7,13.9,8.8,1.2,-5.1
1927,-2.7,-1.1,0.0,6.3,12.1,15.6,18.6,16.3,13.4,8.6,3.0,-6.7
1928,-2.7,-2.8,2.2,4.5,11.7,14.1,18.7,17.4,13.8,8.1,0.3,-5.6
1929,-6.2,-7.7,0.4,4.8,10.2,16.0,19.6,18.7,12.6,7.7,-3.3,-2.4
1930,-10.0,0.6,-0.3,8.8,9.6,16.4,19.4,18.4,13.7,7.2,-0.3,-6.2
1931,-4.2,-0.4,-0.7,6.0,9.9,18.1,20.5,18.6,15.9,9.2,-0.9,-5.4
1932,-7.6,-0.6,-1.6,6.6,11.8,15.4,20.2,18.9,13.9,6.9,1.8,-8.1
1933,-4.4,-7.0,2.1,4.0,9.5,18.4,20.6,18.1,16.2,9.6,2.7,-0.1
1934,-1.5,0.5,3.8,8.0,14.7,17.2,21.4,19.9,13.0,10.0,2.1,-2.7
1935,-1.7,-1.2,1.8,5.4,8.5,16.3,20.3,19.3,14.3,7.7,0.1,-3.2
1936,-4.7,-4.6,1.8,6.6,12.8,18.3,20.9,19.4,14.0,7.0,0.9,-2.9
1937,-10.7,-3.7,-0.1,5.6,12.2,15.8,20.1,20.2,15.2,8.6,1.4,-3.2
1938,-3.5,-1.7,2.2,6.1,10.2,16.6,18.9,19.6,14.8,9.3,-1.9,-3.3
1939,-3.9,-7.8,1.1,6.9,12.5,16.3,20.4,18.4,15.8,8.2,2.2,-0.3
1940,-7.2,-2.2,2.5,6.3,12.3,17.5,20.5,18.5,15.3,9.6,-0.8,-2.6
1941,-4.1,-1.4,0.4,4.9,12.3,15.0,18.7,18.2,13.1,7.6,1.8,-2.4
1942,-6.0,-6.4,-1.2,7.2,10.5,15.7,19.4,18.3,13.5,8.0,2.4,-2.1
1943,-3.2,-0.1,-0.1,9.3,10.1,16.0,20.1,19.7,14.1,7.9,1.2,-3.6
1944,-5.3,-3.2,-1.0,3.5,11.2,15.7,18.7,18.8,14.4,9.2,1.2,-3.8
1945,-3.4,-1.3,1.4,3.3,11.3,13.8,19.2,18.9,13.3,8.9,1.2,-5.1
1946,-4.5,-1.8,3.1,9.3,9.4,17.2,20.1,18.5,14.4,6.9,-1.4,-0.7
1947,-4.8,-2.6,0.3,5.3,11.6,14.6,19.6,19.2,15.7,10.1,-1.8,-3.7
1948,-5.3,-4.8,-3.0,7.3,11.8,16.1,19.2,18.6,15.9,7.9,-1.7,-3.7
1949,-9.2,-4.8,1.3,6.7,11.3,15.5,19.4,18.2,14.3,6.9,4.8,-3.2
1950,-4.4,-0.5,0.6,6.2,9.6,16.3,17.8,17.0,13.2,11.3,1.7,-0.8
1951,-4.9,-1.8,-0.2,4.8,11.3,13.9,19.9,18.3,13.6,7.2,-0.9,-4.8
1952,-3.8,-3.4,-2.2,6.1,11.2,18.4,19.5,18.9,15.0,8.8,-2.1,-4.7
1953,-0.3,-2.8,2.6,4.1,9.2,17.9,20.3,18.1,15.2,8.9,2.3,-4.4
1954,-1.8,2.4,-0.2,8.7,11.6,17.3,21.2,18.7,15.6,8.8,3.2,-3.2
1955,-5.6,-6.3,-0.2,5.8,11.2,14.9,20.2,19.4,14.8,9.0,-0.6,-1.5
1956,-1.5,-5.4,0.9,5.2,12.9,18.7,19.1,17.4,15.4,9.2,-1.5,-3.2
1957,-5.4,0.5,0.8,3.8,9.2,15.6,19.5,18.5,12.9,8.0,-1.4,-1.3
1958,-4.0,-0.4,-2.1,4.1,13.1,17.2,18.4,19.5,14.9,8.7,1.5,-1.0
1959,-4.0,-2.9,0.3,5.4,11.2,18.0,19.2,19.0,13.2,6.7,0.4,-1.5
1960,-5.9,-7.1,0.5,7.1,10.8,16.9,19.3,19.0,15.2,8.1,1.7,-4.3
1961,-4.2,-1.2,1.2,4.8,11.2,16.9,19.1,18.9,11.4,7.6,-0.8,-5.7
1962,-7.6,-1.2,-1.3,7.5,11.9,15.6,18.7,18.5,14.1,9.5,2.9,-1.7
1963,-8.5,0.1,0.9,6.9,13.1,16.9,20.9,18.7,16.1,11.6,2.6,-4.7
1964,-4.8,-5.9,-2.4,4.9,11.7,15.6,21.0,17.8,13.8,8.9,0.5,-3.8
1965,-2.2,-4.0,-3.6,6.6,10.8,14.9,19.2,17.2,11.1,9.4,3.7,-1.8
1966,-6.5,-5.5,2.3,5.6,12.3,16.3,21.0,17.8,14.4,7.7,2.8,-4.2
1967,-3.0,-1.8,3.9,6.6,9.7,14.6,19.3,17.6,13.8,8.9,1.7,-6.2
1968,-5.1,-1.8,1.6,3.8,9.6,17.1,19.0,16.8,13.1,8.8,-0.3,-4.8
1969,-1.9,-2.3,-2.7,7.6,12.6,14.2,20.2,19.8,14.9,3.9,0.6,-2.4
1970,-3.9,0.2,-1.2,3.3,11.9,15.7,19.7,19.7,12.7,5.1,1.4,-2.5
1971,-3.3,-2.9,0.7,5.6,9.8,17.1,19.1,18.8,12.1,7.3,0.6,-4.3
1972,-4.1,-0.6,4.4,6.8,11.0,17.2,18.9,18.1,13.9,8.3,-2.8,-7.1
1973,-7.0,-3.5,0.3,3.0,10.3,15.8,18.5,18.9,12.7,8.8,1.6,-3.4
1974,-6.9,-3.8,3.4,5.4,12.8,17.0,19.8,17.1,12.8,9.1,0.9,-5.1
1975,-4.9,-3.8,0.2,4.1,9.7,14.9,19.4,18.2,13.1,8.4,-0.3,-2.3
1976,-4.6,0.5,0.2,6.4,10.9,15.8,20.0,17.9,13.8,6.1,0.5,-2.9
1977,-5.8,-0.7,0.2,7.3,12.0,18.5,20.2,18.7,15.4,8.9,1.8,-1.2
1978,-4.8,-3.8,3.0,7.1,9.9,16.8,20.3,17.9,14.7,8.9,1.1,-7.6
1979,-9.6,-3.7,1.1,6.0,10.1,15.8,19.6,17.7,15.6,9.4,-2.7,-2.6
1980,-4.4,-1.5,-0.4,4.5,9.8,17.6,20.9,18.8,14.8,7.4,1.6,1.6
1981,-0.7,-0.8,1.6,9.1,10.4,18.1,20.1,18.1,15.3,7.8,3.4,-1.9
1982,-4.3,-3.5,2.0,5.2,10.3,14.7,19.3,19.4,14.1,6.7,-0.1,-3.1
1983,-2.3,-0.8,1.1,2.8,8.9,14.6,19.9,20.3,15.7,8.9,1.0,-7.3
1984,-7.1,-3.3,-0.1,3.2,12.3,15.7,20.0,19.0,13.9,5.2,1.5,-2.6
1985,-5.8,-5.1,2.0,7.4,12.1,16.8,19.7,18.9,12.4,7.7,-0.9,-4.3
1986,-0.2,-0.3,4.9,7.1,10.8,17.2,19.1,18.7,12.9,7.2,1.2,-3.2
1987,-3.9,-0.9,0.2,7.3,11.7,17.1,19.5,17.8,13.7,8.9,1.2,-4.3
1988,-7.2,-2.5,0.4,6.6,11.3,18.4,19.9,19.4,13.5,9.8,1.4,-3.7
1989,-3.9,-5.4,3.9,8.0,12.3,15.4,20.4,18.1,14.2,8.1,2.6,-4.6
