year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-5.1,-7.4,-0.3,6.9,14.3,19.7,19.1,20.4,17.4,7.2,5.1,-0.2
1896,-6.1,-3.4,-1.8,8.8,15.7,17.4,21.3,20.6,15.4,8.2,6.1,-3.3
1897,-4.2,-3.2,1.7,8.1,13.7,16.4,21.3,19.2,15.6,10.6,3.6,-0.9
1898,-3.7,-2.4,4.7,6.2,12.7,18.8,21.5,21.3,17.6,10.7,3.1,-2.3
1899,-4.1,-5.6,-0.3,7.7,13.9,19.8,20.7,19.7,15.1,10.8,3.3,-0.5
1900,-3.2,-3.7,-1.0,7.9,13.1,18.9,22.0,21.6,18.2,12.6,5.1,-1.8
1901,-4.2,-6.9,0.7,7.3,12.7,19.0,22.5,20.7,16.7,10.1,0.8,-2.2
1902,-5.0,-4.5,4.4,7.9,13.3,17.3,19.6,18.9,16.0,10.4,6.4,-3.8
1903,-3.8,-2.6,6.1,7.9,14.8,15.1,20.9,17.0,15.9,10.6,2.0,-4.8
1904,-8.4,-7.4,-0.2,6.1,15.2,17.7,20.6,19.2,15.6,8.6,1.3,-5.9
1905,-6.0,-7.8,0.9,7.4,13.7,17.7,21.8,18.9,15.7,10.4,3.0,-0.5
1906,-0.8,-3.4,-1.8,7.7,13.9,18.6,20.9,21.4,17.6,10.5,3.6,-3.7
1907,-4.1,-8.3,1.8,5.1,10.8,16.7,21.1,19.3,16.9,7.8,3.8,0.0
1908,-3.1,-5.8,1.8,7.6,14.8,19.6,22.6,19.6,17.3,11.9,3.7,-1.7
1909,-2.7,-1.1,0.4,7.2,13.1,19.1,20.2,19.1,15.8,9.0,5.8,-3.6
1910,-3.2,-3.9,4.2,9.9,13.2,17.4,22.2,19.1,16.4,11.4,2.4,-5.4
1911,-2.3,-4.6,-0.1,5.9,16.3,18.0,22.7,19.9,15.9,9.2,2.6,0.9
1912,-8.8,-5.4,-0.3,7.2,14.0,17.8,21.4,18.7,15.9,11.3,4.9,0.6
1913,1.2,-4.8,4.0,8.3,12.8,18.4,21.6,20.2,15.1,12.2,5.3,0.2
1914,-4.1,-7.1,0.2,5.9,14.9,17.8,19.4,20.4,16.2,12.2,3.4,-3.3
1915,-2.2,-1.3,-0.1,9.7,12.1,17.6,20.5,18.9,17.8,10.7,4.6,-2.5
1916,-1.7,-6.0,-3.2,6.4,13.4,16.0,21.8,20.9,16.3,10.8,3.6,-2.1
1917,-3.6,-5.6,0.9,6.3,9.4,18.3,21.6,21.4,14.1,8.1,1.4,-7.2
1918,-9.2,-5.1,2.1,7.6,16.0,16.8,20.7,21.0,14.2,11.3,4.4,-0.7
1919,-1.7,-2.2,3.3,6.8,13.9,19.4,21.3,18.6,16.1,11.6,3.9,-4.5
1920,-8.2,-5.5,1.4,5.7,11.9,17.6,19.9,20.8,17.0,13.0,2.9,-0.3
1921,-2.9,-2.2,6.0,10.7,13.7,18.8,22.5,19.0,18.6,10.4,3.4,-2.7
1922,-5.5,-2.6,2.2,7.9,15.1,19.4,20.8,19.6,16.9,11.0,4.1,-2.9
1923,-5.8,-7.3,-0.7,7.6,12.8,19.6,19.9,19.2,16.9,10.2,4.0,2.1
1924,-2.7,-5.6,1.1,6.7,11.6,17.4,21.1,20.1,14.5,10.1,4.1,-2.7
1925,-5.6,0.6,3.8,8.5,12.4,20.8,20.3,20.0,16.5,6.7,3.7,-1.4
1926,-3.1,-4.7,-1.0,5.2,12.8,16.4,21.1,20.4,15.4,9.1,4.2,-4.8
1927,-4.1,-1.4,3.4,6.8,12.2,16.7,20.8,17.9,16.2,12.1,6.3,-0.7
1928,-2.3,-3.3,0.7,6.1,12.6,17.1,21.7,21.6,14.7,11.1,4.9,0.5
1929,-4.3,-3.2,3.8,7.4,13.6,19.0,20.9,19.1,17.2,9.2,4.2,-2.2
1930,-3.0,-1.1,1.6,6.6,14.8,20.3,21.2,19.8,18.3,9.4,4.5,-1.6
1931,-3.8,-3.3,1.9,8.1,14.0,18.7,22.3,20.8,18.4,12.4,7.2,0.9
1932,2.1,-2.0,0.1,6.6,14.1,18.3,20.6,20.8,16.7,11.4,3.3,0.0
1933,0.8,-1.6,0.7,7.4,15.4,19.7,21.2,20.4,17.2,9.9,1.8,-3.6
1934,-2.4,-10.4,0.3,7.9,15.1,19.9,22.4,18.9,17.6,8.8,5.9,-2.6
1935,-5.6,-3.9,3.0,7.2,12.3,18.3,22.4,20.6,15.0,10.5,6.2,-4.0
1936,-4.7,-7.3,5.1,6.2,15.0,18.6,21.2,20.9,16.7,10.4,2.2,0.4
1937,0.9,-0.9,-0.6,6.9,15.0,19.1,21.6,22.3,15.3,9.5,4.2,-2.1
1938,-4.2,-1.6,3.6,9.1,12.6,18.6,21.5,21.8,14.8,12.1,5.2,-1.0
1939,-4.0,-1.4,0.1,6.1,14.8,18.7,21.1,22.3,16.1,10.0,2.3,-1.1
1940,-7.7,-3.1,-1.3,5.6,13.5,17.7,21.3,18.8,15.4,8.0,3.8,-0.3
1941,-5.2,-3.6,-1.1,10.7,14.6,19.0,21.2,19.8,17.0,11.5,5.8,0.2
1942,-4.6,-4.2,3.7,9.5,15.8,19.0,21.4,19.9,16.6,11.2,4.3,-4.0
1943,-4.9,-2.9,0.9,4.9,14.1,21.2,21.9,20.6,16.2,10.2,3.6,-3.7
1944,-2.7,-3.4,0.0,6.3,16.7,19.0,22.4,21.9,17.3,10.0,4.0,-3.2
1945,-7.0,-3.0,6.9,10.6,12.3,18.9,21.3,19.8,18.1,9.8,5.2,-4.6
1946,-3.3,-4.1,6.8,6.9,13.1,18.0,20.7,18.6,17.4,12.6,6.6,-0.7
1947,-1.4,-4.2,0.6,7.2,13.0,17.3,21.7,21.6,16.6,13.4,3.0,-3.1
1948,-7.2,-5.3,2.0,7.8,13.1,17.8,21.8,21.1,17.1,10.2,7.3,-0.4
1949,0.0,-0.3,2.7,9.0,14.3,20.6,23.6,21.7,15.4,13.1,3.8,-0.2
1950,0.8,-3.9,-0.6,6.3,12.8,18.4,20.8,19.9,14.6,11.8,5.9,-1.2
1951,-1.3,-0.8,2.7,8.9,14.2,18.1,21.6,20.1,16.2,11.3,2.8,-0.4
1952,-1.6,-1.4,1.6,9.7,12.6,19.7,23.2,20.7,16.8,9.2,5.2,0.2
1953,-0.6,0.3,3.2,8.4,14.7,19.3,21.4,20.2,17.1,11.6,5.8,1.9
1954,-4.7,1.0,2.7,8.9,12.5,18.9,20.6,19.0,15.5,12.9,4.6,-0.7
1955,-4.0,-1.7,1.9,9.2,15.5,17.8,23.8,22.3,16.0,11.4,3.7,-4.8
1956,-2.8,-1.1,-0.6,5.8,11.8,19.3,20.2,20.1,14.5,10.6,5.2,1.0
1957,-6.3,-0.4,2.7,9.2,14.1,20.6,21.2,18.9,16.8,9.9,6.4,1.8
1958,-3.3,-5.4,2.3,8.4,12.0,16.1,21.3,20.3,16.0,9.5,5.7,-5.3
1959,-3.8,-4.1,1.4,9.0,15.6,18.2,21.8,22.0,18.3,11.6,5.0,-0.2
1960,-3.0,-0.1,-1.9,9.5,14.3,18.8,20.3,20.5,16.2,10.3,5.9,-4.4
1961,-7.1,-1.9,1.8,6.7,12.4,18.9,21.4,20.6,19.8,12.1,5.4,-1.6
1962,-3.5,-4.4,1.9,8.3,13.8,19.0,19.4,19.5,14.8,10.3,3.1,-3.9
1963,-4.6,-5.9,2.2,7.9,13.2,18.7,21.5,19.2,14.4,12.8,7.1,-5.2
1964,-2.7,-3.8,2.6,7.3,15.2,18.1,21.6,18.3,16.1,9.6,5.6,-1.2
1965,-5.5,-3.4,1.1,6.7,15.6,18.2,20.4,20.3,16.7,9.7,3.9,-0.1
1966,-3.8,-2.5,2.5,6.2,11.9,19.2,22.1,20.8,15.4,9.7,6.3,-1.3
1967,-0.7,-4.8,-0.4,6.8,10.1,19.3,21.7,20.3,15.9,10.7,2.4,-0.4
1968,-6.2,-5.1,3.0,9.8,12.7,17.9,22.1,20.4,17.2,12.0,4.1,-3.0
1969,-4.1,-3.0,0.6,9.2,13.6,18.9,20.6,21.6,16.7,10.4,4.6,-2.8
1970,-8.1,-2.7,0.7,7.6,14.4,18.2,21.8,21.4,17.0,11.6,5.8,-2.8
1971,-6.7,-2.3,1.2,6.6,12.7,19.2,21.2,20.6,18.3,13.6,3.5,0.6
1972,-2.3,-4.1,0.8,5.6,14.2,17.3,21.9,20.0,17.0,8.3,3.2,-0.1
1973,-1.8,-3.1,5.3,9.0,12.6,20.1,21.9,22.2,16.6,11.1,5.4,1.0
1974,-2.3,-3.6,2.3,9.3,12.6,18.1,21.4,20.8,15.9,8.1,5.5,0.1
1975,-0.8,-2.1,1.1,5.8,15.7,18.6,22.1,20.7,14.7,11.8,7.7,-1.4
1976,-6.0,0.3,3.2,10.0,13.2,20.4,20.7,20.1,15.4,8.7,2.4,-4.6
1977,-8.2,-3.2,4.7,8.8,15.0,17.7,21.7,20.8,16.6,10.0,6.2,-2.1
1978,-4.8,-6.7,0.2,7.2,13.4,18.4,20.5,21.1,14.9,9.7,4.8,-0.6
1979,-2.7,-7.8,4.2,7.8,15.3,18.1,22.1,20.6,16.2,10.2,7.3,0.8
1980,-2.5,-4.4,1.4,8.8,15.0,17.4,22.2,22.0,17.4,9.3,3.2,-3.7
1981,-7.9,0.8,2.2,9.6,14.6,19.3,22.3,20.4,15.9,8.8,5.0,-1.6
1982,-7.9,-2.2,1.6,6.7,14.9,17.0,21.7,19.2,16.5,10.1,6.8,2.0
1983,-2.8,-1.4,3.7,8.3,12.7,19.6,22.3,21.4,18.0,10.6,5.6,-1.9
1984,-5.3,1.3,-0.6,7.8,12.9,19.8,20.9,21.8,14.9,12.3,5.0,2.1
1985,-5.7,-1.6,3.9,9.4,15.0,16.9,21.4,20.3,17.0,11.0,6.0,-2.6
1986,-2.6,-3.5,3.0,9.4,15.1,18.0,21.2,19.4,15.7,10.6,3.5,0.2
1987,-3.6,-3.2,3.5,9.0,14.3,19.6,22.4,19.6,16.2,9.0,5.0,0.3
1988,-5.3,-2.1,2.8,7.6,14.2,18.6,22.8,22.4,15.8,8.1,5.6,-1.6
1989,-1.1,-2.4,2.3,7.2,14.4,19.4,21.3,20.7,16.8,11.0,4.5,-7.8
1990,1.3,0.3,3.7,8.4,12.6,19.2,21.9,21.4,16.3,13.3,6.4,2.4
1991,-2.9,0.5,4.1,10.3,17.0,20.0,22.0,21.5,16.0,11.7,5.6,0.6
1992,-2.1,-1.2,0.9,6.8,13.7,17.9,20.2,19.5,16.2,8.9,4.3,-0.7
1993,-1.5,-4.9,0.6,8.6,15.1,19.1,22.5,21.8,16.6,9.3,4.8,-0.9
1994,-7.4,-5.1,1.8,9.4,13.3,20.4,23.9,20.2,16.4,10.4,7.3,1.7
1995,0.2,-3.4,4.1,7.4,13.2,19.4,23.2,21.3,15.8,12.5,3.2,-3.3
1996,-3.8,-2.6,0.8,8.1,13.2,19.5,20.8,21.0,16.8,10.2,3.0,2.2
1997,-2.8,1.1,2.1,7.3,12.3,19.1,21.6,20.2,16.4,10.0,3.7,0.0
1998,0.6,1.8,4.1,9.2,16.1,18.4,21.8,22.0,17.9,11.0,5.2,2.6
1999,-2.6,-0.2,3.0,8.8,14.7,20.4,23.8,21.0,18.1,10.1,7.4,1.0
