year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-0.5,-4.3,4.2,10.6,15.9,22.3,22.1,24.2,21.4,10.6,7.9,3.6
1896,-0.3,1.7,2.8,12.4,19.2,20.7,24.3,23.6,19.0,11.6,10.1,0.9
1897,-0.9,1.6,6.6,10.8,15.9,19.7,23.8,22.7,19.6,13.9,7.5,3.0
1898,2.0,1.6,8.3,9.3,16.0,21.8,25.0,24.6,20.9,14.0,6.1,2.1
1899,0.2,-2.9,4.8,10.9,16.6,22.8,24.3,22.9,18.6,14.1,7.2,2.3
1900,1.1,0.6,3.1,10.9,16.9,21.9,25.6,25.7,21.9,15.8,9.1,1.8
1901,0.4,-2.6,6.1,9.3,15.7,21.7,26.1,24.3,19.7,13.0,4.2,1.1
1902,-1.0,-2.3,7.3,10.4,16.8,21.1,24.1,22.1,19.0,14.2,10.4,1.1
1903,-0.1,2.1,9.1,10.9,17.1,18.7,23.8,22.1,19.2,13.6,5.2,-0.7
1904,-2.8,-2.9,4.4,9.1,17.3,20.8,23.0,22.4,19.3,11.7,5.4,-1.6
1905,-1.9,-3.8,6.2,10.8,17.4,21.1,23.9,22.4,19.4,13.8,6.5,2.9
1906,3.8,0.7,3.0,11.6,17.1,21.9,23.3,24.4,21.4,13.3,7.0,2.3
1907,2.0,-2.5,7.2,7.9,14.0,18.0,23.8,22.1,20.3,10.6,6.6,3.4
1908,0.6,-0.8,7.4,11.9,17.6,21.2,24.9,21.8,18.6,14.4,6.9,2.2
1909,2.2,5.4,4.6,11.1,16.5,21.7,22.6,21.8,18.5,10.9,8.7,-0.8
1910,-0.1,1.1,8.6,12.9,15.8,19.9,24.2,22.1,20.4,14.5,4.5,-1.8
1911,2.6,1.4,4.1,8.8,19.1,21.6,24.9,23.4,20.3,13.2,6.0,4.6
1912,-4.1,-1.3,4.1,11.6,17.2,20.7,23.4,22.2,20.3,14.4,7.5,3.8
1913,5.8,1.1,8.5,11.9,16.8,21.1,24.3,22.6,19.2,14.2,8.0,3.7
1914,2.1,-1.5,2.6,10.3,17.8,21.9,23.6,24.1,17.9,14.8,6.8,0.2
1915,1.7,3.2,2.4,13.2,15.8,20.0,23.7,22.6,20.6,13.9,6.9,0.7
1916,3.4,-0.1,1.7,10.2,17.7,19.4,24.2,23.5,18.7,13.4,7.3,1.1
1917,1.0,-0.3,5.0,11.1,13.6,21.6,23.9,23.2,16.9,11.0,4.8,-2.3
1918,-5.7,0.7,7.0,10.8,19.3,20.1,22.8,24.3,17.3,14.9,6.9,4.3
1919,2.0,1.6,7.6,10.7,17.0,21.3,23.9,22.2,19.6,16.9,7.5,-0.6
1920,-2.7,-0.8,5.7,10.5,14.1,21.0,22.9,23.1,19.8,15.3,7.1,3.5
1921,2.1,2.9,12.1,14.0,15.8,22.0,25.4,21.9,22.4,13.0,8.3,1.7
1922,-1.2,2.3,6.6,11.4,17.5,22.4,23.6,22.1,19.8,14.3,7.7,2.3
1923,1.7,-1.2,6.2,10.4,15.9,23.0,22.7,22.4,19.9,12.6,6.5,6.2
1924,1.3,0.1,4.9,9.6,14.7,20.3,22.7,22.8,17.4,12.8,6.9,2.0
1925,-0.1,5.3,7.3,12.1,14.7,24.4,23.9,21.8,21.7,10.8,6.1,1.9
1926,0.3,1.2,3.3,9.6,16.0,19.7,23.7,23.8,19.6,13.1,6.2,-0.3
1927,0.2,4.1,6.8,9.3,15.9,19.1,23.3,20.3,19.4,14.4,9.8,3.2
1928,0.9,1.5,5.0,9.7,15.4,20.7,24.3,24.4,17.5,14.0,8.1,2.2
1929,0.7,0.8,8.9,12.3,16.4,21.3,23.6,22.0,19.9,12.0,7.9,2.7
1930,1.6,3.7,5.7,9.6,17.9,22.3,24.9,22.9,22.6,12.1,7.3,1.0
1931,1.3,2.2,4.0,10.3,16.3,21.2,25.4,23.4,22.2,15.1,10.6,5.9
1932,6.9,4.1,3.7,9.9,16.2,21.4,23.9,23.7,19.9,13.9,6.6,3.3
1933,4.9,2.4,4.7,10.9,18.2,22.2,23.3,23.6,21.4,12.8,5.8,2.2
1934,2.7,-5.7,3.7,10.3,17.4,23.6,25.4,22.1,20.3,12.0,8.7,1.7
1935,-0.3,0.4,8.1,9.6,14.8,21.2,24.6,23.1,18.3,13.1,9.3,-1.2
1936,-1.8,-3.2,8.6,9.8,17.8,21.3,24.0,24.2,20.2,14.2,6.1,3.8
1937,5.8,1.8,3.6,10.6,17.2,22.1,23.9,24.2,17.7,12.0,6.8,1.4
1938,0.8,3.6,7.9,12.3,15.8,21.0,24.4,24.4,18.9,13.4,8.8,2.6
1939,1.3,4.4,6.3,10.6,17.7,22.6,23.5,24.4,20.1,13.7,5.6,2.8
1940,-5.7,0.7,3.1,8.3,16.1,21.8,23.9,22.1,18.0,11.3,7.3,4.4
1941,0.1,-0.4,2.5,13.0,17.8,21.0,23.9,22.6,20.9,16.5,8.6,4.2
1942,-0.3,-0.1,6.6,12.4,18.9,22.2,24.6,22.6,20.4,14.1,8.4,0.2
1943,1.1,2.4,6.2,9.0,17.7,24.5,24.1,24.1,18.9,12.2,6.6,1.2
1944,1.4,1.8,4.6,10.4,19.2,22.2,24.5,23.3,20.3,12.7,7.2,0.3
1945,-1.9,1.7,11.2,12.9,15.4,22.2,23.7,22.3,21.6,12.9,8.9,-0.9
1946,1.7,2.7,9.8,10.8,16.9,20.6,22.9,21.2,19.8,14.9,9.6,4.0
1947,4.4,-1.3,2.7,11.8,17.0,20.6,23.3,24.3,20.1,16.4,5.9,0.9
1948,-3.1,0.9,7.6,11.0,16.7,21.5,24.1,23.2,19.1,12.2,10.1,3.3
1949,4.9,4.8,6.8,11.2,17.2,22.4,26.1,24.0,18.4,15.9,7.4,3.8
1950,7.3,1.9,4.2,9.5,15.7,21.0,23.4,22.4,18.1,14.5,8.1,0.7
1951,2.6,2.4,5.7,11.2,16.6,21.3,24.3,23.1,19.4,14.9,5.8,3.8
1952,3.2,3.0,5.1,12.4,16.2,23.0,25.6,23.3,19.4,11.6,7.6,2.8
1953,4.0,3.8,6.7,11.4,18.7,21.8,24.6,23.1,19.8,14.1,7.4,4.2
1954,0.8,4.8,5.9,13.3,15.8,21.9,24.2,22.9,20.5,15.6,6.5,2.0
1955,-0.1,1.8,7.1,12.7,17.8,19.9,26.5,25.0,19.6,14.3,6.5,-0.8
1956,-0.4,3.6,4.6,10.0,15.8,21.7,23.4,22.9,18.6,14.2,7.8,6.4
1957,-1.1,3.4,5.7,13.2,17.7,23.3,24.3,22.6,20.8,11.8,8.4,4.1
1958,-0.6,-1.9,3.8,11.8,16.3,20.1,25.2,22.9,18.8,13.3,8.4,-2.0
1959,0.1,1.6,5.9,12.6,18.9,22.4,24.3,24.6,21.0,15.7,7.4,3.9
1960,1.9,2.4,0.1,14.0,16.1,21.7,23.0,24.1,19.9,13.1,8.2,-1.4
1961,-2.8,2.4,6.8,9.6,15.1,21.3,24.4,23.3,22.3,13.9,8.6,1.4
1962,0.5,0.3,4.8,11.7,18.0,21.7,22.5,22.7,17.9,13.8,5.8,-0.6
1963,-1.0,-1.8,7.7,11.7,16.0,21.4,24.1,22.3,17.4,14.4,9.1,-1.3
1964,1.3,0.6,6.7,9.9,17.6,21.8,24.2,22.1,19.5,11.6,8.8,3.9
1965,-0.6,1.6,4.1,9.4,18.9,20.9,23.4,22.8,20.6,12.1,7.5,3.5
1966,-1.2,0.7,6.5,9.0,15.7,21.8,24.7,23.7,18.7,12.4,8.1,2.1
1967,3.1,-0.6,4.7,11.3,13.5,21.2,23.4,22.4,17.8,12.6,5.0,2.9
1968,-1.7,-0.9,7.3,11.6,15.4,21.7,24.3,24.4,19.7,14.6,8.6,1.2
1969,-0.5,0.6,3.9,12.5,17.0,22.7,24.0,23.0,19.3,12.8,6.6,0.7
1970,-3.3,1.2,3.7,10.7,17.4,21.4,23.8,23.8,21.6,15.1,8.4,2.4
1971,-1.7,2.3,4.7,10.2,15.5,22.1,23.6,22.6,20.8,16.8,7.3,6.2
1972,2.3,0.8,5.3,9.8,16.3,19.7,24.0,22.7,19.6,11.4,6.6,5.4
1973,1.7,0.8,8.4,11.6,15.6,23.1,24.3,24.2,20.7,14.4,8.6,3.9
1974,3.6,0.9,7.0,12.8,16.4,19.9,23.8,23.4,19.3,11.7,7.9,4.1
1975,3.2,2.8,5.3,8.7,17.9,21.7,23.6,24.3,18.6,15.3,10.2,3.0
1976,-0.9,5.8,8.1,12.7,16.2,22.8,23.4,22.6,18.9,11.2,4.3,-0.1
1977,-5.4,1.7,9.2,13.1,17.9,20.3,24.8,24.4,21.1,12.6,9.1,2.1
1978,-1.3,-4.4,4.2,11.1,15.7,21.6,23.1,24.8,19.3,12.8,8.9,3.8
1979,0.7,-4.7,7.8,10.7,17.7,19.6,23.3,23.4,19.8,12.8,10.1,3.9
1980,0.7,-1.0,4.6,12.4,17.9,20.6,25.1,25.0,21.6,12.7,6.3,1.4
1981,-2.8,3.8,4.9,13.2,16.1,22.6,24.3,22.1,18.9,11.9,7.4,1.4
1982,-3.2,1.9,5.7,10.0,17.6,20.3,24.3,21.9,18.9,13.3,9.3,6.1
1983,1.4,1.4,7.3,10.6,16.2,21.7,25.0,24.3,20.3,14.2,8.5,1.7
1984,-2.1,4.7,3.3,10.4,16.4,22.6,23.3,23.7,18.5,16.6,7.1,6.7
1985,-2.1,2.1,7.7,13.4,18.2,20.9,24.1,23.2,20.2,15.3,11.6,1.1
1986,0.8,0.6,7.1,11.2,18.5,22.6,25.2,22.5,19.7,14.8,7.5,3.5
1987,-0.1,-0.2,6.9,10.7,17.4,23.1,25.9,23.8,20.5,11.3,9.2,4.2
