year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,14.2,10.4,17.6,19.9,23.8,26.3,27.1,27.2,26.3,21.3,17.6,13.0
1896,12.3,13.9,16.7,21.3,24.8,26.7,27.4,27.9,26.2,21.7,20.4,13.6
1897,12.1,16.9,20.6,20.6,22.9,27.7,27.5,27.2,25.0,22.2,18.5,15.0
1898,15.3,13.7,19.6,19.7,24.4,27.2,27.3,26.9,26.6,21.6,18.0,13.6
1899,14.8,14.7,18.6,19.6,25.7,26.9,27.0,27.7,25.7,22.8,18.1,14.2
1900,12.7,14.4,17.0,20.6,23.8,26.3,27.6,27.8,26.8,24.1,17.6,14.1
1901,13.6,12.8,16.1,18.0,23.7,26.2,27.5,26.7,26.0,21.8,14.4,13.1
1902,12.2,11.8,17.7,19.8,25.2,26.9,27.7,27.6,25.9,22.9,19.8,15.1
1903,13.6,16.6,20.0,19.1,22.9,25.6,27.1,27.7,25.2,21.1,16.6,11.2
1904,12.4,15.8,19.1,20.0,23.4,25.9,26.4,26.6,26.2,22.6,16.1,13.9
1905,11.1,14.2,18.9,20.8,25.6,26.7,27.4,27.1,26.8,22.7,18.4,14.1
1906,14.2,14.3,16.3,20.7,23.6,26.6,26.8,27.1,26.8,21.3,18.6,14.8
1907,16.9,15.2,21.1,19.4,24.2,25.7,27.2,27.1,26.4,21.6,17.8,14.3
1908,13.4,13.1,20.0,23.7,24.1,26.0,27.0,27.0,25.6,20.8,18.0,16.6
1909,16.3,15.1,18.2,21.3,23.7,26.8,26.8,27.4,25.7,21.7,18.8,12.4
1910,12.8,13.9,17.6,19.4,23.6,25.4,26.3,26.7,26.0,22.4,15.6,11.2
1911,15.6,16.7,18.2,21.7,23.3,26.9,26.5,26.7,26.9,24.3,18.2,16.6
1912,13.3,12.1,18.3,22.2,24.8,25.7,27.2,27.1,26.6,23.5,16.3,16.4
1913,17.8,15.8,19.3,19.5,23.1,25.4,27.3,26.7,25.1,20.5,17.8,15.0
1914,13.4,14.3,14.4,20.9,24.0,27.3,27.2,27.2,25.1,22.1,16.9,14.2
1915,13.2,14.1,12.8,19.0,25.1,26.5,27.5,27.8,26.7,23.4,18.7,12.7
1916,17.4,14.4,15.7,19.3,24.2,25.8,26.7,26.9,25.4,22.3,17.6,15.0
1917,16.6,14.6,18.9,20.5,22.3,25.8,26.9,26.9,25.2,20.9,14.9,11.6
1918,10.7,17.8,19.7,19.7,23.2,26.5,26.4,27.0,24.8,24.1,17.3,14.9
1919,13.3,14.7,18.4,19.8,23.6,25.9,26.8,27.3,26.0,25.7,19.6,14.9
1920,15.1,13.1,16.2,21.0,23.1,25.7,26.8,26.7,26.3,21.1,17.0,13.9
1921,15.2,15.8,20.6,20.6,22.6,26.5,26.6,27.2,27.2,21.8,19.2,16.4
1922,13.9,17.5,18.5,22.0,24.2,26.3,26.7,26.4,25.6,22.9,19.0,17.3
1923,15.5,15.8,18.8,21.3,22.9,25.8,26.6,27.0,26.1,21.3,15.6,17.1
1924,14.2,13.3,15.0,20.7,23.3,27.2,27.1,27.9,25.6,21.2,17.4,16.2
1925,16.4,15.9,17.8,20.6,22.9,26.2,27.1,27.2,27.9,23.3,17.1,13.7
1926,13.1,14.8,15.0,19.7,23.1,25.9,26.8,27.4,26.9,22.6,16.4,16.8
1927,13.9,18.7,17.7,21.9,24.8,27.4,27.3,27.2,26.0,22.6,19.0,14.1
1928,12.4,15.7,18.4,19.6,22.3,26.0,27.2,27.0,25.7,23.2,16.8,14.1
1929,15.8,16.5,19.6,22.1,24.3,25.7,26.4,27.2,25.8,21.4,19.4,13.8
1930,15.6,16.5,15.6,20.6,24.3,25.2,27.6,26.7,26.7,20.9,16.6,11.9
1931,12.3,13.9,14.2,19.1,22.9,26.4,28.0,27.0,26.6,23.1,19.2,19.9
1932,17.6,19.4,15.7,20.3,23.6,26.3,28.3,27.2,25.8,22.3,16.1,17.1
1933,15.9,16.9,17.1,20.5,25.6,25.8,26.9,27.2,27.2,23.0,16.3,16.6
1934,15.0,13.7,16.9,20.6,23.7,26.4,27.1,27.0,26.0,23.2,18.1,14.2
1935,14.4,14.5,19.6,21.2,24.7,26.3,26.7,27.4,25.7,23.0,18.0,10.4
1936,14.3,13.9,17.7,20.6,23.8,25.9,27.3,27.2,26.6,23.8,17.1,15.8
