year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-6.7,-4.7,-0.8,6.3,9.2,12.5,17.1,17.6,10.6,7.6,-0.6,-5.5
1896,-2.8,-0.9,-0.6,3.3,6.5,15.1,19.7,17.6,11.7,6.4,-2.9,-1.3
1897,-5.6,-3.7,-3.8,5.6,13.4,13.6,16.7,18.9,12.8,6.4,0.6,-4.5
1898,-8.2,-1.3,-1.8,6.8,9.6,14.4,18.4,19.5,12.8,4.6,-2.4,-7.6
1899,-3.5,-6.0,-0.8,4.4,7.2,12.9,18.5,14.8,13.7,4.6,3.0,-5.4
1900,-2.2,-3.3,3.6,6.2,10.9,16.7,17.4,15.6,11.6,6.0,-0.4,-2.1
1901,-3.9,-4.1,0.0,3.7,11.6,11.1,19.4,19.1,10.3,8.8,2.1,-3.4
1902,-5.9,-1.1,-1.0,4.2,9.7,13.4,16.0,16.7,11.8,7.2,-0.6,-4.1
1903,-4.4,-8.8,-0.5,3.7,8.4,15.7,16.1,17.4,10.7,7.1,-0.3,-4.6
1904,-5.2,-2.9,-0.7,5.4,9.5,13.2,17.3,18.2,13.6,7.8,2.8,-3.8
1905,-4.1,-5.1,2.8,6.1,8.3,12.6,18.6,18.1,13.2,3.9,-0.1,-6.4
1906,-5.1,-2.9,-2.1,6.3,9.2,11.7,19.7,17.6,13.3,7.4,-0.9,-1.3
1907,-7.3,0.2,1.3,5.0,9.3,11.5,17.3,15.2,12.2,9.2,0.7,-3.4
1908,-4.7,-2.6,0.5,6.2,7.4,11.3,18.9,16.4,12.7,5.3,0.6,-5.2
1909,-4.0,-2.0,1.0,2.9,7.9,14.1,17.4,17.6,12.9,6.6,1.1,-8.1
1910,-8.1,-6.8,4.0,7.7,10.6,14.2,19.4,15.8,12.9,7.5,1.1,-2.7
1911,-4.4,-6.4,1.2,3.8,7.9,14.2,17.7,16.0,11.4,4.8,-2.4,-5.4
1912,-5.2,-2.2,-1.3,4.1,8.8,14.4,16.2,15.4,9.2,4.4,0.8,-4.9
1913,-7.2,-7.2,-1.8,5.3,10.1,13.7,16.7,17.8,12.6,4.8,1.2,-5.9
1914,-2.8,-3.8,1.7,5.9,11.2,12.6,18.8,17.3,11.3,7.4,0.9,-8.6
1915,-6.6,-0.6,2.7,8.2,8.6,11.9,16.4,19.6,11.4,7.6,-0.8,-4.4
1916,-9.6,-2.8,1.7,5.7,6.7,12.1,17.6,16.7,12.2,4.7,-3.0,-7.4
1917,-9.3,-5.3,-5.4,2.2,7.8,12.1,19.5,17.3,13.9,6.9,2.4,1.2
1918,-3.1,-4.2,1.7,4.1,8.2,17.4,18.4,15.3,13.9,7.8,-0.9,-4.8
1919,-4.6,-3.5,0.1,5.9,10.3,14.7,19.4,18.3,12.9,3.1,-2.2,-8.7
1920,-5.2,-2.3,-0.6,2.5,8.3,12.7,19.3,17.6,12.4,4.9,-0.7,-3.7
1921,-3.9,-2.9,1.8,3.4,9.8,15.1,18.4,17.7,9.8,8.2,1.4,-3.8
1922,-10.3,-6.8,-3.1,2.1,8.8,15.9,18.5,18.6,14.1,8.1,-1.4,-5.9
1923,-3.4,-6.9,-1.8,4.4,9.4,12.1,19.3,17.4,13.8,5.4,1.2,-5.3
1924,-8.0,0.2,-1.2,4.6,11.8,13.8,18.1,16.8,12.6,6.3,-0.8,-8.9
