year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-11.6,-9.7,0.8,11.7,16.1,20.7,22.0,22.1,19.3,7.0,0.2,-4.7
1896,-5.8,-3.3,-1.4,11.9,18.4,20.8,22.4,21.6,14.1,8.1,-2.6,-1.6
1897,-9.4,-4.8,-0.9,8.3,14.3,20.1,23.9,20.0,21.1,13.0,0.3,-8.9
1898,-5.7,-5.2,2.5,8.3,15.0,21.6,22.7,21.9,18.1,8.1,-0.7,-8.4
1899,-7.7,-11.6,-4.8,8.9,15.3,21.2,22.5,23.1,16.5,13.1,5.9,-6.1
1900,-4.3,-10.2,-1.2,10.9,17.2,20.6,22.8,24.9,17.7,14.7,0.0,-3.7
1901,-5.6,-8.8,0.8,9.4,15.7,22.1,27.8,22.8,16.9,11.6,1.1,-7.4
1902,-6.3,-8.8,3.2,8.4,17.3,18.2,22.6,20.2,14.6,11.3,4.2,-7.6
1903,-6.1,-7.4,3.3,9.4,16.2,17.8,22.4,20.2,15.6,10.6,0.5,-7.7
1904,-10.7,-10.3,0.9,6.2,15.1,19.3,21.2,20.2,17.3,11.0,4.0,-5.8
1905,-12.6,-11.3,4.6,8.2,14.3,20.8,21.2,23.2,18.3,9.1,2.8,-3.7
1906,-4.7,-5.4,-3.3,10.8,15.7,19.7,21.4,23.1,19.1,9.7,0.9,-4.1
1907,-8.2,-4.6,4.2,4.8,11.5,18.9,23.0,21.3,16.6,9.4,1.7,-2.7
1908,-4.9,-5.1,2.7,9.7,15.0,19.2,22.6,20.8,19.4,10.0,3.1,-3.6
1909,-6.9,-4.1,-0.4,6.1,14.0,20.3,22.1,24.1,16.4,9.1,4.9,-10.3
1910,-8.8,-8.7,8.7,10.9,12.7,20.6,23.4,21.9,16.9,12.2,-0.2,-5.8
1911,-7.6,-3.4,3.5,7.7,18.1,23.9,23.9,21.6,18.2,8.7,-2.1,-3.2
1912,-16.4,-8.5,-4.6,9.4,16.7,18.8,23.4,21.2,16.3,10.6,3.6,-2.4
1913,-7.1,-7.4,-0.7,9.6,14.9,21.7,24.3,24.3,17.5,9.0,5.7,-0.9
1914,-3.2,-9.1,1.0,8.9,16.5,22.1,24.6,22.7,17.6,12.7,4.1,-9.9
1915,-9.0,-2.3,-2.0,13.4,13.1,18.1,20.6,18.4,17.1,11.8,3.7,-4.8
1916,-8.7,-7.9,1.2,8.0,15.1,17.8,26.3,23.0,16.5,9.9,2.2,-8.2
1917,-9.2,-9.9,0.9,7.1,12.6,18.7,23.3,20.3,16.6,5.4,4.2,-10.4
1918,-13.8,-5.6,5.5,6.7,17.9,21.2,22.5,23.9,14.2,12.2,3.4,-0.6
1919,-3.8,-4.6,2.4,8.7,14.2,21.8,24.9,21.4,19.1,9.7,0.0,-10.4
1920,-9.6,-5.2,2.7,5.2,14.8,21.1,22.0,20.2,18.6,13.6,1.0,-4.1
1921,-3.1,-1.3,5.4,10.8,17.0,23.3,25.2,21.8,19.0,11.8,-0.1,-3.1
1922,-7.8,-5.3,2.8,9.3,17.1,21.9,21.6,22.7,18.9,12.7,4.8,-5.4
1923,-4.1,-7.4,-2.1,8.4,14.8,21.3,24.4,20.9,17.3,8.6,3.6,-0.1
1924,-11.1,-4.2,-0.8,9.7,11.9,18.9,20.8,21.5,14.3,13.7,2.8,-10.2
1925,-8.1,-2.9,3.8,13.0,13.8,20.9,23.1,22.0,19.9,3.9,1.3,-7.2
1926,-6.3,-1.3,-0.7,7.2,17.7,18.6,23.4,22.6,16.7,9.9,-0.7,-6.6
1927,-6.9,-1.6,3.6,8.9,14.2,18.8,22.3,19.4,19.1,12.3,2.2,-8.3
1928,-4.8,-2.7,3.1,6.2,16.5,17.7,22.9,22.2,15.3,11.7,2.8,-2.8
1929,-13.2,-10.8,3.2,10.1,13.9,19.3,23.1,21.7,16.3,10.3,-0.8,-5.0
1930,-12.9,1.1,2.3,10.6,15.2,20.2,25.2,23.1,18.4,9.7,4.2,-4.0
1931,-2.7,1.1,0.9,10.0,13.8,23.6,24.8,22.1,21.1,13.1,5.6,0.1
1932,-6.4,-2.7,-2.7,9.4,16.5,21.8,24.0,21.9,16.2,9.1,-0.3,-6.6
1933,-0.9,-6.2,1.6,8.7,15.4,25.1,24.2,20.9,20.2,9.4,2.2,-3.8
1934,-4.0,-4.7,0.7,9.6,20.6,24.7,26.1,22.4,15.5,12.9,4.5,-6.9
1935,-7.4,-2.4,4.1,7.6,12.3,18.4,26.0,22.6,17.8,9.8,0.1,-6.3
1936,-13.6,-15.3,3.2,7.0,18.6,20.7,28.2,25.7,19.4,9.8,1.0,-2.9
1937,-11.8,-7.8,-0.2,8.1,16.2,20.1,24.1,24.9,18.3,9.4,0.1,-6.2
1938,-7.3,-2.6,5.7,9.6,14.9,20.3,24.4,23.8,18.8,14.6,2.1,-4.1
1939,-2.9,-7.3,1.8,8.2,18.7,21.6,24.2,21.1,20.1,11.2,3.4,-0.7
