year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-4.7,-4.5,5.6,14.6,18.4,22.2,23.7,24.0,22.2,10.9,3.9,-0.4
1896,0.3,2.5,3.1,15.2,20.1,23.3,25.3,25.2,18.5,11.8,2.4,3.4
1897,-2.7,0.3,5.3,11.7,17.4,23.5,26.3,23.9,22.7,15.2,5.1,-2.2
1898,-1.0,2.0,5.2,11.2,16.5,23.4,25.0,24.9,20.1,10.8,2.8,-3.3
1899,-2.2,-7.2,2.1,11.4,18.9,22.8,24.3,26.6,20.1,15.3,8.0,-1.3
1900,1.1,-2.7,5.2,12.4,18.1,23.5,25.3,26.6,20.8,15.4,4.7,0.9
1901,-0.7,-2.8,4.8,10.8,16.9,24.8,29.1,25.7,20.1,14.6,6.2,-1.3
1902,-1.8,-2.8,6.7,12.1,19.7,21.4,24.7,25.3,17.3,14.1,6.8,-3.1
1903,-0.7,-3.5,4.9,11.9,16.2,19.0,25.5,23.9,18.9,13.3,4.6,0.1
1904,-2.3,0.0,7.3,10.0,16.7,21.0,24.0,23.3,20.6,14.1,6.7,-1.2
1905,-6.4,-6.6,9.2,10.8,16.7,23.8,23.4,25.5,21.4,11.2,6.6,-0.6
1906,0.8,1.5,-0.2,13.8,17.9,21.7,22.8,24.1,20.3,11.5,4.1,2.0
1907,-1.6,1.5,10.3,8.6,14.1,21.8,25.6,25.0,20.6,13.2,4.8,0.2
1908,0.9,1.8,7.9,12.5,17.1,22.0,24.1,24.2,20.8,12.2,5.8,1.1
1909,-2.0,1.9,4.7,10.8,16.3,22.6,25.6,26.3,20.4,13.0,8.1,-6.1
1910,-1.9,-1.6,12.4,13.3,15.2,22.3,26.2,23.9,20.8,14.8,6.1,-0.2
1911,0.3,1.2,8.0,11.7,18.7,26.3,25.7,24.2,23.1,11.9,2.9,-1.8
1912,-8.1,-1.1,-0.9,11.7,18.8,20.4,26.3,24.6,18.4,13.6,6.6,0.5
1913,-2.3,-3.9,3.6,13.1,19.0,23.2,27.5,28.4,19.2,11.5,8.5,0.2
1914,2.3,-1.7,5.7,12.0,17.4,25.4,26.4,25.1,21.9,13.9,8.1,-5.6
1915,-2.5,2.6,-0.4,14.2,15.2,20.3,23.1,20.7,20.0,14.0,7.9,0.5
1916,-4.7,-0.4,8.1,9.9,17.4,21.1,27.0,25.9,19.4,13.3,5.4,-3.1
1917,-1.3,-0.6,5.3,10.4,13.7,22.3,26.9,22.7,20.1,9.7,7.8,-3.9
1918,-7.8,1.5,8.9,8.8,19.2,25.3,25.4,27.3,17.1,15.0,4.9,0.7
1919,-1.9,-0.6,5.9,11.1,16.1,21.9,26.3,25.3,21.9,11.6,3.3,-3.3
1920,-1.2,1.4,6.5,8.7,16.9,22.4,25.1,22.1,20.3,15.1,3.5,0.2
1921,1.6,3.7,9.3,12.0,18.3,23.2,25.9,25.6,22.7,14.8,5.6,0.4
1922,-3.0,0.3,5.3,11.9,17.6,23.7,24.8,26.3,22.4,14.4,6.7,0.4
1923,2.6,-1.0,4.1,11.8,15.9,22.6,25.8,25.2,20.4,10.4,6.3,1.2
1924,-4.1,1.4,1.1,12.2,14.2,23.2,24.1,25.7,18.2,15.2,6.8,-5.1
1925,-4.4,3.9,8.4,14.8,16.9,25.2,26.4,24.6,22.1,8.2,4.9,-0.3
1926,-0.5,4.4,4.4,9.2,18.7,22.4,25.8,25.9,20.2,14.2,3.8,-1.1
1927,-0.9,2.9,5.3,13.3,18.3,21.6,24.8,21.7,20.6,15.2,6.3,-3.4
1928,0.6,1.9,7.3,10.3,17.9,19.3,25.0,24.4,19.3,14.1,5.3,1.1
1929,-4.9,-4.6,7.4,13.0,15.9,22.2,25.8,25.7,19.0,13.3,1.2,0.6
1930,-8.8,7.3,4.8,14.4,16.6,22.4,27.2,26.0,21.1,12.1,6.3,-0.1
1931,1.4,4.6,3.1,11.1,15.5,25.1,26.7,24.0,24.8,15.8,6.9,2.7
