year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,8.7,5.1,15.2,18.8,22.6,26.4,27.6,27.3,26.4,17.3,13.3,9.9
1896,8.7,11.1,14.2,21.1,25.4,26.9,28.7,28.6,25.0,19.2,15.9,10.2
1897,7.9,12.4,18.9,19.2,22.3,27.3,28.3,27.5,25.1,21.5,14.7,10.2
1898,12.0,12.0,16.5,17.0,23.8,26.8,27.3,27.3,25.7,18.2,11.6,8.2
1899,9.1,6.2,15.9,18.1,25.6,26.8,28.1,28.5,23.8,20.9,14.6,9.7
1900,9.3,9.4,14.3,19.4,23.3,26.6,27.2,27.5,27.4,21.6,15.2,10.4
1901,11.0,9.3,14.2,17.2,22.4,27.4,28.5,27.7,24.2,19.2,12.7,8.9
1902,8.1,7.9,15.6,19.6,24.9,27.6,27.9,28.9,24.3,19.3,16.8,9.8
1903,8.4,10.6,16.3,18.5,22.0,24.2,27.0,27.4,23.8,18.7,12.7,8.1
1904,7.8,13.2,17.4,18.1,22.1,26.6,26.5,26.5,26.0,20.3,13.3,9.8
1905,6.7,5.5,16.9,19.6,24.9,27.4,26.7,28.0,25.9,19.5,15.8,7.3
1906,9.7,9.3,13.0,19.6,23.1,27.5,27.3,27.6,26.4,17.4,15.4,12.8
1907,15.0,12.5,20.2,17.4,21.4,26.1,28.2,28.1,25.8,19.9,12.6,10.9
1908,9.7,10.8,19.1,21.9,23.3,27.1,27.3,27.5,24.9,17.2,15.3,12.6
1909,12.1,11.9,15.9,18.9,22.4,26.7,28.7,28.3,25.3,20.1,17.5,7.3
1910,10.3,9.4,17.7,18.5,22.3,25.4,27.3,28.1,26.3,20.2,14.5,10.1
1911,13.9,15.6,17.5,20.3,23.3,28.3,26.7,27.3,27.8,20.8,12.3,11.1
1912,7.1,8.1,13.2,20.1,23.7,25.3,28.0,27.5,26.3,20.8,12.6,9.9
1913,12.4,10.0,14.3,18.1,22.5,25.8,27.7,27.4,23.9,18.1,16.8,10.1
1914,11.4,9.4,12.7,18.9,23.1,28.4,28.4,27.1,25.0,19.7,13.8,7.6
1915,8.1,11.2,10.0,19.2,23.9,27.6,27.7,26.8,25.8,20.6,15.7,10.4
1916,13.0,11.2,15.8,17.9,23.7,26.6,27.7,27.6,24.4,19.3,13.7,11.1
1917,11.6,12.2,15.9,18.2,20.7,26.4,28.1,27.2,23.9,16.9,11.9,7.9
1918,5.2,14.1,18.2,18.4,23.8,28.0,27.8,27.6,22.7,21.3,12.9,11.8
1919,8.3,11.2,15.4,18.6,21.9,25.7,27.6,27.9,25.2,23.8,15.8,10.9
1920,10.3,11.5,14.0,18.8,24.4,25.6,27.4,26.6,26.3,19.4,11.6,9.7
1921,12.9,13.1,19.8,18.2,22.7,26.7,27.8,28.2,27.4,19.1,17.0,13.3
1922,9.3,13.9,14.7,20.8,23.7,26.7,27.3,27.1,25.5,19.4,15.9,14.4
1923,13.3,11.2,13.9,19.4,22.2,26.1,26.7,27.2,24.9,18.7,12.5,13.8
1924,7.1,10.4,12.6,19.1,21.3,27.6,27.9,28.9,24.6,20.0,15.7,10.3
1925,9.4,13.9,16.4,21.2,22.2,27.4,28.3,27.6,27.5,19.9,13.5,8.4
1926,8.6,12.8,12.4,17.4,22.2,26.3,27.2,27.8,26.8,21.7,11.8,12.7
1927,12.4,15.9,15.3,21.3,24.3,26.6,27.8,27.1,25.7,20.9,17.8,9.4
1928,9.6,10.8,15.9,16.7,22.3,25.8,27.6,28.2,23.9,21.6,13.4,9.7
1929,10.8,8.7,16.7,21.0,23.0,26.3,27.4,27.6,25.0,19.7,11.7,9.6
1930,8.4,14.3,13.2,20.3,23.3,25.9,28.6,27.5,25.2,18.9,13.6,8.2
1931,8.9,12.4,11.7,17.2,20.8,26.3,28.1,26.1,26.7,21.9,17.3,13.4
1932,12.7,16.2,12.8,19.5,22.3,27.2,28.8,28.0,25.0,18.4,11.2,9.8
1933,13.0,11.5,15.7,19.0,25.1,25.8,27.3,27.4,27.3,20.7,15.1,15.4
1934,11.2,10.7,14.1,19.6,22.7,27.5,28.1,28.3,24.4,21.8,15.5,10.4
1935,11.3,11.9,18.2,19.4,23.1,26.1,27.9,28.1,24.4,21.2,13.8,7.9
1936,8.5,9.1,16.8,18.0,23.0,27.5,27.6,28.2,26.9,19.4,12.4,11.0
1937,13.8,11.4,12.5,18.7,23.4,26.9,27.6,27.7,24.8,18.9,11.9,10.3
1938,10.4,14.3,18.9,18.4,23.2,26.3,27.6,27.7,24.8,20.5,13.4,10.3
1939,11.7,12.6,16.2,18.3,22.7,26.9,28.1,27.6,26.4,20.3,12.5,11.9
1940,2.8,9.6,15.1,18.3,21.8,25.6,26.9,26.3,23.6,19.9,13.7,12.4
1941,10.8,9.0,11.9,19.9,23.1,26.3,27.6,28.1,26.1,23.3,12.4,11.6
1942,7.7,9.2,13.8,18.9,22.6,26.5,27.4,27.3,23.7,20.0,15.8,11.1
1943,10.0,12.2,13.4,19.7,24.8,27.7,28.2,28.7,23.7,18.1,11.9,10.0
1944,9.3,14.7,15.4,18.9,22.9,27.6,28.2,27.9,25.5,18.9,14.5,8.9
1945,9.3,13.3,18.6,19.9,21.8,26.7,27.1,27.2,25.9,18.8,15.9,8.4
1946,9.4,12.0,16.4,20.6,22.7,25.5,27.2,27.1,24.6,20.4,16.1,12.8
1947,10.1,7.3,11.6,19.9,22.8,26.8,27.1,28.3,26.0,22.4,12.9,10.6
1948,5.2,11.1,15.5,20.9,23.6,27.3,28.7,27.9,23.9,18.6,14.4,12.4
1949,11.8,13.2,14.4,18.0,24.2,27.0,27.7,26.9,24.6,21.4,13.9,12.3
1950,16.2,14.1,13.7,17.4,24.1,26.2,26.7,26.9,24.5,20.7,12.7,8.9
1951,10.4,11.7,15.4,17.6,23.1,26.9,28.1,29.3,25.3,20.6,12.1,12.7
1952,14.6,13.2,14.0,17.3,22.8,27.7,27.9,28.2,24.2,15.8,12.9,10.1
1953,11.8,11.3,17.9,18.6,24.2,28.5,27.4,27.2,25.0,20.3,13.1,9.1
1954,11.1,14.0,14.2,21.2,20.8,27.1,28.7,28.7,26.1,20.7,13.1,10.9
1955,9.7,11.6,16.9,20.7,24.3,24.9,27.2,27.1,26.1,19.2,13.7,11.1
1956,8.9,13.7,14.7,18.4,24.3,25.7,27.9,27.5,24.4,20.6,13.5,13.8
1957,11.7,15.3,14.2,19.7,23.7,26.4,28.1,27.3,23.8,17.6,14.4,11.5
1958,7.4,7.3,12.5,18.9,23.3,26.9,27.8,27.1,25.6,19.1,14.9,8.7
1959,8.0,11.7,13.6,18.1,24.2,26.2,27.2,27.4,25.4,20.8,12.1,10.7
1960,8.7,8.0,11.0,19.6,21.9,26.9,28.6,27.0,25.1,20.6,14.9,8.6
1961,6.4,12.6,16.7,17.2,22.3,24.8,26.5,26.2,24.7,18.8,13.7,10.6
1962,7.4,15.5,12.5,18.0,24.0,26.1,28.7,28.7,25.6,21.3,12.8,9.4
1963,6.2,8.3,16.7,21.3,23.9,26.9,27.7,27.8,25.1,21.5,14.7,5.7
1964,8.2,8.4,14.4,20.4,23.8,26.6,27.6,27.9,25.0,17.7,16.1,11.0
1965,11.2,10.2,12.2,21.3,23.7,26.1,27.9,26.9,25.3,18.7,17.5,11.2
1966,6.7,9.5,14.1,19.4,23.1,25.4,28.4,26.4,24.4,18.0,15.7,10.0
1967,9.2,9.3,16.9,21.9,22.1,26.5,26.3,26.1,22.9,18.3,13.9,11.4
1968,8.3,7.0,12.9,19.8,22.7,26.3,26.8,26.9,23.3,19.8,12.6,9.2
1969,10.2,10.5,10.9,19.2,22.7,26.6,28.7,27.2,24.4,20.1,13.2,10.4
1970,6.4,9.8,13.4,20.4,22.6,25.8,26.9,27.6,26.1,18.3,11.9,13.0
1971,10.5,10.8,13.2,18.3,21.6,26.8,27.3,26.4,25.1,21.4,13.8,14.6
