year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-11.0,-11.2,-5.9,3.4,11.8,17.1,17.3,16.4,13.1,4.1,0.3,-6.3
1896,-12.0,-10.2,-6.2,3.5,10.4,14.9,18.2,16.5,11.6,5.2,-0.3,-9.4
1897,-10.7,-8.9,-4.8,3.5,9.7,12.9,18.4,16.2,11.6,6.9,-1.1,-7.4
1898,-12.6,-7.1,-1.2,2.3,10.2,14.9,18.2,17.8,13.3,6.8,0.2,-8.6
1899,-11.3,-11.2,-5.7,3.9,9.9,15.4,17.7,16.9,11.7,7.6,-0.9,-5.2
1900,-10.1,-9.2,-5.8,4.2,8.2,16.2,18.2,17.6,13.5,8.9,0.1,-9.1
1901,-11.7,-11.6,-4.6,4.7,10.4,16.0,18.6,17.4,13.4,6.6,-3.2,-7.2
1902,-10.8,-8.5,0.1,4.0,8.8,12.8,16.3,15.6,13.1,6.6,1.3,-9.6
1903,-10.3,-8.5,0.4,3.8,10.9,13.3,16.3,14.1,13.4,6.6,-1.4,-9.8
1904,-14.5,-13.6,-4.6,2.5,12.2,14.6,18.4,15.7,10.6,5.3,-3.0,-13.4
1905,-13.7,-12.5,-4.7,3.4,9.5,14.0,18.4,15.7,11.7,5.9,-1.2,-7.2
1906,-7.2,-9.2,-7.4,2.1,8.8,14.9,18.3,17.9,12.6,6.7,-0.7,-10.6
1907,-13.6,-13.8,-5.2,1.7,7.3,14.7,17.8,16.1,12.3,4.7,-0.6,-5.3
1908,-9.2,-11.1,-4.7,1.8,10.7,16.4,19.3,16.1,14.6,8.1,-0.6,-9.8
1909,-10.8,-9.8,-4.7,2.0,9.2,15.5,16.9,16.5,12.6,7.3,1.3,-7.0
1910,-8.1,-9.9,-1.4,6.1,9.7,14.1,18.7,16.3,11.9,6.7,-0.3,-10.0
1911,-10.7,-12.4,-6.4,2.4,13.6,15.2,20.2,17.0,11.2,5.8,-1.3,-4.7
1912,-15.0,-10.3,-5.7,2.5,10.8,13.9,18.2,14.7,11.7,7.7,0.4,-5.6
1913,-6.2,-11.7,-2.1,4.6,8.6,14.2,18.4,16.6,11.8,9.8,1.5,-5.5
1914,-12.9,-14.7,-3.4,0.9,11.2,13.7,16.9,16.3,13.0,7.7,-2.0,-9.2
1915,-8.9,-6.7,-4.0,4.8,9.1,14.7,17.4,16.6,13.9,7.6,0.5,-5.5
1916,-9.1,-11.0,-7.6,4.0,10.1,14.3,19.1,18.1,13.3,6.8,-1.9,-7.1
1917,-11.3,-13.1,-4.2,2.5,6.4,14.6,19.1,18.3,11.3,5.6,-2.9,-13.3
1918,-14.6,-12.4,-5.4,3.9,12.1,13.1,18.4,16.8,11.2,6.8,0.3,-7.2
1919,-9.1,-7.7,-2.0,2.9,10.2,16.8,19.1,16.0,11.9,5.7,-0.6,-10.9
1920,-15.7,-10.2,-3.2,2.2,9.9,15.3,17.8,18.8,13.4,9.4,-2.3,-6.4
1921,-9.3,-9.3,-0.1,6.0,11.4,15.4,21.1,16.2,13.9,6.9,-2.9,-8.6
1922,-12.4,-10.3,-2.1,4.2,11.3,16.3,18.2,17.2,12.9,6.1,-0.4,-10.3
1923,-12.9,-14.5,-8.3,1.5,9.4,15.3,16.7,15.1,13.1,7.3,0.8,-3.1
1924,-10.5,-12.5,-2.4,2.2,8.6,14.2,18.4,17.0,11.9,7.2,0.6,-10.2
1925,-15.0,-5.9,-1.6,3.7,8.4,15.8,17.3,17.3,11.5,2.6,-0.8,-7.9
1926,-11.0,-10.8,-7.6,-0.1,8.1,13.8,17.5,16.4,11.8,6.1,-0.1,-9.9
1927,-9.2,-9.9,-2.2,3.6,8.1,13.2,18.4,15.6,12.9,8.1,1.9,-5.6
1928,-10.1,-10.3,-4.8,2.1,9.6,14.0,18.5,18.2,10.8,6.4,-1.1,-4.7
1929,-10.8,-9.6,-2.8,2.7,10.3,15.4,17.8,15.9,13.3,6.1,-0.5,-9.4
1930,-10.6,-9.3,-3.7,2.4,10.7,18.4,18.0,16.5,13.9,7.4,1.1,-7.1
1931,-10.9,-8.3,-0.6,5.0,11.1,15.5,19.8,17.1,13.2,8.2,2.9,-5.9
1932,-5.6,-10.6,-5.2,3.3,10.7,15.3,17.2,18.4,13.6,8.1,-1.3,-4.9
1933,-5.6,-6.8,-4.8,3.6,10.6,16.1,17.6,17.3,13.1,6.3,-4.3,-12.4
1934,-12.1,-15.6,-4.8,4.4,11.5,15.2,18.4,15.6,15.0,5.0,1.2,-10.1
1935,-13.7,-11.1,-4.4,3.3,9.0,15.7,19.7,18.4,11.6,6.7,1.3,-9.2
1936,-10.6,-12.1,0.3,2.8,10.7,16.3,16.9,16.2,12.4,6.0,-3.1,-6.5
1937,-6.5,-6.2,-5.3,3.9,12.0,16.1,19.9,20.4,13.6,6.4,0.2,-8.4
1938,-10.9,-9.2,-4.1,4.8,9.6,17.4,18.8,18.9,11.8,8.2,0.8,-5.9
1939,-10.8,-9.9,-7.1,1.6,9.8,15.3,19.2,19.4,12.5,6.3,-1.8,-6.9
1940,-12.4,-8.7,-4.7,2.1,10.8,14.9,18.7,17.1,12.7,4.8,-0.4,-8.3
1941,-11.7,-7.3,-4.8,5.9,10.9,16.4,19.2,15.9,13.1,5.9,0.4,-5.8
1942,-11.0,-9.8,-0.4,4.5,12.6,16.6,18.2,17.4,13.6,7.8,-0.3,-9.9
1943,-12.4,-7.9,-5.1,0.9,10.2,15.6,18.9,16.7,12.2,7.4,-0.2,-10.7
1944,-8.8,-10.2,-4.9,1.6,12.6,15.4,18.7,19.6,13.7,6.3,1.1,-8.7
1945,-12.4,-8.6,0.3,6.4,8.8,14.9,18.7,17.9,13.9,5.5,-0.2,-8.9
1946,-10.8,-11.4,1.2,2.7,10.2,15.6,17.7,16.7,14.3,8.5,0.8,-7.8
1947,-10.1,-7.8,-2.5,1.5,9.0,14.6,20.4,18.9,13.3,10.1,-0.4,-8.9
1948,-12.3,-12.4,-4.7,3.3,9.3,14.1,18.8,18.5,13.4,6.5,3.3,-4.8
1949,-7.4,-8.2,-3.0,5.4,10.7,17.2,19.9,18.4,12.5,8.7,-1.7,-4.9
1950,-7.7,-11.3,-5.7,2.8,11.1,15.7,18.2,16.8,10.6,7.0,2.9,-4.8
1951,-7.9,-6.8,-2.5,5.3,10.8,14.9,18.4,17.1,13.2,7.4,-1.1,-7.7
1952,-9.1,-7.2,-2.4,4.7,9.4,16.5,21.1,18.1,13.4,5.6,0.6,-5.1
1953,-6.8,-6.6,-2.0,5.0,11.2,16.1,18.6,17.1,13.3,7.6,3.2,-2.8
1954,-11.9,-4.8,-3.3,3.3,9.3,15.3,17.2,16.1,11.8,8.3,1.1,-6.0
1955,-10.2,-7.7,-4.6,4.3,11.7,15.9,20.0,18.7,12.1,7.0,-0.1,-10.8
1956,-5.7,-8.4,-6.6,2.6,7.3,15.3,16.6,15.9,10.8,7.3,0.6,-6.8
1957,-14.5,-7.2,-1.9,4.0,10.6,16.5,17.5,15.6,13.7,7.7,2.4,-3.7
1958,-6.6,-10.3,-0.1,4.9,8.9,12.8,17.7,17.0,12.8,5.7,0.4,-12.4
1959,-10.1,-11.8,-4.7,4.1,12.3,14.0,20.2,18.3,14.2,6.7,0.3,-5.4
1960,-9.3,-4.9,-5.0,3.3,13.0,16.2,17.9,17.7,13.2,5.8,1.9,-8.3
1961,-13.7,-8.6,-4.1,2.9,9.2,15.6,18.1,17.7,16.5,8.4,1.8,-5.6
1962,-10.8,-12.3,-1.3,3.3,9.6,15.8,15.9,16.9,11.6,6.4,-0.8,-7.6
1963,-9.1,-12.6,-4.2,3.1,10.1,16.8,19.7,15.6,10.9,9.3,2.5,-11.4
1964,-7.9,-8.2,-3.1,3.1,11.7,15.2,18.7,14.8,11.2,6.2,-0.2,-7.4
1965,-11.7,-10.3,-3.0,2.7,10.6,16.2,16.8,17.2,12.8,5.8,-1.7,-6.6
1966,-8.3,-8.2,-1.8,2.9,9.2,15.9,18.0,17.3,11.4,6.8,2.5,-5.2
1967,-7.8,-12.7,-6.5,2.1,6.6,16.7,19.3,18.1,13.1,7.6,-0.6,-6.4
1968,-12.8,-11.6,-2.3,5.5,9.5,14.4,19.1,15.7,14.3,8.8,-1.4,-7.5
1969,-8.7,-7.4,-3.7,2.5,9.5,15.9,17.4,18.4,12.7,6.2,2.1,-5.5
1970,-13.5,-8.7,-3.2,3.4,10.6,15.8,19.8,18.3,12.7,8.4,1.5,-11.1
1971,-13.7,-9.1,-3.7,2.9,10.7,15.8,18.6,17.5,14.3,9.3,-1.0,-8.3
1972,-10.2,-10.6,-5.9,1.5,10.7,15.6,18.4,16.5,13.2,4.8,-1.2,-9.3
1973,-8.6,-9.0,0.0,4.3,9.1,16.8,20.0,19.6,12.3,7.2,-0.3,-3.1
1974,-10.0,-9.7,-4.0,3.4,7.6,15.8,18.1,17.9,12.1,4.1,0.5,-5.1
1975,-8.9,-9.1,-4.2,1.6,12.2,16.0,20.2,17.9,12.3,7.4,2.4,-8.9
1976,-12.6,-7.2,-3.5,4.7,10.4,17.7,17.8,17.5,12.4,5.3,-1.4,-11.0
1977,-13.1,-8.9,0.7,3.3,11.4,14.6,18.3,17.2,11.7,6.8,2.0,-7.5
1978,-10.6,-10.7,-5.0,2.3,12.0,15.7,18.6,17.8,10.7,5.9,-0.8,-7.3
1979,-8.4,-11.9,0.2,4.3,11.6,16.1,19.7,16.6,12.6,7.0,3.1,-5.2
1980,-8.7,-9.7,-3.6,4.9,10.6,14.7,18.4,18.6,11.7,5.2,-0.7,-11.1
1981,-13.9,-2.9,-1.2,5.0,11.8,16.0,18.8,17.3,12.3,5.6,0.9,-4.6
1982,-14.8,-10.0,-3.8,2.4,11.1,14.3,18.6,15.7,13.2,7.2,2.1,-3.7
1983,-8.0,-7.0,-1.0,4.8,9.5,16.6,19.0,18.2,14.7,6.8,1.3,-7.6
1984,-11.7,-3.7,-6.2,4.4,9.8,15.6,19.1,19.2,11.8,7.6,1.3,-5.0
1985,-12.8,-7.0,-3.0,3.3,10.3,14.4,19.0,16.9,13.6,7.3,0.0,-9.2
1986,-8.7,-9.2,-2.8,6.3,11.1,14.1,17.2,16.6,11.1,6.2,-1.6,-6.5
1987,-10.6,-9.4,-1.7,6.3,10.7,15.9,18.5,16.6,12.8,6.8,-0.3,-5.2
1988,-10.0,-8.3,-3.3,4.2,11.8,15.3,19.8,18.7,12.2,5.3,1.9,-8.2
1989,-8.5,-9.4,-5.2,2.7,12.6,16.0,18.3,17.3,13.3,7.3,-0.9,-15.0
1990,-5.6,-8.7,-2.7,4.4,9.5,16.1,19.0,19.0,12.7,8.2,1.3,-4.0
1991,-11.0,-6.7,-1.6,4.9,12.1,16.4,18.6,18.7,11.7,7.9,1.4,-7.9
1992,-9.9,-8.8,-5.0,2.7,10.7,15.7,16.2,17.4,13.3,5.4,-0.4,-5.3
1993,-9.4,-13.8,-4.1,4.3,10.9,15.4,18.6,18.7,12.8,4.7,0.4,-5.5
1994,-15.4,-11.4,-2.7,3.6,9.3,17.3,20.3,17.1,12.4,7.7,2.4,-4.4
1995,-6.8,-10.6,-1.9,2.1,10.0,17.0,20.0,18.3,11.2,9.3,-0.8,-8.3
1996,-10.2,-8.4,-3.7,3.9,9.3,16.2,17.9,17.9,13.3,6.3,-0.7,-2.1
1997,-10.1,-7.7,-5.1,2.7,8.2,15.9,18.7,17.1,12.7,6.2,-0.4,-6.2
1998,-7.9,-4.3,-1.3,5.2,13.6,15.4,18.9,18.2,13.7,7.3,0.9,-3.2
1999,-9.8,-5.9,-0.6,4.7,13.0,18.2,19.9,17.7,16.5,5.8,2.9,-3.8
2000,-9.9,-7.7,0.3,3.9,9.7,15.2,17.2,17.3,12.5,7.0,2.0,-8.1
2001,-10.0,-8.9,-4.3,3.4,12.4,17.2,17.9,19.4,14.3,8.4,3.0,-1.8
2002,-6.1,-6.4,-2.8,4.4,9.3,14.6,18.7,19.3,15.2,5.4,-0.7,-6.1
2003,-12.7,-11.0,-4.3,2.1,9.8,16.2,18.8,18.9,14.7,7.0,1.9,-5.0
2004,-14.2,-7.8,-1.8,4.2,11.1,14.2,18.1,18.1,13.4,7.5,0.7,-7.2
2005,-11.4,-6.9,-3.9,5.1,8.4,17.3,19.2,18.6,14.7,8.4,1.8,-5.9
2006,-5.2,-7.2,-1.7,5.7,11.8,17.4,20.5,16.5,13.4,7.2,3.8,-2.3
2007,-8.2,-11.3,-3.4,2.8,10.7,16.2,18.1,17.5,14.0,9.8,-0.2,-7.8
2008,-7.4,-7.5,-4.9,5.3,10.0,16.2,19.8,17.3,13.4,6.8,1.7,-6.6
2009,-13.4,-7.3,-3.2,5.5,10.6,14.8,17.2,18.9,12.7,5.1,3.6,-5.6
2010,-6.5,-4.1,1.4,7.2,12.6,16.0,20.7,18.4,14.6,7.3,1.4,-4.8
2011,-8.9,-8.8,-2.9,3.9,11.1,15.7,19.8,18.2,15.0,8.7,3.8,-3.3
2012,-7.7,-5.9,1.3,5.7,12.1,15.7,19.8,19.7,13.3,9.0,0.4,-4.2
2013,-9.0,-6.7,-0.9,3.9,11.3,16.0,20.2,17.6,13.7,8.5,0.2,-8.3
2014,-9.9,-9.1,-7.7,3.7,10.9,16.4,19.6,18.0,13.6,9.2,-0.1,-3.3
2015,-11.3,-14.9,-5.8,3.2,13.2,14.2,18.2,19.6,16.6,6.2,2.8,-0.4
2016,-6.6,-5.6,-1.6,2.9,11.6,15.8,19.4,19.2,15.1,8.3,2.9,-6.4
2017,-5.8,-6.3,-5.4,5.6,10.4,16.1,18.4,17.4,16.2,11.1,0.2,-8.7
2018,-9.4,-5.2,-1.7,2.5,11.9,15.0,20.4,20.0,14.4,5.5,-1.9,-6.4
2019,-9.9,-8.7,-4.1,3.8,8.9,15.3,20.2,18.1,12.9,7.8,-1.3,-5.1
2020,-6.2,-6.6,-1.3,3.2,10.7,16.9,20.5,18.7,13.8,7.1,2.8,-2.7
2021,-5.9,-7.5,-1.4,6.2,11.3,18.3,17.6,20.1,15.0,10.1,1.8,-4.2
2022,-11.8,-7.1,-1.7,4.8,12.4,15.6,19.8,19.6,13.9,9.5,3.0,-2.4
2023,-4.3,-7.7,-0.9,5.4,10.8,15.5,21.1,17.5,16.1,10.9,,
