year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,-1.5,-4.7,4.1,10.7,16.0,22.6,21.9,23.8,21.2,10.1,7.0,2.7
1896,-0.4,1.2,2.5,12.8,19.4,21.1,24.2,23.3,18.9,11.2,9.6,1.0
1897,-1.7,1.3,6.5,10.7,15.8,20.1,23.8,22.1,19.2,13.6,6.9,2.6
1898,1.6,0.7,8.3,9.3,16.9,22.1,25.1,24.1,20.6,13.7,5.7,1.2
1899,-0.3,-3.3,4.7,11.2,17.1,22.8,24.2,23.1,18.3,13.8,6.7,1.7
1900,0.7,-0.1,2.9,10.8,17.1,21.9,25.2,25.4,22.1,15.7,8.5,1.4
1901,0.3,-2.7,6.0,9.2,15.9,21.5,25.8,23.7,19.1,12.6,3.8,0.3
1902,-1.4,-2.6,7.0,10.5,17.3,21.1,24.1,21.7,18.4,13.8,9.8,0.6
1903,-0.6,1.7,9.2,10.9,17.2,18.7,23.6,21.6,18.7,13.3,4.6,-1.1
1904,-3.6,-3.2,4.7,9.1,17.3,20.9,22.9,21.9,19.2,11.6,5.0,-1.8
1905,-2.3,-4.2,6.4,11.1,17.8,21.3,23.7,22.2,19.1,13.3,5.8,2.2
1906,3.3,0.3,2.5,11.8,17.2,22.0,23.2,24.1,21.2,12.8,6.8,1.7
1907,1.6,-2.7,7.6,8.0,14.4,18.1,23.4,21.7,19.9,10.2,5.8,2.6
1908,0.0,-1.7,7.4,12.1,17.3,21.1,24.6,21.7,18.3,13.8,6.4,1.9
1909,1.3,5.0,4.5,11.1,16.6,21.9,22.6,21.7,18.2,10.6,8.8,-1.2
1910,-0.4,0.4,8.9,12.9,15.6,19.8,24.1,22.1,20.4,14.6,4.0,-2.2
1911,2.2,1.7,4.1,9.0,19.4,21.8,24.8,23.4,20.4,13.1,5.3,4.0
1912,-4.8,-1.9,3.9,12.2,17.3,20.4,23.2,21.7,20.3,14.0,7.2,3.1
1913,4.9,0.9,8.2,11.8,16.7,21.4,24.1,22.4,18.8,13.9,7.6,3.3
1914,1.6,-2.2,2.8,10.4,18.0,22.1,23.1,23.2,17.7,14.7,6.3,-0.6
1915,0.7,2.6,2.3,13.4,15.8,20.0,23.3,22.2,20.2,13.8,6.7,0.2
1916,3.0,-0.1,1.9,10.4,17.9,19.4,24.1,23.1,18.1,12.8,6.6,0.6
1917,0.4,-0.5,4.9,11.1,13.9,21.2,23.7,22.9,16.7,10.3,4.6,-3.3
1918,-6.2,0.6,7.3,10.5,19.6,20.3,22.4,24.2,17.1,14.8,6.4,4.1
1919,1.6,1.3,7.2,10.6,16.8,21.8,23.8,21.9,19.6,16.7,7.1,-1.1
1920,-2.9,-0.9,5.7,10.3,14.4,20.9,22.7,22.7,19.6,15.2,6.4,2.8
1921,1.6,2.7,11.7,14.1,16.0,22.3,25.3,21.7,22.4,12.9,7.8,1.8
1922,-1.6,2.3,6.4,11.8,17.9,22.6,23.7,21.9,20.1,14.3,7.3,2.1
1923,1.2,-1.1,6.1,10.4,15.9,23.0,23.2,22.5,19.9,12.4,6.1,6.0
1924,0.5,-0.2,4.7,9.6,14.7,20.6,22.8,22.8,17.1,12.9,6.6,1.5
1925,-1.0,4.4,6.9,12.4,14.7,24.1,23.8,21.8,21.7,10.4,5.6,1.5
1926,-0.3,1.0,3.1,9.6,16.3,19.6,23.8,23.6,19.6,12.9,5.7,-0.4
1927,-0.2,4.0,6.9,9.4,16.2,19.1,23.3,20.1,19.6,14.4,9.3,2.5
1928,0.8,1.5,5.1,9.7,15.6,20.4,24.1,23.9,17.2,13.9,7.8,2.3
1929,0.1,0.1,8.7,12.7,16.4,21.2,23.3,21.8,19.8,11.8,7.4,2.3
1930,0.8,3.7,5.5,9.9,18.1,22.2,24.9,23.1,22.6,11.9,6.6,0.5
1931,1.1,2.2,3.8,10.4,16.6,21.4,25.3,23.1,22.1,14.9,10.4,5.7
1932,6.6,4.4,3.3,10.0,16.4,21.5,23.8,23.6,19.8,13.4,5.9,2.8
1933,4.6,2.1,4.5,11.2,18.2,22.3,23.3,23.3,21.2,12.4,5.4,2.2
1934,2.4,-5.6,3.5,10.6,17.6,23.7,25.7,22.1,20.1,12.3,8.3,1.4
1935,-0.8,0.3,8.3,9.6,15.0,21.2,24.7,23.1,18.1,13.1,8.8,-1.4
1936,-2.4,-3.4,8.1,9.6,17.9,21.4,24.3,24.2,20.4,14.1,5.7,2.8
1937,5.2,1.3,3.9,10.5,17.1,22.4,23.8,24.0,17.6,11.7,6.4,1.1
1938,0.4,3.4,7.9,12.3,16.1,21.1,24.3,24.3,18.6,13.2,8.2,1.9
1939,1.3,3.8,6.3,10.3,17.9,22.6,23.1,24.3,20.1,13.4,5.7,2.8
1940,-5.8,0.7,3.2,8.6,16.4,21.9,23.8,21.7,17.7,11.3,7.0,4.2
1941,-0.4,-0.7,2.4,13.4,17.7,21.2,24.0,22.6,20.8,16.3,8.2,3.8
1942,-0.2,-0.4,6.7,12.7,18.8,22.2,24.4,22.4,19.8,14.0,7.8,-0.2
1943,0.7,1.9,5.6,8.9,18.0,24.8,24.2,24.1,18.5,12.1,6.2,1.1
1944,1.1,1.6,4.3,10.2,20.0,22.4,24.3,23.3,19.9,12.4,6.7,-0.2
1945,-2.3,1.3,11.3,13.1,15.4,21.8,23.4,22.3,21.2,12.6,8.0,-1.2
1946,1.1,2.1,9.8,11.0,16.8,20.7,23.1,20.9,19.5,14.6,9.2,3.7
1947,3.7,-1.8,2.4,12.0,16.7,20.5,22.8,24.3,19.7,16.1,5.7,0.7
1948,-3.3,0.7,7.3,11.6,16.6,21.4,23.8,22.7,19.0,11.8,9.6,2.9
1949,4.4,4.7,6.4,10.9,17.0,22.3,25.7,23.6,17.8,15.7,7.1,3.4
1950,6.7,1.7,3.8,9.4,16.2,21.1,22.9,22.2,17.8,14.1,7.0,0.0
1951,2.1,2.0,5.6,11.1,16.6,21.3,24.1,22.8,19.4,14.7,4.9,2.9
1952,2.9,2.9,4.9,12.2,16.1,23.1,25.3,23.1,19.0,11.3,7.4,2.4
1953,3.4,3.8,6.6,11.3,19.1,21.9,24.5,22.9,19.4,14.1,7.1,3.6
1954,0.5,4.5,5.6,13.6,15.4,21.8,23.9,22.6,20.6,15.1,5.8,1.4
1955,-0.3,1.2,7.0,13.1,17.9,19.6,26.2,24.6,19.3,13.9,5.8,-0.9
1956,-0.5,3.2,4.6,10.1,16.0,21.5,23.2,22.5,18.1,13.8,7.1,6.0
1957,-1.2,3.3,5.6,13.2,17.7,23.0,23.9,22.2,20.3,11.2,7.8,3.6
1958,-0.8,-2.2,3.4,11.7,16.3,19.8,24.7,22.4,18.7,13.0,8.2,-1.9
1959,-0.5,1.6,5.6,12.8,18.8,22.1,24.2,24.6,20.7,14.9,6.6,3.5
1960,1.6,1.7,-0.2,13.9,15.8,21.3,22.7,23.9,19.7,13.0,7.8,-2.1
1961,-3.0,2.1,6.8,9.2,15.0,21.0,24.0,23.1,22.1,13.8,8.4,0.9
1962,-0.1,0.0,4.6,11.4,18.5,21.6,22.2,22.6,17.6,13.8,5.4,-1.0
1963,-1.7,-2.6,7.3,11.8,16.1,21.2,23.6,22.1,17.3,14.5,8.6,-1.9
1964,0.8,0.2,6.6,10.4,17.7,21.8,23.9,21.8,19.1,11.2,8.7,3.2
1965,-0.7,1.2,3.9,9.8,19.0,20.7,23.3,22.7,20.4,11.9,7.3,3.5
1966,-1.7,0.4,6.4,9.1,16.0,21.7,24.8,23.5,18.1,11.8,7.6,1.3
1967,2.9,-0.9,5.0,11.8,13.6,21.4,23.1,22.1,17.6,12.3,4.8,2.6
1968,-2.4,-1.3,7.3,11.8,15.1,21.4,24.1,24.2,19.4,14.1,7.9,0.6
1969,-1.1,0.3,3.7,12.5,17.2,22.5,24.1,22.7,19.1,12.7,6.2,0.2
1970,-3.4,0.7,3.4,10.9,18.1,21.4,23.7,23.4,21.3,14.9,7.8,2.2
1971,-2.2,1.7,4.4,10.3,15.4,22.2,23.2,22.3,20.7,16.3,6.9,5.8
1972,1.8,0.1,5.2,10.2,16.4,19.4,23.7,22.5,19.7,11.2,5.8,4.7
1973,1.2,0.4,8.6,11.2,15.4,22.8,24.0,23.9,20.5,14.4,8.4,2.9
1974,3.4,1.0,7.1,12.7,16.4,19.8,23.5,23.0,18.7,11.6,7.6,3.3
1975,2.5,2.3,4.9,8.8,18.1,21.7,23.3,24.0,17.9,14.9,9.9,2.3
1976,-1.4,5.7,8.2,12.7,15.9,22.4,22.8,21.9,18.6,10.7,4.0,-0.5
1977,-6.1,1.2,8.9,13.0,18.1,20.2,24.7,23.9,20.8,12.1,8.3,1.0
1978,-2.6,-4.2,4.0,11.0,15.8,21.3,22.8,24.5,19.8,12.3,8.3,3.3
1979,-0.7,-4.8,7.6,10.8,17.2,19.8,22.9,22.9,19.3,12.4,9.6,3.6
1980,0.2,-1.2,4.5,12.0,17.8,20.4,24.7,24.6,21.3,12.2,5.8,1.3
1981,-3.0,3.0,4.7,13.3,16.1,22.5,23.8,21.9,18.6,11.6,7.2,0.8
1982,-3.7,1.4,5.6,10.0,18.1,20.3,24.1,21.6,18.8,13.3,8.9,5.6
1983,0.8,1.3,7.0,10.2,15.9,21.5,24.7,24.4,19.8,13.7,8.0,0.4
1984,-2.3,4.3,3.1,10.4,16.3,22.3,22.9,23.4,18.0,16.4,6.3,6.4
1985,-2.3,1.6,7.3,13.7,17.9,20.7,23.8,22.8,19.9,14.8,10.9,0.6
1986,0.2,0.3,6.7,11.7,18.2,22.4,25.2,22.2,19.7,14.3,6.7,2.8
1987,-0.4,0.4,6.9,10.9,17.8,23.0,25.8,23.8,20.2,10.7,8.7,3.6
1988,-2.3,1.6,6.6,10.6,16.9,21.8,25.6,25.0,18.5,10.4,7.9,2.0
1989,2.8,1.7,6.0,10.7,16.1,22.9,23.9,22.9,19.8,14.0,7.1,-4.1
1990,4.8,5.5,8.2,11.9,16.1,21.8,24.5,22.8,18.8,15.3,9.1,5.1
1991,1.4,4.2,7.6,12.7,20.4,22.4,25.3,24.3,19.4,13.8,7.5,4.2
1992,1.8,3.1,5.2,11.2,15.1,20.0,24.1,21.5,19.1,11.7,7.7,2.7
1993,2.7,-0.3,4.0,11.1,17.8,21.7,25.7,24.1,19.8,12.6,7.6,1.4
1994,-3.3,0.4,5.4,14.4,15.2,23.5,25.2,22.0,18.7,12.6,10.1,5.0
1995,2.6,-0.2,7.6,11.6,16.6,21.8,25.3,24.7,19.4,15.0,4.9,0.0
1996,-0.8,1.2,3.7,11.9,15.8,22.4,23.1,22.6,19.6,13.3,4.7,4.2
1997,0.7,4.4,7.2,10.2,15.1,20.7,24.3,22.6,19.1,13.3,6.2,3.2
1998,4.6,4.7,7.2,12.8,18.5,21.4,24.1,23.9,21.9,13.9,8.2,5.4
1999,2.3,3.1,5.0,11.9,17.3,21.8,26.1,23.9,19.7,12.7,10.4,3.9
2000,0.3,3.7,9.1,11.5,18.3,22.4,22.2,22.6,18.7,14.0,6.3,-1.6
2001,0.1,3.3,4.7,12.5,17.0,22.4,22.4,24.4,18.7,13.6,10.4,5.9
2002,3.9,4.3,7.4,13.7,16.7,22.8,25.3,25.1,20.8,13.5,7.1,1.3
2003,-1.9,-0.6,6.9,11.4,15.4,20.8,24.2,24.5,19.9,12.6,10.3,2.5
2004,-2.2,1.4,7.6,12.4,20.7,21.6,24.2,23.1,20.4,13.2,9.1,3.2
2005,1.1,2.5,4.3,12.6,14.8,22.7,25.3,25.0,21.7,14.3,9.2,0.9
2006,5.1,2.3,6.8,13.5,16.7,22.0,25.3,24.9,18.5,12.8,9.5,6.0
2007,3.6,-2.1,7.2,10.6,18.1,22.6,24.1,24.6,20.9,17.4,7.6,3.4
2008,2.1,2.9,7.1,13.1,15.8,23.5,24.6,22.6,20.4,12.9,6.9,3.7
2009,-1.5,2.9,6.2,12.7,17.4,21.7,23.1,24.6,19.1,13.0,9.8,1.9
2010,0.1,-0.7,8.6,14.2,18.7,24.6,26.2,24.7,21.2,14.3,7.8,-0.7
2011,-1.3,3.1,6.5,13.7,18.8,23.3,26.4,23.9,20.6,13.3,9.7,5.4
2012,3.0,4.7,11.5,12.3,19.8,22.1,26.6,24.3,19.9,14.2,5.9,5.7
2013,2.4,1.4,4.3,12.4,17.1,22.6,25.4,22.4,18.9,14.5,6.3,3.7
2014,-2.3,0.4,3.4,11.5,17.9,22.4,23.7,22.1,20.0,14.6,5.9,4.2
2015,-0.7,-3.7,4.1,12.2,19.8,22.8,24.4,23.3,21.6,13.1,10.3,9.2
2016,0.1,2.7,9.7,11.7,16.1,22.3,25.8,25.6,21.9,15.2,8.7,3.3
2017,3.5,6.5,6.2,15.3,16.8,22.6,25.2,22.7,20.2,16.2,7.7,1.8
2018,-0.6,5.3,4.1,10.4,20.4,22.3,24.6,25.1,22.6,15.0,6.3,4.0
2019,1.1,3.1,5.6,14.3,19.6,22.5,25.9,24.2,21.9,15.7,5.9,3.8
2020,3.9,5.0,9.6,10.9,15.8,22.6,26.7,24.8,19.6,15.0,10.5,3.5
2021,1.9,1.2,8.4,12.8,16.8,22.8,25.1,25.1,20.9,17.2,6.9,6.6
2022,-0.6,3.6,8.1,11.7,18.1,22.3,25.4,24.8,20.3,12.6,9.3,2.5
2023,5.6,6.1,7.3,14.4,16.1,20.7,25.6,23.9,20.8,15.3,,
